actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"ADJAPP","WORK",0,0,"",0,"","","","","","",""
"ADJREJ","WORK",0,0,"",0,"","","","","","",""
"APPLY-PALLBL","WORK",0,1,"APPLY-PALLBL",0,"O","APPLY-PALLBL","","","","",""
"ASN_NONTRUST","WORK",0,1,"UNTRUSTASN",0,"P","","","","","",""
"ASN_REMOVE","GEN",0,0,"",0,"","","","","","",""
"ASN_TRUST","WORK",0,1,"TRUSTASN",0,"P","","","","","",""
"ASSUMEDPCK","WORK",0,1,"",0,"","","","","","",""
"AST_LOAD","WORK",0,1,"AST_LOAD",0,"O","","","","","",""
"AST_UNLD","WORK",0,1,"AST_UNLD",0,"P","","","","","",""
"ASTTRF","WORK",0,1,"ASTTRF",0,"O","","","","","",""
"ASTTYPCHG","WORK",0,1,"ASTTYPCHG",0,"P","","","","","",""
"ATELOCCHGMAN","GEN",0,0,"",0,"","","","","","",""
"ATELOCCLRAUTO","GEN",0,0,"",0,"","","","","","",""
"ATELOCCLRMAN","GEN",0,0,"",0,"","","","","","",""
"ATELOCSETAUTO","GEN",0,0,"",0,"","","","","","",""
"ATELOCSETMAN","GEN",0,0,"",0,"","","","","","",""
"AUDIT_BTO","WORK",0,0,"",0,"","","","","","",""
"BILLING_GEN","WORK",0,0,"",0,"","","20230209090431","20230209090431","938673","938673",""
"BPCK","WORK",0,1,"BPCK",0,"O","","","","","",""
"CANPCK","WORK",0,1,"CANPCK",0,"O","CANPCK","","","","",""
"CAP-LOD-HGT","WORK",0,1,"CAP-LOD-HGT",0,"O","CAP-LOD-HGT","","","","",""
"CAP-MED","WORK",0,1,"CAP-MED",0,"O","CAP-MED","","","","",""
"CAPTURE-CATCH-WEIGHT","WORK",0,1,"CATCH-WEIGHT",0,"O","CAPTURE-CATCH-WEIGHT","","","","",""
"CAPTURE-TRLR-TEMP","WORK",0,1,"CAP-TRLR-TEMP",0,"O","CAPTURE-TRLR-TEMP","","","","",""
"CASPCK","WORK",0,1,"CASPCK",0,"O","","","","","",""
"CASPCKMOV","WORK",0,1,"CASPCKMOV",0,"O","","","","","",""
"CASRPL","WORK",0,1,"CASRPL",0,"O","","","","","",""
"CATOVER","WORK",0,1,"CATOVER",0,"O","CATOVER","","","","",""
"CHECK-CARTON","WORK",0,1,"CHECK-CARTON",0,"O","CHECK-CARTON","","","","",""
"CHG_ITM_LOT","WORK",0,0,"",0,"","","","","","",""
"CNT","WORK",0,1,"CNT",0,"P","","","","","",""
"CNTAUD","WORK",0,1,"CNTAUD",0,"P","","","","","",""
"CNTBCKD","GEN",0,0,"",0,"","","","","","",""
"CNTPCK","GEN",0,0,"",0,"","","","","","",""
"CNTPHY","WORK",0,1,"CNTPHY",0,"P","","","","","",""
"CNTZERO","WORK",0,1,"CNTZERO",0,"O","CNTZERO","","","","",""
"CONSOL","WORK",0,1,"CONSOL",0,"O","","","","","",""
"CREATE_UNXP_RETORD","ORD",0,0,"",0,"","","","","","",""
"CREATE_UNXP_RETORD_ORG","ORD",0,0,"",0,"","","","","","",""
"CREATE-FOOTPRINT","WORK",0,1,"CREATE-FTPT",0,"O","CREATE-FOOTPRINT","","","","",""
"CRSDCK","WORK",0,1,"CRSDCK",0,"P","","","","","",""
"CRT_ITM_LOT","WORK",0,0,"",0,"","","","","","",""
"CS_XFR","WORK",0,1,"CS_XFR",0,"O","","","","","",""
"CSSPLT","WORK",0,1,"CSSPLT",0,"O","","","","","",""
"DATESTMP","WORK",0,1,"DATESTMP",0,"O","DATESTMP","","","","",""
"DEP_SORT","WORK",0,1,"DEP_SORT",0,"P","","","","","",""
"DISTEXCP","GEN",0,0,"",0,"","","","","","",""
"DUTY-DISPATCH","WORK",0,1,"DUTY-DISPATCH",0,"O","DUTY-DISPATCH","","","","",""
"EMPASTMOV","WORK",0,1,"EMPASTMOV",0,"P","","","","","",""
"EMPASTRCV","WORK",0,1,"EMPASTRCV",0,"P","","","","","",""
"EMPASTSHP","WORK",0,1,"EMPASTSHP",0,"O","","","","","",""
"FL_XFR","WORK",0,1,"FL_XFR",0,"O","","","","","",""
"FL_XFR_PTWY","WORK",0,1,"FL_XFR_PTWY",0,"O","","","","","",""
"FLDLD","WORK",0,1,"FLDLD",0,"O","","","","","",""
"FRZCHG","WORK",0,1,"FRZCHG",0,"O","FRZCHG","","","","",""
"GENMOV","WORK",0,1,"GENMOV",0,"O","","","","","",""
"HIGH-VALUE-AUDIT","WORK",0,1,"HIGH-VALUE-AUDT",0,"O","HIGH-VALUE-AUDIT","","","","",""
"I-BREAK","WORK",0,1,"Break",1,"P","","","","","",""
"I-CLEAN","WORK",0,1,"ICLEAN",1,"P","","","","","",""
"IDENT-MNFST-CTN","WORK",0,1,"IDENT-MNFST-CTN",0,"O","IDENT-MNFST-CTN","","","","",""
"IDNTFY","WORK",0,0,"",0,"","","","","","",""
"IDNTFY_AJ","WORK",0,1,"IDNTFY_AJ",0,"P","IDNTFY_AJ","","","","",""
"IDNTFY_RET","WORK",0,1,"IDNTFY_RET",0,"P","","","","","",""
"IDNTFY_RET_ORIG","WORK",0,1,"IDNTFY_RET_ORIG",0,"P","","","","","",""
"IDNTFY_RET_UNXP","WORK",0,1,"IDNTFY_RET_UNXP",0,"P","","","","","",""
"IDNTFY_UNXP","WORK",0,1,"IDNTFY_UNXP",0,"P","","","","","",""
"IDNTFY_WO","WORK",0,1,"IDNTFY_WO",0,"P","","","","","",""
"I-MAINT","WORK",0,1,"IMAINT",1,"P","","","","","",""
"INB-QA-APLYHOLD","WORK",0,1,"INB-QA-APLYHOLD",0,"O","INB-QA-APLYHOLD","","","","",""
"INB-QA-CHGSTS","WORK",0,1,"INB-QA-CHGSTS",0,"O","INB-QA-CHGSTS","","","","",""
"INBQLT-ISSUE","WORK",0,1,"INBQLT-ISSUE",0,"O","INBQLT-ISSUE","","","","",""
"IND","WORK",0,1,"IND",1,"P","","","","","",""
"INLCNT","WORK",0,1,"INLCNT",0,"P","INLCNT","","","","",""
"INLMOV","WORK",0,1,"INLMOV",0,"P","INLMOV","","","","",""
"INS-SPACER","WORK",0,1,"INS-SPACER",0,"O","INS-SPACER","","","","",""
"INVADJ","WORK",0,0,"",0,"","","","","","",""
"INVASTRCV","WORK",0,0,"",0,"","","","","","",""
"INVASTSHP","WORK",0,0,"",0,"","","","","","",""
"INVATTCHG","GEN",0,0,"",0,"","","","","","",""
"INVCNSWKO","INV",0,0,"",0,"","","","","","",""
"INVDEL","INV",0,0,"",0,"","","","","","",""
