arc_nam,seqnum,srtseq,arc_table,list_cmd,post_arc_cmd,action_on_dup
"ASYNC-RESOURCE",1,1,"ASYNC_RES","[select * from async_res where async_group_id = @async_group_id]","","I"
"BILL-OF-MATERIALS",1,1,"BOMDTL","[select * from bomdtl where bomnum = @bomnum and client_id = @client_id and wh_id = @wh_id]","","I"
"BILL-OF-MATERIALS",2,2,"BOMHDR_INS","[select * from bomhdr_ins where bomnum = @bomnum and client_id = @client_id and wh_id = @wh_id]","","I"
"BILL-OF-MATERIALS",3,3,"BOMDTL_INS","[select * from bomdtl_ins where bomnum = @bomnum and client_id = @client_id and wh_id = @wh_id]","","I"
"CANCELLED-ORDERS",1,1,"ORD_NOTE","if (dbtype = 'ORACLE') { [select ord_note.rowid, ord_note.* from ord_note where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]} else { [select   ord_note.* from  ord_note where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]}","","I"
"CANCELLED-ORDERS",2,2,"ORD_INS","if (dbtype = 'ORACLE') { [select ord_ins.rowid, ord_ins.* from ord_ins where ordnum = @ordnum and client_id = @client_id ]} else { [select ord_ins.* from ord_ins where ordnum = @ordnum and client_id = @client_id ]}","","I"
"CANCELLED-ORDERS",3,3,"ORD_LINE","if (dbtype = 'ORACLE') { [select ord_line.rowid, ord_line.* from ord_line where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]} else { [select ord_line.* from ord_line where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]}","","R"
"CANCELLED-ORDERS",4,4,"ORD_LINE_NOTE","if (dbtype = 'ORACLE') { [select ord_line_note.rowid, ord_line_note.* from ord_line_note  where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]} else { [select ord_line_note .* from ord_line_note where ordnum = @ordnum and client_id = @client_id and wh_id = @wh_id ]}","","I"
"CANCELLED-ORDERS",5,5,"ORD_LINE_INS","if (dbtype = 'ORACLE') { [select ord_line_ins.rowid, ord_line_ins.* from ord_line_ins where ordnum = @ordnum and client_id = @client_id ]} else { [select ord_line_ins.* from ord_line_ins where ordnum = @ordnum and client_id = @client_id ]}","","I"
"CANCELLED-SHIPMENTS",1,1,"SHIPMENT_INS","if (dbtype = 'ORACLE') { [select shipment_ins.rowid, shipment_ins.* from shipment_ins where shipment_ins.ship_id = @ship_id] } else { [select shipment_ins.* from shipment_ins where shipment_ins.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",2,2,"MANFST","if (dbtype = 'ORACLE') { [select manfst.rowid, manfst.* from manfst where manfst.ship_id = @ship_id] } else { [select manfst.* from manfst where manfst.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",3,3,"PCKWRK_HDR","if (dbtype = 'ORACLE') { [select pckwrk_hdr.rowid, pckwrk_hdr.* from pckwrk_hdr,pckwrk_dtl where pckwrk_hdr.wrkref = pckwrk_dtl.wrkref and pckwrk_dtl.ship_id = @ship_id] } else { [select pckwrk_hdr.* from pckwrk_hdr,pckwrk_dtl where pckwrk_hdr.wrkref = pckwrk_dtl.wrkref and pckwrk_dtl.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",4,4,"SHIPMENT_LINE","if (dbtype = 'ORACLE') { [select shipment_line.rowid, shipment_line.* from shipment_line where shipment_line.ship_id = @ship_id] } else { [select shipment_line.* from shipment_line where shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",5,5,"SHIPMENT_LINE_INS","if (dbtype = 'ORACLE') { [select shipment_line_ins.rowid, shipment_line_ins.* from shipment_line_ins, shipment_line where shipment_line_ins.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] } else { [select shipment_line_ins.* from shipment_line_ins, shipment_line where shipment_line_ins.ship_line_id = shipment_line.ship_line_id and shipment_line.ship_id = @ship_id] }","","I"
"CANCELLED-SHIPMENTS",6,6,"ORD","if (dbtype = 'ORACLE') { [select ord.rowid, ord.* from ord, shipment_line where ord.ordnum = shipment_line.ordnum and ord.client_id = shipment_line.client_id and ord.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] } else { [select ord.* from ord, shipment_line where ord.ordnum = shipment_line.ordnum and ord.client_id = shipment_line.client_id and ord.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] }","","R"
"CANCELLED-SHIPMENTS",7,7,"ORD_NOTE","if (dbtype = 'ORACLE') { [select ord_note.rowid, ord_note.* from ord_note, shipment_line where ord_note.ordnum = shipment_line.ordnum and ord_note.client_id = shipment_line.client_id and ord_note.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] } else { [select ord_note.* from ord_note, shipment_line where ord_note.ordnum = shipment_line.ordnum and ord_note.client_id = shipment_line.client_id and ord_note.wh_id = shipment_line.wh_id and shipment_line.ship_id = @ship_id] }","","I"
