asset_typ,asset_cat,asset_len,asset_wid,asset_hgt,asset_wgt,max_wgt,max_vol,ser_flg,temp_flg,container_flg,load_tracked_flg,max_start_pal,lst_pck_asset_flg,max_ord,max_ordlin,max_wko,max_wkolin,max_ctn,alc_asset_grp,prtnum,level_units,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,voc_cod,is_purged
"1","INV",131.0,102.0,190.0,30.0,24000.0,2538780.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181004103622","20200414175403","940028","939370",0,0
"1-0S","INV",120.0,100.0,240.0,30000.0,9.9999E7,2880000.0,0,0,0,0,0,1,0,0,0,0,0,"1-0S TROLLEY","",0,"20230104162807","20230104162807","939370","939370",0,0
"11","INV",135.0,56.5,1.0,30.0,24000.0,7627.5,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181101133735","20200416124840","940028","939370",0,0
"1-1S","INV",120.0,100.0,240.0,30000.0,9.9999E7,2880000.0,0,0,0,0,0,1,0,0,0,0,0,"1-1S TROLLEY","",0,"20200513100744","20211216132627","938673","939370",0,0
"1-2S","INV",120.0,100.0,240.0,30000.0,9.9999E7,2880000.0,0,0,0,0,0,1,0,0,0,0,0,"1-2S TROLLEY","",0,"20200513105207","20211216132638","938673","939370",0,0
"1-3S","INV",120.0,100.0,240.0,30000.0,9.9999E7,2880000.0,0,0,0,0,0,1,0,0,0,0,0,"1-3S TROLLEY","",0,"20230104162807","20230104162807","939370","939370",0,0
"19","INV",131.0,102.0,1.0,30.0,24000.0,13362.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181101133856","20200416123418","940028","939370",0,0
"19-H1200","INV",120.0,100.0,120.0,30.0,24000.0,1440000.0,0,0,1,0,0,1,0,0,0,0,0,"1-1S TROLLEY","",0,"20200513104841","20200519113549","938673","938673",0,0
"19-H600","INV",120.0,100.0,60.0,30.0,24000.0,720000.0,0,0,1,0,0,1,0,0,0,0,0,"1-3S TROLLEY","",0,"20230104162815","20230104162815","939370","939370",0,0
"19-H800","INV",120.0,100.0,80.0,30.0,24000.0,960000.0,0,0,1,0,0,1,0,0,0,0,0,"1-2S TROLLEY","",0,"20200513105357","20210528104746","938673","939370",0,0
"2","INV",135.0,56.5,190.0,30.0,24000.0,1449225.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181004103709","20200416123832","940028","939370",0,0
"3","INV",81.0,61.0,190.0,30.0,24000.0,938790.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181004103749","20200416125017","940028","939370",0,0
"4","INV",120.0,100.0,180.0,30.0,24000.0,2160000.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181004103806","20200416125143","940028","939370",0,0
"5","INV",120.0,80.0,180.0,30.0,24000.0,1728000.0,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20181004104022","20200416125159","940028","939370",0,0
"577","INV",400.0,330.0,380.0,0.0,0.0,5.016E7,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20210624091740","20230215090158","SLDOWNLOAD_2","SLDOWNLOAD_2",0,0
"588","INV",400.0,270.0,380.0,0.0,0.0,4.104E7,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20230215090158","20230215090158","SLDOWNLOAD_2","SLDOWNLOAD_2",0,0
"848","INV",300.0,400.0,480.0,0.0,0.0,5.76E7,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20230215090158","20230215090158","SLDOWNLOAD_2","SLDOWNLOAD_2",0,0
"870","INV",600.0,400.0,250.0,0.0,0.0,6.0E7,0,0,0,0,0,1,0,0,0,0,0,"","",0,"20230215090158","20230215090158","SLDOWNLOAD_2","SLDOWNLOAD_2",0,0
