cmd_config_id,cmd_config,cmd_grp,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"cons_by_car_cod","consolidate shipment lines with existing shipments by carrier code","cons_rule","","","",""
"cons_by_car_serv_lvl","consolidate shipment lines with existing shipments by carrier service level","cons_rule","","","",""
"cons_by_del_dte","consolidate shipment lines with existing shipments by delivery date","cons_rule","","","",""
"cons_by_dest_area","consolidate shipment lines with existing shipments by dest area","cons_rule","","","",""
"cons_by_exp_type","consolidate shipment lines with existing shipments by export type","cons_rule","","","",""
"cons_by_pay_term","consolidate shipment lines with existing shipments by payment terms","cons_rule","","","",""
"cons_by_route_to_addr","consolidate shipment lines with existing shipments by route to address","cons_rule","","","",""
"cons_by_ship_by","consolidate shipment lines with existing shipments by shipby","cons_rule","","","",""
"cons_by_ship_dte","consolidate shipment lines with existing shipments by ship date","cons_rule","","","",""
"cons_by_ship_to_addr","consolidate shipment lines with existing shipments by ship to address","cons_rule","","","",""
"cons_by_wave_flg","consolidate shipment lines with existing shipments by wave flag","cons_rule","","","",""
"cons_by_weight","consolidate shipment lines with existing shipments by weight","cons_rule","","","",""
"list_rpt_apptmts","list rpt appointments","doc_typ_data_command","","","",""
"list_rpt_trlr_load_stop","list rpt trailer load stop","doc_typ_data_command","","","",""
"parse_ctn_cod_for_cnt_num","parse carton code for carton number","pack_stn_carton_typ","","","",""
"parse_pack_custom_fld","parse packout custom field","pack_stn_cust_fld","","","",""
"prdc_lbl_carton_lbl","produce lbl carton label","doc_typ_data_command","","","",""
"prdc_lbl_clst_pick_lbl","produce lbl cluster pick label","doc_typ_data_command","","","",""
"prdc_lbl_cstmr_carton_lbl","produce lbl customer carton label","doc_typ_data_command","","","",""
"prdc_lbl_cstmr_pallet_lbl","produce lbl customer pallet label","doc_typ_data_command","","","",""
"prdc_lbl_cstmr_shpmt_lbl","produce lbl customer shipment label","doc_typ_data_command","","","",""
"prdc_lbl_dstrbt_expt","produce lbl distribution exception","doc_typ_data_command","","","",""
"prdc_lbl_loc_lbl","produce lbl location label","doc_typ_data_command","","","",""
"prdc_lbl_pallet_lbl","produce lbl pallet label","doc_typ_data_command","","","",""
"prdc_lbl_pick_shpmt_lbl","produce lbl pick shipment label","doc_typ_data_command","","","",""
"prdc_lbl_prt_lbl","produce lbl part label","doc_typ_data_command","","","",""
"prdc_lbl_putostore_ctnlbl","produce lbl put to store carton label","doc_typ_data_command","","","",""
"prdc_lbl_putostore_ctnrpt","produce lbl put to store carton paperwork","doc_typ_data_command","","","",""
"prdc_lbl_rcv_paprwrk","produce lbl receiving paperwork","doc_typ_data_command","","","",""
"prdc_lbl_shp_lbl","produce lbl shipping label","doc_typ_data_command","","","",""
"prdc_lbl_shp_paprwrk","produce lbl shipping paperwork","doc_typ_data_command","","","",""
"prdc_lbl_slotlbl","produce lbl slot label","doc_typ_data_command","","","",""
"proc_cnt_rel_produce_audit_sheet","produce audit sheet","count_release_rule","","","",""
"proc_cnt_rel_produce_count_sheet","produce count sheet","count_release_rule","","","",""
"proc_cnt_rel_rule_crt_work","create work","count_release_rule","","","",""
"proc_cnt_rel_rule_noop","noop","count_release_rule","","","",""
"proc_dis_com_tran","process distribution complete transfer","release_work","","","",""
"proc_distro_fix_uom","process distro rule by fixed uom quantity threshold","distro_rule","","","",""
"proc_distro_ord_pct","process distro rule by order percent threshold","distro_rule","","","",""
"proc_distro_ovr_evenly","process distro overage rule by even proportion","distro_ovgrule","","","",""
"proc_distro_ovr_sto_ord_pct","process distro overage rule by store order percentage","distro_ovgrule","","","",""
"proc_distro_ovr_uom","process distro overage rule by uom quantity","distro_ovgrule","","","",""
"proc_distro_sto_ord_pct","process distro rule by store order percentage","distro_rule","","","",""
"proc_inv_moves_action","create work","invmoves_action","","","",""
"proc_list_rel_crt_dir_wrk","create work","list_release","","","",""
"proc_list_rel_crt_wrk","sl_do nothing","list_release","","","",""
"proc_list_rel_pck_lst_rpt","produce pick list report","list_release","","","",""
"proc_list_rel_prdc_seq_handle_unit_doc","produce sequenced handling unit documents","list_release","","","",""
"proc_pick_rel_reg_rel","register picks released","pick_release","","","",""
"proc_stg_trns_action","CREATE WORK","stgtrns_action","","","",""
"proc_wrk_sts_change_by_cap","process work status change by capacity","release_work","","","",""
"proc_wrk_sts_change_for_res_lstpck","process work status change for resume list pick","release_work","","","",""
"proc_wrk_sts_change_for_storage_equip","process work status change for storage equipment","release_work","","","",""
"rel_rule_act_create_directed_work","create work","release_rule_action","","","",""
"rel_rule_act_create_pm_package_picks","CREATE WORK FOR PM PRE MANIFEST PACKAGE","release_rule_action","","","",""
"rel_rule_act_create_work","sl_do nothing","release_rule_action","","","",""
"rel_rule_act_log_pick","log pick request","release_rule_action","","","",""
"rel_rule_act_process_pm_package","PROCESS PM PRE MANIFEST PACKAGE","release_rule_action","","","",""
"rel_rule_act_produce_pm_label","PRODUCE LABEL FOR PM PRE MANIFEST PACKAGE","release_rule_action","","","",""
"rel_rule_act_produce_pm_label_file","CREATE LABEL FILE FOR PM PRE MANIFEST PACKAGE","release_rule_action","","","",""
"rel_rule_act_produce_shipment_label","produce shipment label","release_rule_action","","","",""
"repl_cancel","cancel replenishment","repl_cancel","","","",""
"repl_cancel_ord_line","cancel replen and shipment order line","repl_cancel","","","",""
"usr_prdc_delivery_lbl","produce usr delivery label","doc_typ_data_command","20210802174836","20210802174836","939370","939370"
"usr_prdc_lbl_doc_on_shpstg","produce usr lbl document on ship staging","doc_typ_data_command","20180919085200","20180919085200","939370","939370"
"usr_prdc_usr-rfh002_lbl","produce usr usr_rfh002 lbl","doc_typ_data_command","20180920111654","20180926163805","940028","939370"
"usr_prdc_usr-rfh003_lbl","produce usr usr_rfh003 lbl","doc_typ_data_command","20201130160810","20201130160810","938673","938673"
"usr_prdc_usr-rfh009","produce usr usr_rfh009","doc_typ_data_command","20230406000000","20230406000000","938673","938673"
