cmd_config_id,cmd_config_arg,seq,arg_typ,req_flg,null_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"proc_distro_fix_uom","cs_brk",4,"STR",0,1,"","","",""
"proc_distro_fix_uom","qty",0,"NUM",1,0,"","","",""
"proc_distro_fix_uom","rnd_mod",2,"STR",0,1,"","","",""
"proc_distro_fix_uom","rnd_uom",3,"STR",0,1,"","","",""
"proc_distro_fix_uom","sort_ord_lst",5,"STR",0,1,"","","",""
"proc_distro_fix_uom","uom",1,"STR",1,0,"","","",""
"proc_distro_ord_pct","cs_brk",3,"STR",0,1,"","","",""
"proc_distro_ord_pct","ord_pct",0,"NUM",1,0,"","","",""
"proc_distro_ord_pct","rnd_mod",1,"STR",0,1,"","","",""
"proc_distro_ord_pct","rnd_uom",2,"STR",0,1,"","","",""
"proc_distro_ord_pct","sort_ord_lst",4,"STR",0,1,"","","",""
"proc_distro_ovr_evenly","cs_brk",2,"STR",0,1,"","","",""
"proc_distro_ovr_evenly","rnd_mod",0,"STR",0,1,"","","",""
"proc_distro_ovr_evenly","rnd_uom",1,"STR",0,1,"","","",""
"proc_distro_ovr_evenly","sort_ord_lst",3,"STR",0,1,"","","",""
"proc_distro_ovr_sto_ord_pct","cs_brk",2,"STR",0,1,"","","",""
"proc_distro_ovr_sto_ord_pct","rnd_mod",0,"STR",0,1,"","","",""
"proc_distro_ovr_sto_ord_pct","rnd_uom",1,"STR",0,1,"","","",""
"proc_distro_ovr_sto_ord_pct","sort_ord_lst",3,"STR",0,1,"","","",""
"proc_distro_ovr_uom","cs_brk",4,"STR",0,1,"","","",""
"proc_distro_ovr_uom","qty",0,"NUM",1,0,"","","",""
"proc_distro_ovr_uom","rnd_mod",2,"STR",0,1,"","","",""
"proc_distro_ovr_uom","rnd_uom",3,"STR",0,1,"","","",""
"proc_distro_ovr_uom","sort_ord_lst",5,"STR",0,1,"","","",""
"proc_distro_ovr_uom","uom",1,"STR",1,0,"","","",""
"proc_distro_sto_ord_pct","cs_brk",2,"STR",0,1,"","","",""
"proc_distro_sto_ord_pct","rnd_mod",0,"STR",0,1,"","","",""
"proc_distro_sto_ord_pct","rnd_uom",1,"STR",0,1,"","","",""
"proc_distro_sto_ord_pct","sort_ord_lst",3,"STR",0,1,"","","",""
"usr_prdc_lbl_doc_on_shpstg","lodnum",0,"STR",1,0,"20180919085200","20180919085200","939370","939370"
"usr_prdc_usr-rfh002_lbl","lodnum",0,"STR",1,0,"20180926160810","20180926160810","939370","939370"
"usr_prdc_usr-rfh003_lbl","lodnum",0,"STR",1,0,"20201130160810","20201130160810","938673","938673"
"usr_prdc_usr-rfh009","wkonum",0,"STR",1,0,"20230406000000","20230406000000","938673","938673"
"usr_prdc_usr-rfh010","wkonum",0,"STR",1,0,"20230414000000","20230414000000","938673","938673"
