doc_typ,lblfmt,moddte,mod_usr_id
"clulbl","clulbl","",""
"ctnlbl","711","",""
"ctnlbl","84_lumber_ctn","",""
"ctnlbl","advanceauto","",""
"ctnlbl","advanceauto_mixed","",""
"ctnlbl","albertsons","",""
"ctnlbl","amazon_ctn","",""
"ctnlbl","autozone","",""
"ctnlbl","bbbeyond_ctn","",""
"ctnlbl","bealls_3x8_ctn","",""
"ctnlbl","bealls_ctn","",""
"ctnlbl","belk_ctn","",""
"ctnlbl","berkshire_ctn","",""
"ctnlbl","biglots","",""
"ctnlbl","bjswhole","",""
"ctnlbl","bloomingdales_ctn","",""
"ctnlbl","bloomingdales_h","",""
"ctnlbl","burdines_ctn","",""
"ctnlbl","burdines_h","",""
"ctnlbl","burlington_cf_ctn","",""
"ctnlbl","cache","",""
"ctnlbl","caseys_ctn","",""
"ctnlbl","charming_shoppes_ctn","",""
"ctnlbl","circuit_city_ctn","",""
"ctnlbl","comp_usa","",""
"ctnlbl","csv","",""
"ctnlbl","delhaize","",""
"ctnlbl","dillards_ctn","",""
"ctnlbl","dollar_general_ctn","",""
"ctnlbl","dollar_tree","",""
"ctnlbl","duckwall_ctn","",""
"ctnlbl","federated_ctn","",""
"ctnlbl","federated_h_ctn","",""
"ctnlbl","fleming_ctn","",""
"ctnlbl","footstar","",""
"ctnlbl","gap","",""
"ctnlbl","giant_eagle","",""
"ctnlbl","heb","",""
"ctnlbl","henri_bendel","",""
"ctnlbl","home_depot_side_ctn","",""
"ctnlbl","home_depot_top_ctn","",""
"ctnlbl","home_shop_ntwrk_ctn","",""
"ctnlbl","intimate_brands","",""
"ctnlbl","jc_penney_ctn","",""
"ctnlbl","kbotys_ctn","",""
"ctnlbl","kmart_hardline_ctn","",""
"ctnlbl","kmart_non_edi_ctn","",""
"ctnlbl","kmart_softline_ctn","",""
"ctnlbl","kohls_bulk_ctn","",""
"ctnlbl","kohls_ctn","",""
"ctnlbl","kroger_ctn","",""
"ctnlbl","limited","",""
"ctnlbl","lowes_128","",""
"ctnlbl","lowes_2_of_5_ctn","",""
"ctnlbl","lowes_ups_ctn","",""
"ctnlbl","macys_ctn","",""
"ctnlbl","macys_h","",""
"ctnlbl","macys_west_ctn","",""
"ctnlbl","macys_west_h","",""
"ctnlbl","may_co_ctn","",""
"ctnlbl","may_co_h_ctn","",""
"ctnlbl","meijer_ctn","",""
"ctnlbl","michaels_ctn","",""
"ctnlbl","michaels_direct_ctn","",""
"ctnlbl","nieman_marcus_ctn","",""
"ctnlbl","nordstoms_ctn","",""
"ctnlbl","penn_traffic","",""
"ctnlbl","publix","",""
"ctnlbl","radio_shack_ctn","",""
"ctnlbl","radio_shack_mp_ctn","",""
"ctnlbl","rfid_ctnlbl","",""
"ctnlbl","richs_ctn","",""
"ctnlbl","rite_aid_ctn","",""
"ctnlbl","robinson_h","",""
"ctnlbl","robinsons","",""
"ctnlbl","ross","",""
"ctnlbl","safeway","",""
"ctnlbl","saks_ctn","",""
"ctnlbl","schnuck","",""
"ctnlbl","sears_ctn","",""
"ctnlbl","sears_stock_ctn","",""
"ctnlbl","shaws","",""
"ctnlbl","shopko_ctn","",""
"ctnlbl","smart_ctn","",""
"ctnlbl","speigel","",""
"ctnlbl","stater_ctn","",""
"ctnlbl","superval","",""
"ctnlbl","talbots","",""
"ctnlbl","target_cvs_ctn","",""
"ctnlbl","tiffany_ctn","",""
"ctnlbl","tmax","",""
"ctnlbl","toys_r_us_ctn","",""
"ctnlbl","value_city_ctn","",""
"ctnlbl","value_city_j_ctn","",""
"ctnlbl","walmart_ctn","",""
"ctnlbl","walmartupc_ctn","",""
"ctnlbl","wegmans_ctn","",""
"ctnlbl","wholefoods","",""
"ctnlbl","zale_ctn","",""
"loclbl","loclbl","",""
"pallbl","michaels_pal","",""
"pallbl","pallbl","",""
"pallbl","rfid_pallbl","",""
"pckshpbl","shplbl","",""
"prtlbl","prtlbl","",""
"shplbl","shplbl","",""
"shplbl","walmart_shp","",""
"USR-RFH002","USR-RFH002","20180912093431","RAOUL"
"USR-RFH003","USR-RFH003","20200212113120","939370"
"USR-RFH007","USR-RFH007","20210726135802","939370"
"USR-RFH010","USR-RFH010","20230414105009","938673"
