doc_typ,rpt_id,moddte,mod_usr_id
"bolrpt","Std-VICS-BillOfLading","",""
"bolrpt","Std-Walmart-BillOfLading","",""
"dckdrprcvrpt","Std-RcvWork","",""
"distroexcprpt","Std-DistroExceptions","",""
"loadstoprpt","Std-TrlrLoadStop","",""
"MnfstRpt","dummy-mnfst_rpt","",""
"palslotrpt","Std-TrlrPalSlot","",""
"pckslprpt","Std-PackingList","",""
"pckslprpt","Std-PackingListByCarMove","",""
"putostore_ctnrpt","Std-ListInvDtlForCmplCrtn","",""
"rcvrpt","Std-RecvTruckSummary","",""
"shpaptrpt","Std-AppointmentSummary","",""
"USR-RFH001-FFDELIVER","USR-RFH001-FFDELIVERYNOTE","20180919081205","939370"
"USR-RFH004","USR-RFH004 Inventory report","20200802235341","940409"
"USR-RFH005","USR-RFH005 Troubleshoot report","20200802235341","940409"
"USR-RFH009","USR-RFH009 Workorder","20230406125709","938673"
