doc_typ,seqnum,docfmt,docqty,exitpnt,devsrc,docgrp,locale_typ,locale_id,moddte,mod_usr_id
"bolrpt",1,"Std-VICS-BillOfLading",1,"DOCK-DOOR-SHIP","RPTDEF","","","","",""
"bolrpt",2,"Std-VICS-BillOfLading",1,"TRLRCLOSED","RPTDEF","","","","",""
"bolrpt",3,"Std-VICS-BillOfLading",1,"SHIPSTG","RPTDEF","","","","",""
"bolrpt",4,"Std-VICS-BillOfLading",1,"SHPDCKOPR","RPTDEF","","","","",""
"bolrpt",5,"Std-Walmart-BillOfLading",1,"TRLRCLOSED","RPTDEF","","","","",""
"bolrpt",6,"Std-Walmart-BillOfLading",1,"SHIPSTG","RPTDEF","","","","",""
"bolrpt",7,"Std-Walmart-BillOfLading",1,"SHPDCKOPR","RPTDEF","","","","",""
"bolrpt",8,"Std-VICS-BillOfLading",1,"OUTBOUND-LOAD","RPTDEF","","","","",""
"bolrpt",9,"Std-Walmart-BillOfLading",1,"OUTBOUND-LOAD","RPTDEF","","","","",""
"bolrpt",10,"Std-VICS-BillOfLading",1,"STOP","RPTDEF","","","","",""
"bolrpt",11,"Std-Walmart-BillOfLading",1,"STOP","RPTDEF","","","","",""
"bolrpt",12,"Std-VICS-BillOfLading",1,"OUTBOUND-SHIP","RPTDEF","","","","",""
"bolrpt",13,"Std-Walmart-BillOfLading",1,"OUTBOUND-SHIP","RPTDEF","","","","",""
"ctnlbl",1,"clulbl",1,"PRE-CTN-PICK","DSTLOC","","","","",""
"ctnlbl",2,"target_cvs",1,"MANFSTCRTN","RPTDEF","","","","",""
"dckdrprcvrpt",1,"Std-RcvWork",1,"DOCK-DOOR-RCV","RPTDEF","","","","",""
"distroexcprpt",1,"Std-DistroExceptions",1,"PRTREPORTDSEXCP","RPTDEF","","","","",""
"loadstoprpt",1,"Std-TrlrLoadStop",1,"STOP","RPTDEF","","","","",""
"loclbl",1,"loclbl",1,"LOCATION","RPTDEF","","","","",""
"MnfstRpt",1,"dummy-mnfst_rpt",1,"MANFSTCLSD","RFWRKS","","","","",""
"pallbl",1,"rfid_pallbl",1,"POST-PICK","DSTLOC","","","","",""
"pallbl",2,"pallbl",1,"CONTAINER-OPEN","RPTDEF","","","","",""
"pallbl",3,"pallbl",1,"EXP-RESID","RPTDEF","","","","",""
"pallbl",4,"pallbl",1,"UNEXP-RESID","RPTDEF","","","","",""
"pallbl",5,"pallbl",1,"UNPICK-SHIP-STG","RPTDEF","","","","",""
"pallbl",6,"pallbl",1,"RETITEMPROC","RPTDEF","","","","",""
"palslotrpt",1,"Std-TrlrPalSlot",1,"SHPDCKOPR","RPTDEF","","","","",""
"palslotrpt",2,"Std-TrlrPalSlot",1,"OUTBOUND-LOAD","SRCLOC","","","","",""
"palslotrpt",3,"Std-TrlrPalSlot",1,"STOP","SRCLOC","","","","",""
"palslotrpt",4,"Std-TrlrPalSlot",1,"OUTBOUND-SHIP","SRCLOC","","","","",""
"pckslprpt",1,"Std-PackingList",1,"SHPDCKOPR","RPTDEF","","","","",""
"pckslprpt",2,"Std-PackingList",1,"OUTBOUND-LOAD","RPTDEF","","","","",""
"pckslprpt",3,"Std-PackingList",1,"STOP","RPTDEF","","","","",""
"pckslprpt",4,"Std-PackingList",1,"OUTBOUND-SHIP","RPTDEF","","","","",""
"pckslprpt",5,"Std-PackingList",1,"PKOSTNPROC","RPTDEF","","","","",""
"prtlbl",1,"prtlbl",1,"ALLOCINV","RPTDEF","","","","",""
"putostore_ctnlbl",1,"putostore_ctnlbl",1,"INVCMPL","RPTDEF","","","","",""
"rcvrpt",1,"Std-RecvTruckSummary",1,"RCVTRKOPR","RPTDEF","","","","",""
"sedrpt",1,"Std-ShippersExportDeclaration",1,"MANFSTCRTN","RPTDEF","","","","",""
"shpaptrpt",1,"Std-AppointmentSummary",1,"OUTBOUND-LOAD","SRCLOC","","","","",""
"USR-RFH001-FFDELIVER",1,"USR-RFH001-FFDELIVERYNOTE",1,"INVMOV","RFWRKS","","specific_locale","US_ENGLISH","20180921144134","939370"
"USR-RFH001-FFDELIVER",2,"USR-RFH001-FFDELIVERYNOTE",1,"PRE-DEPOSIT","RFWRKS","","specific_locale","US_ENGLISH","20200422171633","938673"
"USR-RFH002",1,"USR-RFH002",1,"INVMOV","SRCLOC","","specific_locale","US_ENGLISH","20210518161702","939370"
"USR-RFH002",2,"USR-RFH002",1,"USR-RELABEL","SRCLOC","","specific_locale","US_ENGLISH","20210518161702","939370"
"USR-RFH003",1,"USR-RFH003",1,"INVMOV","SRCLOC","","specific_locale","US_ENGLISH","20200212145003","939370"
"USR-RFH003",2,"USR-RFH003",1,"USR-RELABEL","SRCLOC","","specific_locale","US_ENGLISH","20201201162347","938673"
"USR-RFH007",1,"USR-RFH007",1,"PRE-DEPOSIT","RFWRKS","","specific_locale","US_ENGLISH","20210726141306","939370"
"USR-RFH007",2,"USR-RFH007",1,"USR-RELABEL","SRCLOC","","specific_locale","US_ENGLISH","20210726141306","939370"
"USR-RFH009",1,"USR-RFH009 Workorder",1,"WKOSTART","RFWRKS","","specific_locale","US_ENGLISH","20230417094429","938673"
"USR-RFH010",1,"USR-RFH010",1,"WKOSTART","RFWRKS","","specific_locale","DUTCH_HOLLAND","20230417094415","938673"
"USR-RFH010",2,"USR-RFH010",1,"USR-RELABEL","RFWRKS","","specific_locale","DUTCH_HOLLAND","20230509123207","938673"
