doc_typ,doc_typ_cod,lvl_colnam,data_cmd,break_lvl,bill_flg,moddte,mod_usr_id
"bolrpt","R","lodlvl","produce lbl shipping paperwork","",0,"",""
"clulbl","L","lodlvl","produce lbl cluster pick label","",0,"",""
"ctnlbl","L","lodlvl","produce lbl carton label","",0,"",""
"cust_ctnlbl","L","lodlvl","produce lbl customer carton label","",0,"",""
"cust_pallbl","L","lodlvl","produce lbl customer pallet label","",0,"",""
"cust_shplbl","L","lodlvl","produce lbl customer shipment label","",0,"",""
"dckdrprcvrpt","R","lodlvl","produce lbl receiving paperwork","",0,"",""
"distroexcprpt","R","","produce lbl distribution exception","",0,"",""
"loadstoprpt","R","lodlvl","list rpt trailer load stop","",0,"",""
"loclbl","L","lodlvl","produce lbl location label","",0,"",""
"MnfstRpt","R","","produce lbl shipping paperwork","",0,"",""
"pallbl","L","lodlvl","produce lbl pallet label","",0,"",""
"palslotrpt","R","lodlvl","produce lbl shipping paperwork","",0,"",""
"pckshplbl","L","lodlvl","produce lbl pick shipment label","",0,"",""
"pckslprpt","R","lodlvl","produce lbl shipping paperwork","",0,"",""
"prtlbl","L","lodlvl","produce lbl part label","",0,"",""
"putostore_ctnlbl","L","lodlvl","produce lbl put to store carton label","",0,"",""
"putostore_ctnrpt","R","lodlvl","produce lbl put to store carton paperwork","",0,"",""
"rcvrpt","R","lodlvl","produce lbl receiving paperwork","",0,"",""
"sedrpt","R","lodlvl","produce lbl shipping paperwork","",0,"",""
"shpaptrpt","R","lodlvl","list rpt appointments","",0,"",""
"shplbl","L","lodlvl","produce lbl shipping label","",0,"",""
"USR-RFH001-FFDELIVER","R","lodlvl","produce usr lbl document on ship staging","",0,"20180926161438","939370"
"USR-RFH002","L","lodlvl","produce usr usr_rfh002 lbl","",0,"20180926161428","939370"
"USR-RFH003","L","lodlvl","produce usr usr_rfh003 lbl","",0,"20200212112804","939370"
"USR-RFH004","R","","NOOP","",0,"20200802235341","940409"
"USR-RFH005","R","","NOOP","",0,"20201005235341","938673"
"USR-RFH006","R","","NOOP","",0,"20201005235341","938673"
"USR-RFH007","L","lodlvl","produce usr delivery label","",0,"20210726165609","939370"
"USR-RFH009","R","","produce usr usr_rfh009","",0,"20230414102833","938673"
"USR-RFH010","L","","produce usr usr_rfh010 lbl","",0,"20230417122258","938673"
