doc_typ,colval,par_uom_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"bolrpt","S",0,"","","",""
"clulbl","S",0,"","","",""
"ctnlbl","L",0,"","","",""
"cust_ctnlbl","L",0,"","","",""
"cust_pallbl","L",0,"","","",""
"cust_shplbl","L",0,"","","",""
"pallbl","L",0,"","","",""
"palslotrpt","S",0,"","","",""
"pckshplbl","S",0,"","","",""
"pckslprpt","S",0,"","","",""
"putostore_ctnlbl","S",0,"","","",""
"putostore_ctnrpt","S",0,"","","",""
"rcvrpt","L",0,"","","",""
"sedrpt","S",0,"","","",""
"shplbl","S",0,"","","",""
"USR-RFH001-FFDELIVER","L",0,"20180919080656","20180919080656","939370","939370"
"USR-RFH002","S",0,"20180912123755","20180912123755","RAOUL","RAOUL"
"USR-RFH003","S",0,"20200212113852","20200212113852","939370","939370"
"USR-RFH007","L",0,"20210726161514","20210726161514","939370","939370"
