evt_nam,priority,ack_flg,exp_flg,exp_tm,esc_flg,esc_tm,esc_evt,prm_lck_flg,moddte,mod_usr_id,grp_nam
"EMS-EVENT-LIMIT",3,0,0,0,0,0,"",0,"","","ems_data"
"EMS-HELD-ALERT-LIMIT",1,0,0,0,0,0,"",0,"","","ems_data"
"INT-DWNLD_HAS_ERRORS",0,0,0,0,0,0,"",0,"","",""
"INT-FAILED_TO_SEND_IFDS",0,0,0,0,0,0,"",0,"","",""
"SAL-ARC-ERROR",0,0,0,0,0,0,"",0,"","",""
"SAL-DEFERRED-EXEC-FAILED",0,0,0,0,0,0,"",0,"","",""
"SYSTEM-CONNECTION-FAILURE",3,0,0,0,0,0,"",0,"","","ems_data"
"USR-ALLOC-WAVE",0,0,0,0,0,0,"",1,"20221109142401","940409",""
"USR-FAILED-CREATE-STOP",0,0,0,0,0,0,"",1,"20221109142615","940409",""
"USR-FAILED-LOAD-STOP",0,0,0,0,0,0,"",1,"20221109142648","940409",""
"USR-SHORT-ALLOC",0,0,0,0,0,0,"",0,"","",""
"WMD-CANCEL-PICK",0,0,0,0,0,0,"",0,"","",""
"WMD-ERRORED-LOCATION",0,0,0,0,0,0,"",0,"","",""
"WMD-FAIL-BCKGRND-SERVICE",0,0,0,0,0,0,"",0,"","",""
