exitpnt_typ,exitpnt,tblnme,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"SERVICE-BACKGROUND","ALLOCINV","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDCOMPLETE","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDERROR","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDINIT","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDOPR","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDPRTSCAN","","","",0,"","","",""
"SERVICE-BACKGROUND","AUDSTNCLOSE","","","",0,"","","",""
"SERVICE-BACKGROUND","CONTAINER-OPEN","","","",0,"","","",""
"SERVICE-BACKGROUND","CRTNCMPL","","","",0,"","","",""
"SERVICE-BACKGROUND","DEPLSTINVORD","","","",0,"","","",""
"SERVICE-BACKGROUND","DOCK-DOOR-RCV","","","",0,"","","",""
"SERVICE-BACKGROUND","DOCK-DOOR-SHIP","","","",0,"","","",""
"SERVICE-BACKGROUND","EXP-RESID","","","",0,"","","",""
"SERVICE-BACKGROUND","IDENTMANFSTCRTN","","","",0,"","","",""
"SERVICE-BACKGROUND","INBPALBLDSTART","","","",0,"","","",""
"SERVICE-BACKGROUND","INVCMPL","","","",0,"","","",""
"SERVICE-BACKGROUND","INVMOV","","","",0,"","","",""
"SERVICE-BACKGROUND","LIST-START","","","",0,"","","",""
"SERVICE-BACKGROUND","LOADTRLR","","","",0,"","","",""
"SERVICE-BACKGROUND","LOCATION","","","",0,"","","",""
"SERVICE-BACKGROUND","MANFSTCLSD","","","",0,"","","",""
"SERVICE-BACKGROUND","MANFSTCRTN","","","",0,"","","",""
"SERVICE-BACKGROUND","MANPKGOPR","","","",0,"","","",""
"SERVICE-BACKGROUND","MSTRCPTCHKIN","","","",0,"","","",""
"SERVICE-BACKGROUND","MSTRCPTUNLOD","","","",0,"","","",""
"SERVICE-BACKGROUND","PASS-ASSIGNMENT","","","",0,"","","",""
"SERVICE-BACKGROUND","PICK-INITIATION","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOCLOSE","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOERROR","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOINIT","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOPRTSCAN","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOSHIPCMPL","","","",0,"","","",""
"SERVICE-BACKGROUND","PKOSTNPROC","","","",0,"","","",""
"SERVICE-BACKGROUND","POST_LOAD_PLAN","","","",0,"","","",""
"SERVICE-BACKGROUND","POST-ALLOCATE","","","",0,"","","",""
"SERVICE-BACKGROUND","PRE-DEPOSIT","","","",0,"","","",""
"SERVICE-BACKGROUND","PRE-PACK","","","",0,"","","",""
"SERVICE-BACKGROUND","PREPFORSHP","","","",0,"","","",""
"SERVICE-BACKGROUND","PRTREPORTDSEXCP","","","",0,"","","",""
"SERVICE-BACKGROUND","RCVTRKOPR","","","",0,"","","",""
"SERVICE-BACKGROUND","RETCLOSE","","","",0,"","","",""
"SERVICE-BACKGROUND","RETITEMPROC","","","",0,"","","",""
"SERVICE-BACKGROUND","RFOUTAUDCOMP","","","",0,"","","",""
"SERVICE-BACKGROUND","SHIPCREATED","","","",0,"","","",""
"SERVICE-BACKGROUND","SHIPSTG","","","",0,"","","",""
"SERVICE-BACKGROUND","SHPDCKOPR","","","",0,"","","",""
"SERVICE-BACKGROUND","SKIP-PICK","","","",0,"","","",""
"SERVICE-BACKGROUND","SPHANDMERGCOMP","","","",0,"","","",""
"SERVICE-BACKGROUND","STOPCMPL","","","",0,"","","",""
"SERVICE-BACKGROUND","TRLRCLOSED","","","",0,"","","",""
"SERVICE-BACKGROUND","TRLRDISPATCHED","","","",0,"","","",""
"SERVICE-BACKGROUND","TRLRLOADED","","","",0,"","","",""
"SERVICE-BACKGROUND","TRLRPRELDUNLD","","","",0,"","","",""
"SERVICE-BACKGROUND","TRLRTODOCK","","","",0,"","","",""
"SERVICE-BACKGROUND","UNEXP-RESID","","","",0,"","","",""
"SERVICE-BACKGROUND","UNPICK-SHIP-STG","","","",0,"","","",""
"SERVICE-BACKGROUND","USR-ASSET-CHG","inv_asset","20190104144315","939370",2,"20190104144224","20190104144315","939370","939370"
