role_id,ena_flg,par_role_id,ath_grp_nam,adj_thr_cst,adj_thr_unit,grp_nam
"BASE_API",1,"SUPER","",0,0,"dcs_data"
"BILLING_API",1,"SUPER","",0,0,"dcs_data"
"CONFIGURATION_API",1,"SUPER","",0,0,"dcs_data"
"CONSOLE_ADMIN",1,"SUPER","",0,0,"mcs_data"
"CONSOLE_READ",1,"CONSOLE_ADMIN","",0,0,"mcs_data"
"COUNT_AUDITOR",1,"SUPER","",0,0,"dcs_data"
"COUNTING_API",1,"SUPER","",0,0,"dcs_data"
"CUSTOMER_API",1,"SUPER","",0,0,"dcs_data"
"CYCLE_COUNTER",1,"SUPER","",0,0,"dcs_data"
"DCS_SUPER",1,"SUPER","",0,0,"dcs_data"
"EMS_ADMIN",1,"SUPER","",0,0,"ems_data"
"EMS_USER",1,"SUPER","",0,0,"ems_data"
"EXTENSIBILITY_API",1,"SUPER","",0,0,"dcs_data"
"INT_ANALYST",1,"SUPER","",0,0,"sl_data"
"INT_DEBUGGER",1,"SUPER","",0,0,"sl_data"
"INT_SUPER",1,"SUPER","",0,0,"sl_data"
"INVENTORY_API",1,"SUPER","",0,0,"dcs_data"
"INVENTORY_CONTROL",1,"SUPER","",0,0,"dcs_data"
"INVENTORY_MANAGER",1,"SUPER","",0,0,"dcs_data"
"LITEWM",1,"SUPER","",0,0,"dcs_data"
"MEDIA_API",1,"SUPER","",0,0,"dcs_data"
"MTF_SUPER",1,"SUPER","",0,0,"mtf_sal_data"
"ORDER_API",1,"SUPER","",0,0,"dcs_data"
"OUTBOUND_PLANNER",1,"SUPER","",0,0,"dcs_data"
"PACKING",1,"SUPER","",0,0,"dcs_data"
"PACKING_API",1,"SUPER","",0,0,"dcs_data"
"PICKER_API",1,"SUPER","",0,0,"dcs_data"
"PICKER_CASES",1,"SUPER","",0,0,"dcs_data"
"PICKER_EACHES",1,"SUPER","",0,0,"dcs_data"
"PICKER_PALLET",1,"SUPER","",0,0,"dcs_data"
"PICKING_MANAGER",1,"SUPER","",0,0,"dcs_data"
"PRODUCTION",1,"SUPER","",0,0,"dcs_data"
"QUALITY",1,"SUPER","",0,0,"dcs_data"
"RECEIVE_SHIP_OFFICE",1,"SUPER","",0,0,"dcs_data"
"RECEIVER",1,"SUPER","",0,0,"dcs_data"
"RECEIVING_API",1,"SUPER","",0,0,"dcs_data"
"RECEIVING_CLERK",1,"SUPER","",0,0,"dcs_data"
"RECEIVING_MANAGER",1,"SUPER","",0,0,"dcs_data"
"RECEIVING_SUPER",1,"SUPER","",0,0,"dcs_data"
"RefsAdministrator",1,"SUPER","",0,0,"mcs_data"
"REPORT_ADMIN",1,"SUPER","",0,0,"reporting_data"
"REPORT_USER",1,"SUPER","",0,0,"reporting_data"
"RETURNS_OPERATOR",1,"SUPER","",0,0,"dcs_data"
"RFH_API",1,"RFH_FAB","",0.0,0,""
"RFH_FAB",1,"SUPER","",0.0,0,""
"RFH_KEYUSER",1,"RFH_FAB","",0.0,0,""
"RFH_OGD",1,"RFH_FAB","",0.0,0,""
"RFH_PRD",1,"RFH_FAB","",0.0,0,""
"RFH_QC",1,"RFH_FAB","",0.0,0,""
"RFH_RF_JR_PCK",1,"RFH_TM","",0.0,0,""
"RFH_RF_JR_PRD",1,"RFH_TM","",0.0,0,""
"RFH_RF_PCK",1,"RFH_TM","",0.0,0,""
"RFH_RF_SR_PCK",1,"RFH_TM","",0.0,0,""
"RFH_RF_SR_PRD",1,"RFH_TM","",0.0,0,""
"RFH_RF_SR_RCV",1,"RFH_TM","",0.0,0,""
"RFH_RF_TRN",1,"RFH_TM","",0.0,0,""
"RFH_TM",1,"RFH_FAB","",0.0,0,""
"RFH_TSH",1,"RFH_TM","",0.0,0,""
"SHIPPING_API",1,"SUPER","",0,0,"dcs_data"
"SHIPPING_CLERK",1,"SUPER","",0,0,"dcs_data"
"SHIPPING_LOADER",1,"SUPER","",0,0,"dcs_data"
"SHIPPING_MANAGER",1,"SUPER","",0,0,"dcs_data"
"SHIPPING_SUPER",1,"SUPER","",0,0,"dcs_data"
"SUPER",1,"SUPER","",0,0,"mcs_data"
"SYSTEM_ADMIN",1,"SUPER","",0,0,"mcs_data"
"SYSTEM_USER",1,"SUPER","",0,0,"mcs_data"
"test_mob",1,"RFH_TM","",0.0,0,""
"USER_API",1,"SUPER","",0,0,"dcs_data"
"WAREHOUSE_API",1,"SUPER","",0,0,"dcs_data"
"WM_OPERATIONS",1,"SUPER","",0,0,"dcs_data"
"WM_SETUP_USER",1,"SUPER","",0,0,"dcs_data"
"WORKFLOW_API",1,"SUPER","",0,0,"dcs_data"
"WORKMANAGER_API",1,"SUPER","",0,0,"dcs_data"
"YARD_API",1,"SUPER","",0,0,"dcs_data"
"YARD_MANAGER",1,"SUPER","",0,0,"dcs_data"
