lkp_id,cust_lvl,lkp_cmd,static_cmd_flg,lkp_comp,ret_fld,grp_nam
"l_abccod",0,"list code descriptions where colnam = "abccod"",1,"","","dcs_data"
"l_abs_ordinv_code",0,"list code descriptions where colnam = "abs_ordinv_code"",1,"","","dcs_data"
"l_ack_cod",0,"list code descriptions where colnam = "ack_cod"",0,"","","ems_data"
"l_act_comp",0,"list code descriptions where colnam = "comp"",1,"","","mcs_data"
"l_act_func",0,"list code descriptions where colnam = "func"",1,"","","mcs_data"
"l_act_key",0,"list action",0,"","","mcs_data"
"l_act_typ",0,"list code descriptions where colnam = "act_typ"",1,"","","mcs_data"
"l_actcod",0,"list activity codes",1,"","","dcs_data"
"l_actcod_mnt",0,"[select actcod from actcod]",1,"","","sal_data"
"l_actcod_servactmnt",0,"[select serv_typ serv_typ from serv_mst where serv_id = '&serv_id']|if (@serv_typ = 'BCKSERV'){ list code descriptions where colnam = 'serv_action_cod' and codval = 'RUNCMD' } else { list code descriptions where colnam = 'serv_action_cod' and [codval IN ('EMSEVT','PRNTRPT','RUNCMD')]}",0,"","","dcs_data"
"l_actcod_worktype_id",0,"get lms configuration where wh_id =@@wh_id | if(@installed = 1) { remote (@lms_host_string) { list work types } }",1,"","","sal_data"
"l_action",0,"list dda",0,"","dda_id","mcs_data"
"l_action_cd",0,"list code descriptions where colnam = 'action_cd'",1,"","","dcs_data"
"l_action_on_dup",0,"list code descriptions where colnam = "action_on_dup"",1,"","","sal_data"
"l_acttyp",0,"list code descriptions where colnam = "acttyp"",1,"","","mcs_data"
"l_addon_id",0,"list policies where polcod = 'SYSTEM-INFORMATION' and polvar = 'MISCELLANEOUS' and polval = 'ADDON_ID'",0,"","","mcs_data"
"l_addon_id_hook_cod",0,"list code descriptions where colnam = 'addon_id_hook_var'",0,"","","mcs_data"
"l_adj_mthd",0,"list code descriptions where colnam = 'adj_mthd'",1,"","","dcs_data"
"l_adr_fmt",0,"list address formats",1,"","","mcs_data"
"l_adr_id",0,"publish data where adr_id = '&adr_id' and adr_img = '<img src=''images/envelope.gif''>'",0,"","","dcs_data"
"l_adrcty",0,"list city postal codes",1,"","","sal_data"
"l_adrnam",0,"list addresses",0,"","","sal_data"
