mnu_grp,mnu_itm,mnu_seq,opt_nam,grp_nam
"mnugrpAsset","mnuitmAlcAssetGrpMnt",0,"AlcAssetGrpMnt","dcs_data"
"mnugrpAssetMgmnt","mnuitmAssetDsp",0,"AssetDsp","dcs_data"
"mnugrpAssetMgmnt","mnuitmAssetMovHis",0,"AssetMovHis","dcs_data"
"mnugrpAssetMgmnt","mnuitmAssetShpOpr",0,"AssetShpOpr","dcs_data"
"mnugrpAssetMgmnt","mnuitmLowAssetAlert",0,"LowAssetAlert","dcs_data"
"mnugrpAssetMgmnt","mnuitmNonSerAssetAdjOpr",0,"mnuoptNonSerAssetAdjOpr","dcs_data"
"mnugrpAssetMgmnt","mnuitmSlowMovingAssetAlert",0,"SlowMovingAssetAlert","dcs_data"
"mnugrpClient","mnuitmClientGrpMnt",0,"ClientGrpMnt","sal_data"
"mnugrpClient","mnuitmSALClientMnt",0,"SALClientMnt","sal_data"
"mnugrpDatabase","mnuitmDbArcMnt",0,"DbArcMnt","sal_data"
"mnugrpDatabase","mnuitmFieldLookup",0,"mnuoptFieldLookup","sal_data"
"mnugrpDatabase","mnuitmIndexLookup",0,"mnuoptIndexLookup","sal_data"
"mnugrpDatabase","mnuitmTableDef",0,"mnuoptTableDef","sal_data"
"mnugrpEquipMnt","mnuitmEquipGrpMnt",0,"EquipGrpMnt","dcs_data"
"mnugrpEquipMnt","mnuitmEquipMnt",0,"EquipMnt","dcs_data"
"mnugrpFacility","mnuitmDockCapMnt",0,"mnuoptDockCapMnt","dcs_data"
"mnugrpFacility","mnuitmLocMstMnt",0,"LocMstMnt","dcs_data"
"mnugrpFacility","mnuitmLocMstOvr",0,"LocMstOvr","dcs_data"
"mnugrpFacility","mnuitmPltPosMnt",0,"PltPosMnt","dcs_data"
"mnugrpFacility","mnuitmTrlrMgtOpr",0,"TrlrMgtOpr","dcs_data"
"mnugrpFacility","mnuitmWcsIntMnt",0,"WcsIntMnt","dcs_data"
"mnugrpFacility","mnuitmWhMnt",0,"WhMnt","mcs_data"
"mnugrpFacility","mnuitmYrdMgtOpr",0,"YrdMgtOpr","dcs_data"
"mnugrpFacility","mnuitmZonConsRulMnt",0,"ZonConsRulMnt","dcs_data"
"mnugrpIntDiagnostics","mnuitmasyncevtviewer",0,"asyncevtviewer","int_data"
"mnugrpIntDiagnostics","mnuitmdwnldquery",0,"dwnldquery","int_data"
"mnugrpIntDiagnostics","mnuitmdwnldviewer",0,"dwnldviewer","int_data"
"mnugrpIntDiagnostics","mnuitmemsblkviewer",0,"emsblkviewer","int_data"
"mnugrpIntDiagnostics","mnuitmevtquery",0,"evtquery","int_data"
"mnugrpIntDiagnostics","mnuitmfacilityviewer",0,"facilityviewer","int_data"
"mnugrpIntDiagnostics","mnuitmiifddtsearch",0,"iifddtsearch","int_data"
"mnugrpIntDiagnostics","mnuitminvdatacorrect",0,"invdatacorrect","int_data"
"mnugrpIntDiagnostics","mnuitminvdatarpt",0,"invdatarpt","int_data"
"mnugrpIntDiagnostics","mnuitmmsglog",0,"msglog","int_data"
"mnugrpIntegration","mnuitmalgorithms",0,"algorithms","sl_data"
"mnugrpIntegration","mnuitmevents",0,"events","sl_data"
"mnugrpIntegration","mnuitmifds",0,"ifds","sl_data"
"mnugrpIntegration","mnuitmTransactions",0,"Transactions","sl_data"
"mnugrpIntGenERP","mnuitmcaiinstalltriggers",0,"caiinstalltriggers","int_data"
"mnugrpIntGenERP","mnuitmsaplocmap",0,"saplocmap","int_data"
"mnugrpIntMaintenance","mnuitmalggrpmnt",0,"alggrpmnt","int_data"
"mnugrpIntMaintenance","mnuitmalgmnt",0,"algmnt","int_data"
"mnugrpIntMaintenance","mnuitmcommmthdmnt",0,"commmthdmnt","int_data"
"mnugrpIntMaintenance","mnuitmdtlayoutmnt",0,"dtlayoutmnt","int_data"
