opt_nam,opt_typ,pmsn_mask,ena_flg,exec_nam,exec_parm,btn_img_id,ath_grp_nam,addon_id,grp_nam
"ActCodMnt","A",-1,0,"actcodmnt","supervisor=0","","","","sal_data"
"ActionMnt","A",-1,1,"ActionMnt","","","","","mcs_data"
"AlcAssetGrpMnt","A",-1,0,"alcassetgrpmnt","","","","","dcs_data"
"alggrpmnt","A",-1,1,"alggrpmnt","","","","","int_data"
"algmnt","A",-1,1,"algmnt","","","","","int_data"
"algorithms","A",-1,1,"algorithms","","","","","int_data"
"allcust","A",-1,1,"allcust","","","","","int_data"
"AllocSummaryDsp","A",-1,0,"allocsummarydsp","","","","","dcs_data"
"ApptMnt","A",-1,1,"apptmnt","","","","","dcs_data"
"AsgLocDsp","A",-1,0,"asglocdsp","","","","","dcs_data"
"AssetDsp","A",-1,0,"assetdsp","","","","","dcs_data"
"AssetMovHis","A",-1,0,"assetmovhis","","","","","dcs_data"
"AssetShpOpr","A",-1,0,"assetshpopr","","","","","dcs_data"
"AssLocContIncPrtAll","A",-1,0,"assloccontincprtall","","","","","dcs_data"
"AssLocContIncPrtwthOutsndRepl","A",-1,0,"assloccontincprtrpl","","","","","dcs_data"
"AssLocwthCseHgtPrtGrtAssLocHgtAll","A",-1,0,"asslochgtoutstdall","","","","","dcs_data"
"AssLocwthCseHgtPrtGrtAssLocHgtwthOutstndRepl","A",-1,0,"asslochgtoutstdrepl","","","","","dcs_data"
"asyncevtviewer","A",-1,1,"asyncevtviewer","","","","","int_data"
"asyncmoca","A",-1,1,"asyncmoca","","","","","int_data"
"audit_trailerwork_create","U",-1,1,"","","","","","dcs_data"
"audit_trailerwork_missing","U",-1,1,"","","","","","dcs_data"
"AuthMnt","A",-1,0,"AuthMnt","","","","","mcs_data"
"AutLinMnt","A",-1,0,"autlinmnt","","","","","dcs_data"
"AutLinOpr","A",-1,0,"autlinopr","","","","","dcs_data"
"BomMnt","A",-1,0,"bommnt","","","","","dcs_data"
"BtnMstMnt","A",-1,1,"btnmstmnt","","","","","mcs_data"
"BundleInvOpr","A",-1,0,"bundleinvopr","","","","","dcs_data"
"cachesizemnt","A",-1,1,"cachesizemnt","","","","","int_data"
"caiinstalltriggers","A",-1,1,"caiinstalltriggers","","","","","int_data"
"CalMstMnt","A",-1,0,"calmstmnt","","","","","dcs_data"
"CANCEL_PICK","R",-1,1,"CANCEL_PICK","","","","","dcs_data"
