opt_nam,ath_typ,ath_id,pmsn_mask,grp_nam
"ActCodMnt","R","SUPER",-1,"sal_data"
"ActionMnt","R","SUPER",-1,"mcs_data"
"AddressWrite","R","RFH_FAB",0,""
"AddressWrite","R","RFH_TM",0,""
"AlcAssetGrpMnt","R","DCS_SUPER",-1,"dcs_data"
"alggrpmnt","R","INT_ANALYST",0,"int_data"
"alggrpmnt","R","INT_DEBUGGER",0,"int_data"
"alggrpmnt","R","INT_SUPER",-1,"int_data"
"algmnt","R","INT_ANALYST",0,"int_data"
"algmnt","R","INT_DEBUGGER",0,"int_data"
"algmnt","R","INT_SUPER",-1,"int_data"
"algorithms","R","INT_ANALYST",-1,"int_data"
"algorithms","R","INT_DEBUGGER",-1,"int_data"
"algorithms","R","INT_SUPER",-1,"int_data"
"allcust","R","INT_ANALYST",-1,"int_data"
"allcust","R","INT_DEBUGGER",-1,"int_data"
"allcust","R","INT_SUPER",-1,"int_data"
"AllocSummaryDsp","R","DCS_SUPER",-1,"dcs_data"
"ApptMnt","R","DCS_SUPER",-1,"dcs_data"
"AsgLocDsp","R","DCS_SUPER",-1,"dcs_data"
"AssetDsp","R","DCS_SUPER",-1,"dcs_data"
"AssetMovHis","R","DCS_SUPER",-1,"dcs_data"
"AssetShpOpr","R","DCS_SUPER",-1,"dcs_data"
"AssLocContIncPrtAll","R","DCS_SUPER",-1,"dcs_data"
"AssLocContIncPrtwthOutsndRepl","R","DCS_SUPER",-1,"dcs_data"
"AssLocwthCseHgtPrtGrtAssLocHgtAll","R","DCS_SUPER",-1,"dcs_data"
"AssLocwthCseHgtPrtGrtAssLocHgtwthOutstndRepl","R","DCS_SUPER",-1,"dcs_data"
"asyncevtviewer","R","INT_ANALYST",0,"int_data"
"asyncevtviewer","R","INT_DEBUGGER",0,"int_data"
"asyncevtviewer","R","INT_SUPER",-1,"int_data"
"asyncmoca","R","INT_ANALYST",-1,"int_data"
"asyncmoca","R","INT_DEBUGGER",-1,"int_data"
"asyncmoca","R","INT_SUPER",-1,"int_data"
"audit_trailerwork_create","R","DCS_SUPER",-1,"dcs_data"
"audit_trailerwork_create","R","RECEIVING_CLERK",-1,"dcs_data"
"audit_trailerwork_create","R","RECEIVING_MANAGER",-1,"dcs_data"
"audit_trailerwork_create","R","SHIPPING_CLERK",-1,"dcs_data"
"audit_trailerwork_create","R","SHIPPING_MANAGER",-1,"dcs_data"
"audit_trailerwork_create","R","YARD_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","R","DCS_SUPER",-1,"dcs_data"
"audit_trailerwork_missing","R","RECEIVING_CLERK",-1,"dcs_data"
"audit_trailerwork_missing","R","RECEIVING_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","R","SHIPPING_CLERK",-1,"dcs_data"
"audit_trailerwork_missing","R","SHIPPING_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","R","YARD_MANAGER",-1,"dcs_data"
"AuthMnt","R","RFH_FAB",-1,""
"AuthMnt","R","SUPER",-1,"mcs_data"
"AutLinMnt","R","DCS_SUPER",-1,"dcs_data"
"AutLinOpr","R","DCS_SUPER",-1,"dcs_data"
"BomMnt","R","DCS_SUPER",-1,"dcs_data"
"BtnMstMnt","R","SUPER",-1,"mcs_data"
"BundleInvOpr","R","DCS_SUPER",-1,"dcs_data"
"cachesizemnt","R","INT_ANALYST",0,"int_data"
"cachesizemnt","R","INT_DEBUGGER",0,"int_data"
"cachesizemnt","R","INT_SUPER",-1,"int_data"
"caiinstalltriggers","R","INT_SUPER",-1,"int_data"
"CalMstMnt","R","DCS_SUPER",-1,"dcs_data"
"CalMstMnt","R","RFH_FAB",0,""
"CANCEL_PICK","R","PICKER_API",-1,"dcs_data"
"CANCEL_PICK","R","RFH_API",-1,""
"CANCEL_WORK","R","RFH_API",-1,""
"CANCEL_WORK","R","WORKMANAGER_API",-1,"dcs_data"
"CanPckDsp","R","DCS_SUPER",-1,"dcs_data"
"CarMovDsp","R","DCS_SUPER",-1,"dcs_data"
"CarMoveMnt","R","DCS_SUPER",-1,"dcs_data"
"CarStsDsp","R","DCS_SUPER",-1,"dcs_data"
"ChgInvNonSerAsset","R","DCS_SUPER",-1,"dcs_data"
"ClientGrpMnt","R","SUPER",-1,"sal_data"
"CliOwsTrf","R","DCS_SUPER",-1,"dcs_data"
"CLOSE_INBOUND","R","RECEIVING_API",-1,"dcs_data"
"CLOSE_INBOUND","R","RFH_API",-1,""
"CLOSE_TRANSPORT_EQUIPMENT","R","RECEIVING_API",-1,"dcs_data"
"CLOSE_TRANSPORT_EQUIPMENT","R","RFH_API",-1,""
"CLOSE_TRANSPORT_EQUIPMENT","R","SHIPPING_API",-1,"dcs_data"
"CLOSE_TRANSPORT_EQUIPMENT","R","YARD_API",-1,"dcs_data"
"CmpHdrSerNum","R","DCS_SUPER",-1,"dcs_data"
"CntAudOpr","R","DCS_SUPER",-1,"dcs_data"
"CntDsp","R","DCS_SUPER",-1,"dcs_data"
"CntEntOpr","R","DCS_SUPER",-1,"dcs_data"
"CntReqOpr","R","DCS_SUPER",-1,"dcs_data"
"CodeSuprMnt","R","SUPER",-1,"sal_data"
"commmthdmnt","R","INT_ANALYST",0,"int_data"
"commmthdmnt","R","INT_DEBUGGER",0,"int_data"
"commmthdmnt","R","INT_SUPER",-1,"int_data"
"COMPLETE_STOP","R","RFH_API",-1,""
"COMPLETE_STOP","R","SHIPPING_API",-1,"dcs_data"
"COMPLETE_WORK_ASSIGNMENT_EARLY","R","PICKER_API",-1,"dcs_data"
"COMPLETE_WORK_ASSIGNMENT_EARLY","R","RFH_API",-1,""
"CONFIGURE_WAREHOUSE","R","RFH_API",-1,""
"CONFIGURE_WAREHOUSE","R","WAREHOUSE_API",-1,"dcs_data"
"confirmpick_remove","R","OUTBOUND_PLANNER",-1,"dcs_data"
"confirmpick_remove","R","PICKING_MANAGER",-1,"dcs_data"
"copy_lang_entries","R","DCS_SUPER",-1,"dcs_data"
"copy_lang_entries","R","INVENTORY_MANAGER",-1,"dcs_data"
"copy_lang_entries","R","WM_SETUP_USER",-1,"dcs_data"
"CREATE_CUSTOMER","R","CUSTOMER_API",-1,"dcs_data"
"CREATE_CUSTOMER","R","RFH_API",-1,""
"CREATE_REPLENISHMENT","R","PICKER_API",-1,"dcs_data"
"CREATE_REPLENISHMENT","R","RFH_API",-1,""
"CstmsCnsgnMnt","R","DCS_SUPER",-1,"dcs_data"
"CstmsOrdTypMnt","R","DCS_SUPER",-1,"dcs_data"
"CstmsOrdTypRuleMnt","R","DCS_SUPER",-1,"dcs_data"
"CtnCnfOpr","R","DCS_SUPER",-1,"dcs_data"
"CtnPcksDsp","R","DCS_SUPER",-1,"dcs_data"
"CtyPszMnt","R","SUPER",-1,"sal_data"
"CtyPszMntWeb","R","SUPER",-1,"salweb_data"
"CustFldMnt","R","SUPER",-1,"mcs_data"
"CustomerMnt","R","SUPER",-1,"sal_data"
"customs_consignment_change","R","DCS_SUPER",-1,"dcs_data"
"customs_consignment_change","R","INVENTORY_CONTROL",-1,"dcs_data"
"customs_consignment_change","R","INVENTORY_MANAGER",-1,"dcs_data"
"customs_consignment_change","R","OUTBOUND_PLANNER",-1,"dcs_data"
"customs_consignment_change","R","PICKING_MANAGER",-1,"dcs_data"
"customs_consignment_change","R","PRODUCTION",-1,"dcs_data"
"customs_consignment_change","R","RECEIVING_CLERK",-1,"dcs_data"
"customs_consignment_change","R","RECEIVING_MANAGER",-1,"dcs_data"
"customs_consignment_change","R","SHIPPING_CLERK",-1,"dcs_data"
"customs_consignment_change","R","SHIPPING_MANAGER",-1,"dcs_data"
"CustPmsnMnt","R","SUPER",-1,"mcs_data"
"CycCntOpr","R","DCS_SUPER",-1,"dcs_data"
"DashModDefMnt","R","SUPER",-1,"sal_data"
"DbArcMnt","R","SUPER",-1,"sal_data"
"DckDrOpr","R","DCS_SUPER",-1,"dcs_data"
"DckSchdOpr","R","DCS_SUPER",-1,"dcs_data"
"DDAMstMnt","R","SUPER",-1,"mcs_data"
"DEFER_WORK_ASSIGNMENT","R","PICKER_API",-1,"dcs_data"
"DEFER_WORK_ASSIGNMENT","R","RFH_API",-1,""
"DekitOpr","R","DCS_SUPER",-1,"dcs_data"
"DelvConfOpr","R","DCS_SUPER",-1,"dcs_data"
"DEPLOY_MCMDS","R","BASE_API",-1,"dcs_data"
