opt_nam,ath_id,pmsn_mask,grp_nam
"audit_trailerwork_create","DCS_SUPER",-1,"dcs_data"
"audit_trailerwork_create","RECEIVING_CLERK",-1,"dcs_data"
"audit_trailerwork_create","RECEIVING_MANAGER",-1,"dcs_data"
"audit_trailerwork_create","SHIPPING_CLERK",-1,"dcs_data"
"audit_trailerwork_create","SHIPPING_MANAGER",-1,"dcs_data"
"audit_trailerwork_create","YARD_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","DCS_SUPER",-1,"dcs_data"
"audit_trailerwork_missing","RECEIVING_CLERK",-1,"dcs_data"
"audit_trailerwork_missing","RECEIVING_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","SHIPPING_CLERK",-1,"dcs_data"
"audit_trailerwork_missing","SHIPPING_MANAGER",-1,"dcs_data"
"audit_trailerwork_missing","YARD_MANAGER",-1,"dcs_data"
"confirmpick_remove","OUTBOUND_PLANNER",-1,"dcs_data"
"confirmpick_remove","PICKING_MANAGER",-1,"dcs_data"
"count_audit_operation","DCS_SUPER",-1,"dcs_data"
"count_entry_operation","DCS_SUPER",-1,"dcs_data"
"count_history","DCS_SUPER",-1,"dcs_data"
"count_history","INVENTORY_CONTROL",-1,"dcs_data"
"count_history","INVENTORY_MANAGER",-1,"dcs_data"
"count_templates","DCS_SUPER",-1,"dcs_data"
"count_templates","INVENTORY_CONTROL",-1,"dcs_data"
"count_templates","INVENTORY_MANAGER",-1,"dcs_data"
"customs_consignment_change","DCS_SUPER",-1,"dcs_data"
"customs_consignment_change","INVENTORY_CONTROL",-1,"dcs_data"
"customs_consignment_change","INVENTORY_MANAGER",-1,"dcs_data"
"customs_consignment_change","OUTBOUND_PLANNER",-1,"dcs_data"
"customs_consignment_change","PICKING_MANAGER",-1,"dcs_data"
"customs_consignment_change","PRODUCTION",-1,"dcs_data"
"customs_consignment_change","RECEIVING_CLERK",-1,"dcs_data"
"customs_consignment_change","RECEIVING_MANAGER",-1,"dcs_data"
"customs_consignment_change","SHIPPING_CLERK",-1,"dcs_data"
"customs_consignment_change","SHIPPING_MANAGER",-1,"dcs_data"
"distribution_distribution_add","DCS_SUPER",-1,"dcs_data"
"distribution_distribution_add","RECEIVING_CLERK",-1,"dcs_data"
"distribution_distribution_add","RECEIVING_MANAGER",-1,"dcs_data"
"distribution_distribution_add","SHIPPING_CLERK",-1,"dcs_data"
"distribution_distribution_add","SHIPPING_MANAGER",-1,"dcs_data"
"distribution_distribution_modify","DCS_SUPER",-1,"dcs_data"
"distribution_distribution_modify","RECEIVING_CLERK",-1,"dcs_data"
"distribution_distribution_modify","RECEIVING_MANAGER",-1,"dcs_data"
"distribution_distribution_modify","SHIPPING_CLERK",-1,"dcs_data"
"distribution_distribution_modify","SHIPPING_MANAGER",-1,"dcs_data"
"ems_admin_privileges","EMS_ADMIN",-1,"ems_data"
"ems_admin_privileges","SUPER",-1,"ems_data"
"ems_user_privileges","EMS_USER",-1,"ems_data"
"footprint_add","DCS_SUPER",-1,"dcs_data"
"footprint_add","INVENTORY_MANAGER",-1,"dcs_data"
"footprint_copy","DCS_SUPER",-1,"dcs_data"
"footprint_copy","INVENTORY_MANAGER",-1,"dcs_data"
"footprint_delete","DCS_SUPER",-1,"dcs_data"
"footprint_delete","INVENTORY_MANAGER",-1,"dcs_data"
"footprint_inventory_exists_modify","DCS_SUPER",-1,"dcs_data"
"footprint_outstandingwork_view","DCS_SUPER",-1,"dcs_data"
"footprint_outstandingwork_view","INVENTORY_MANAGER",-1,"dcs_data"
"footprint_without_inventory_modify","DCS_SUPER",-1,"dcs_data"
"footprint_without_inventory_modify","INVENTORY_MANAGER",-1,"dcs_data"
"handlingunit_emptyreceivinghandlingunit_add","DCS_SUPER",-1,"dcs_data"
"handlingunit_emptyreceivinghandlingunit_add","RECEIVING_CLERK",-1,"dcs_data"
"handlingunit_emptyreceivinghandlingunit_add","RECEIVING_MANAGER",-1,"dcs_data"
"handlingunit_emptyshipment_load","DCS_SUPER",-1,"dcs_data"
"handlingunit_emptyshipment_load","SHIPPING_CLERK",-1,"dcs_data"
"handlingunit_emptyshipment_load","SHIPPING_MANAGER",-1,"dcs_data"
"handlingunit_emptyshipment_unload","DCS_SUPER",-1,"dcs_data"
"handlingunit_emptyshipment_unload","SHIPPING_CLERK",-1,"dcs_data"
"handlingunit_emptyshipment_unload","SHIPPING_MANAGER",-1,"dcs_data"
"inventory_adjust","DCS_SUPER",-1,"dcs_data"
"inventory_adjust","INVENTORY_CONTROL",-1,"dcs_data"
"inventory_adjust","INVENTORY_MANAGER",-1,"dcs_data"
"inventory_adjust","PICKING_MANAGER",-1,"dcs_data"
"inventory_adjust","PRODUCTION",-1,"dcs_data"
"inventory_adjust","RECEIVING_MANAGER",-1,"dcs_data"
"inventory_adjust","RFH_FAB",-1,""
"inventory_adjust","RFH_KEYUSER",-1,"dcs_data"
"inventory_adjust","RFH_TM",-1,""
"inventory_adjust","RFH_TSH",-1,""
"inventory_adjust","SHIPPING_MANAGER",-1,"dcs_data"
"inventory_attribute_change","DCS_SUPER",-1,"dcs_data"
"inventory_attribute_change","INVENTORY_CONTROL",-1,"dcs_data"
"inventory_attribute_change","INVENTORY_MANAGER",-1,"dcs_data"
"inventory_attribute_change","PICKING_MANAGER",-1,"dcs_data"
"inventory_attribute_change","RECEIVING_MANAGER",-1,"dcs_data"
"inventory_attribute_change","RFH_FAB",-1,""
"inventory_attribute_change","RFH_KEYUSER",-1,"dcs_data"
"inventory_attribute_change","RFH_QC",-1,"dcs_data"
"inventory_attribute_change","RFH_TM",-1,""
"inventory_attribute_change","RFH_TSH",-1,""
"inventory_attribute_change","SHIPPING_MANAGER",-1,"dcs_data"
"inventory_cyclecount_cancel","DCS_SUPER",-1,"dcs_data"
"inventory_cyclecount_cancel","INVENTORY_CONTROL",-1,"dcs_data"
"inventory_cyclecount_cancel","INVENTORY_MANAGER",-1,"dcs_data"
"inventory_cyclecount_cancel","PICKING_MANAGER",-1,"dcs_data"
"inventory_cyclecount_generate","DCS_SUPER",-1,"dcs_data"
"inventory_cyclecount_generate","INVENTORY_CONTROL",-1,"dcs_data"
"inventory_cyclecount_generate","INVENTORY_MANAGER",-1,"dcs_data"
"inventory_cyclecount_generate","OUTBOUND_PLANNER",-1,"dcs_data"
"inventory_cyclecount_generate","PICKING_MANAGER",-1,"dcs_data"
"inventory_cyclecount_generate","PRODUCTION",-1,"dcs_data"
"inventory_cyclecount_generate","RECEIVING_CLERK",-1,"dcs_data"
"inventory_cyclecount_generate","RECEIVING_MANAGER",-1,"dcs_data"
"inventory_cyclecount_generate","SHIPPING_CLERK",-1,"dcs_data"
"inventory_cyclecount_generate","SHIPPING_MANAGER",-1,"dcs_data"
"inventory_hold_apply","DCS_SUPER",-1,"dcs_data"
"inventory_hold_apply","INVENTORY_CONTROL",-1,"dcs_data"
"inventory_hold_apply","INVENTORY_MANAGER",-1,"dcs_data"
"inventory_hold_apply","PICKING_MANAGER",-1,"dcs_data"
