var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
"abc_cnt_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"abccod","LES","LES","LES",0,1,1,"C","",1,0,0,"","sal_data"
"abs_ordinv_code","LES","LES","LES",0,1,1,"C","",1,-1,0,"","dcs_data"
"abs_ordinv_prec","LES","LES","LES",0,1,1,"LISTBOX_MULTI","",1,0,0,"","dcs_data"
"abs_ordinv_type","LES","LES","LES",0,1,1,"C","",1,-1,0,"","dcs_data"
"abs_ordinv_win","LES","LES","LES",0,1,1,"","",1,-1,0,"","dcs_data"
"accnum","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"acct_chkdigit","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"acct_expir_dat","LES","LES","LES",0,1,1,"D","",0,0,0,"","sal_data"
"acct_num_len","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"ack_cod","LES","LES","LES",0,1,1,"C","",1,0,0,"","ems_data"
"ack_dte","LES","LES","LES",0,1,1,"D","",1,0,0,"","ems_data"
"ackdte","LES","LES","LES",0,1,1,"DATERANGE","",1,0,0,"","dcs_data"
"act_arr_dte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"act_arr_dte","LES","LES","WM",0,0,0,"","",0,0,0,"","wm_data"
"act_begin_dt","LES","LES","LES",0,1,1,"D","",1,4000,0,"","sal_data"
"act_dep_dte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"act_dep_dte","LES","LES","WM",0,0,0,"","",0,0,0,"","wm_data"
"act_end_dt","LES","LES","LES",0,1,1,"D","",1,0,0,"","sal_data"
"act_lngdsc","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"act_load_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"actcod","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"actcod","LES","WCSMOVINVMNT","LES",0,1,1,"C","",1,300,0,"","dcs_data"
"actcod_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"actdte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"action_cd","LES","LES","LES",0,1,1,"C","",0,0,0,"","dcs_data"
"action_on_dup","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"acttyp","LES","LES","LES",0,1,1,"C","",0,0,0,"","mcs_data"
"add_dte","LES","LES","LES",0,1,1,"D","",1,0,0,"","ems_data"
"adddat","LES","LES","LES",0,1,1,"D","",0,0,0,"","sal_data"
"adddte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"adddte","LES","ordalocinfo","LES",0,0,1,"D","",1,0,0,"","dcs_data"
"adddte","LES","pckcanopr","LES",0,1,1,"DATERANGE","",1,0,0,"","dcs_data"
"adddte","LES","pcklstdsp","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"adddte","LES","pcklstopr","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"adddte","LES","pckrplsumdsp","LES",0,1,1,"DATERANGE","",1,0,0,"","dcs_data"
"addon_id","ddamgtopr","CTXTMNUMNT","LES",0,1,1,"","",0,0,0,"","mcs_data"
"addon_id","RPWEB","CTXTMNUMNT","LES",0,1,1,"","",0,0,0,"","sal_data"
"addon_id_hook_var","LES","LES","LES",0,1,0,"C","",1,0,0,"","mcs_data"
