var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"action_on_dup","LES","LES","LES",0,1,0,"","E",0,0,"","","dcs_data"
"add__flg","LES","SALFieldConfigLkpWiz","LES",0,1,1,"","",1,0,"","","mcs_data"
"addon_id","rdtpolmnt","rdtpolmnt","LES",0,1,1,"","LES",0,0,"","","dcs_data"
"addon_id","rdtpolovrdmnt","rdtpolovrdmnt","LES",0,1,1,"","LES",0,0,"","","dcs_data"
"adjflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"adjflg","LES","invdsp","LES",0,1,1,"","",0,0,"","","dcs_data"
"adjflg","LES","invdspmw","LES",0,1,1,"","",0,0,"","","dcs_data"
"adjflg","LES","rcvinvdsp","LES",0,1,1,"","",0,0,"","","dcs_data"
"adr_fmt","LES","ctrymstmnt","LES",0,1,0,"","1",0,0,"","","sal_data"
"adr_typ","SALUsrConfig","LES","LES",0,1,0,"","USR",0,0,"","","sal_data"
"adv_alc_flg","LES","apptmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"alcflg","LES","hldmstmnt","LES",0,1,0,"","",1,0,"","","dcs_data"
"alcflg","LES","invstsprgdtl","LES",0,1,0,"","",0,0,"","","dcs_data"
"all_usrs_flg","AthMnt","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"allocate_catch","LES","bomdtlmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"allow_cancel_license","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"allow_mult_open_containers","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"allow_override_loc","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"allow_override_put_loc","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"allow_override_qty_pick","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"allow_ovrshpflg","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"allowoverunder","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"allowprtxfer","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"allw_ovrd_flg","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"alw_sup_lot_chg","LES","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"always_local_flg","LES","algmnt","SEAMLES",0,1,1,"","F",0,0,"","","int_data"
"app_err_flg","LES","autlinmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"appl_id","LES","PRODEFMNT","LES",0,1,0,"","LES",0,0,"","","mcs_data"
"appl_id","rdtpolmnt","rdtpolmnt","LES",0,1,1,"","dcsrdt",0,0,"","","dcs_data"
"appl_id","rdtpolovrdmnt","rdtpolovrdmnt","LES",0,1,1,"","dcsrdt",0,0,"","","dcs_data"
"apply_sddflg","LES","procordbat","LES",0,1,1,"","",0,0,"","","dcs_data"
"appt_typ","LES","apptmnt","LES",0,1,1,"","S",0,0,"","","dcs_data"
"areattachstratpol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"arecod_flg","LES","whcopy","LES",0,1,1,"","",1,0,"","","mcs_data"
"areconsovppol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"arehosttranpol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
