var_nam,appl_id,frm_id,addon_id,srt_seq,cust_lvl,lkp_id,ena_flg,ret_fld,inp_fld,mult_flg,grp_nam
"act_key","LES","LES","LES",0,0,"l_act_key",1,"","",1,"mcs_data"
"actcod","LES","actcodmnt","LES",0,0,"l_actcod_mnt",1,"actcod","",1,"sal_data"
"actcod","LES","trlractdsp","LES",0,0,"l_trlr_actcod",1,"","",1,"dcs_data"
"action","LES","AreRelRuleModalWiz","LES",0,0,"NONE",0,"","",1,"dcs_data"
"action","LES","LES","LES",0,0,"l_action",1,"action=dda_id","",1,"mcs_data"
"addon_id","rdtpolmnt","rdtpolmnt","LES",0,0,"l_addon_id",1,"","",0,"dcs_data"
"addon_id","RPWEB","CTXTMNUMNT","LES",1,0,"l_addon_id",1,"addon_id=rtstr1","",1,"mcs_data"
"addon_id","vardefmnt","LES","LES",1,0,"l_addon_id",1,"addon_id=rtstr1","",1,"mcs_data"
"addon_id","VarLkUpMnt","LES","LES",1,0,"l_addon_id",1,"addon_id=rtstr1","",1,"mcs_data"
"addon_id","VarPosMnt","LES","LES",1,0,"l_addon_id",1,"addon_id=rtstr1","",1,"mcs_data"
"adrcty","LES","LES","LES",0,0,"l_adrcty",1,"adrcty=adrcty,adrstc=adrstc,ctry_name=ctry_name,adrpsz=adrpsz","adrcty,adrstc,ctry_name,adrpsz",1,"sal_data"
"adrnam","LES","CustomerMnt","LES",0,0,"l_adrnam_cst",1,"adrnam,client_id","adrnam,client_id",1,"sal_data"
"adrnam","LES","CustomerMnt","LES",0,0,"l_adrnam_lkp",1,"adrnam,client_id","adrnam,client_id",1,"sal_data"
"adrnam","LES","LES","LES",0,0,"l_adrnam",1,"","",1,"sal_data"
"adrnam","LES","SALClientMnt","LES",0,0,"l_adrnam",1,"","",1,"sal_data"
"adrnam","LES","SALClientMnt","LES",0,0,"l_adrnam_cli",1,"","",1,"sal_data"
"adrnam","LES","SHIP-MASS-UPD-CHANGE-ACT","LES",0,0,"l_adrnam",1,"adrnam=adrnam,rt_adr_id=adr_id","",1,"dcs_data"
"adrnam","LES","stopmnt","LES",0,0,"l_adrnam",1,"","",1,"dcs_data"
"adrnam","LES","stopmnt","LES",0,0,"l_adrnam_cst",1,"","",1,"dcs_data"
"adrnam","SalAddressMnt","SalAddressMnt","LES",0,0,"l_adrnam",0,"","",1,"sal_data"
"adrpsz","LES","LES","LES",0,0,"l_adrpsz",1,"adrpsz=adrpsz,adrcty=adrcty,adrstc=adrstc,ctry_name=ctry_name","adrcty,adrstc,ctry_name,adrpsz",1,"sal_data"
"adrstc","LES","CtyPszMnt","LES",0,0,"l_state",1,"adrstc,ctry_nam,lngdsc","adrstc,ctry_name",1,"sal_data"
"adrstc","LES","LES","LES",0,0,"l_adrstc",1,"adrstc=codval","codval=adrstc",1,"dcs_data"
"adrstc","LES","manpkgopr","LES",0,0,"l_manpkg_adrstc",1,"adrstc=codval","",1,"sal_data"
"adrstc","LES","StateMnt","LES",0,0,"l_adrstc",0,"adrstc=codval","",1,"sal_data"
"age_pflnam","dcsrdt","LES","LES",0,0,"r_age_pflnam",1,"","",1,"dcs_rdt"
"age_pflnam","LES","invstschgopr","LES",0,0,"l_age_pflnam",1,"","",0,"dcs_data"
"age_pflnam","LES","LES","LES",0,0,"l_age_pflnam",1,"","",1,"sal_data"
"aisle_id","dcsrdt","DIR_WORK_ASSIGNMENT_FILTERS","LES",0,0,"r_aisle_id",1,"","",1,"dcs_rdt"
"aisle_id","LES","LES","LES",0,0,"l_aisle_id",1,"","",1,"dcs_data"
"alc_asset_grp","LES","LES","LES",0,0,"l_alc_asset_grp",1,"","",1,"dcs_data"
"alc_search_path","LES","LES","LES",0,0,"l_alc_search_path",0,"alc_search_path=colval","",1,"dcs_data"
"alg_grp_id","LES","alggrpmnt","SEAMLES",0,0,"l_alg_grp_id",1,"","",1,"int_data"
"alg_id","LES","algmnt","SEAMLES",0,0,"l_nomacro_alg_id",1,"","",1,"int_data"
"alloc_rule_name","waveopr","planwave","LES",0,0,"l_rule_nam",1,"alloc_rule_name=rule_nam","",1,"dcs_data"
"alt_prt_typ","dcsrdt","ALT_PART_CAPTURE","LES",0,0,"l_alter_prt_typ",1,"","",0,"dcs_data"
"appl_id","LES","LES","LES",1,0,"l_appl_id",1,"","",1,"mcs_data"
"appl_id","LES","SYSAUDRECMNT","LES",1,0,"l_appl_id_sysaud",1,"","",1,"mcs_data"
"appl_id","wrkflwmnt","LES","LES",1,0,"l_appl_id",0,"","",1,"mcs_data"
"appt_id","LES","apptmnt","LES",0,0,"NONE",0,"","",1,"dcs_data"
"appt_id","LES","LES","LES",0,0,"l_appt_id",1,"","",1,"dcs_data"
"appt_id","LES","trlrmgtopr","LES",0,0,"l_appt_id",1,"appt_id,trlr_cod","appt_id",1,"dcs_data"
"arc_table","LES","LES","LES",0,0,"l_arc_table",1,"arc_table=table_name","table_name-arc_table",1,"sal_data"
"arecod","LES","arecopy","LES",0,0,"NONE",0,"","",1,"dcs_data"
"arecod","LES","AreMstPKWiz","LES",0,0,"NONE",0,"","",1,"dcs_data"
"arecod","LES","dckschdopr","LES",0,0,"l_dock_arecod",1,"","",1,"dcs_data"
"arecod","LES","LES","LES",0,0,"l_arecod",1,"","",1,"dcs_data"
"arecod","ordconpolmnt","LES","LES",0,0,"l_arecod_ordcon",1,"","",1,"dcs_data"
"arecod","ordconpolovrdmnt","LES","LES",0,0,"l_arecod_ordcon",1,"","",1,"dcs_data"
"asset_id","LES","assetdsp","LES",0,0,"l_asset_id",1,"asset_id","",1,"dcs_data"
"asset_id","LES","assetmovhis","LES",0,0,"l_asset_id",1,"asset_id","",1,"dcs_data"
"asset_id","LES","invdsp","LES",0,0,"l_asset_id",1,"asset_id","",1,"dcs_data"
"asset_id","LES","lodunlodasset","LES",0,0,"l_empty_ser_asset_id",1,"asset_id","",1,"dcs_data"
"asset_num","LES","assetdsp","LES",0,0,"l_asset_num",1,"asset_num","",1,"dcs_data"
"asset_stat","dcsrdt","LES","LES",0,0,"r_asset_stat",1,"","",1,"dcs_rdt"
"asset_typ","alcassetgrpmnt","LES","LES",0,0,"l_alcassettyp",1,"","",0,"dcs_data"
"asset_typ","dcsrdt","ASSET_IDENTIFY","LES",0,0,"r_asset_typ_inv",1,"","",1,"dcs_rdt"
"asset_typ","dcsrdt","CREATE_ASSET","LES",0,0,"r_asset_typ_inv",1,"","",0,"dcs_rdt"
"asset_typ","dcsrdt","LOAD_ASSET_ADJUST","LES",0,0,"r_asset_typ_i_nonser",1,"","",1,"dcs_rdt"
"asset_typ","dcsrdt","LOAD_PREPARATION","LES",0,0,"r_asset_typ_val",1,"","",1,"dcs_rdt"
"asset_typ","dcsrdt","RECEIVE_ASSET","LES",0,0,"r_asset_typ_inv",1,"","",1,"dcs_rdt"
"asset_typ","dcsrdt","USR_IDENTIFY_LOAD_EX","LES",0,10,"usr_asset_typ_rf_ex",1,"","",0,"usr_data"
"asset_typ","LES","assetdsp","LES",0,0,"l_asset_typ",1,"","",1,"dcs_data"
"asset_typ","LES","chginvnonserasset","LES",0,0,"l_asset_typ_i_nonser",1,"","",1,"dcs_data"
"asset_typ","LES","invdspmw","LES",0,0,"l_asset_typ_invdspmw",1,"asset_typ","wh_id",1,"dcs_data"
"asset_typ","LES","LES","LES",0,0,"l_asset_typ_inv",1,"asset_typ","",1,"dcs_data"
"asset_typ","LES","locmstmnt","LES",0,0,"l_asset_typ",1,"asset_typ","",0,"dcs_data"
"asset_typ","LES","locmstovr","LES",0,0,"l_asset_typ_ser",1,"asset_typ","",0,"dcs_data"
"asset_typ","LES","nonserassetadjopr","LES",0,0,"l_asset_typ_non_ser",1,"","",1,"dcs_data"
"asset_typ","LES","ordovrprocess","LES",0,0,"l_asset_typ_ord",1,"","",0,"dcs_data"
"asset_typ","LES","palbldopr","LES",0,0,"l_asset_typ_pld",1,"","",0,"dcs_data"
"asset_typ","LES","pcklstrulsetmnt","LES",0,0,"l_asset_typ_plr",1,"asset_typ","asset_typ",1,"dcs_data"
"asset_typ","LES","rcvassetdsp","LES",0,0,"l_asset_typ_rcv",1,"","",1,"dcs_data"
"asset_typ","LES","supftpopr","LES",0,0,"l_asset_typ_inv",1,"","",0,"dcs_data"
"asset_typ","LES","supprtopr","LES",0,0,"l_asset_typ_inv",1,"","",0,"dcs_data"
"asset_typ","prtftpmstdfltmnt","LES","LES",0,0,"NONE",0,"","",1,"sal_data"
"asset_typ","prtftpmstovrdmnt","LES","LES",0,0,"NONE",0,"","",1,"sal_data"
"asset_typ","RPWEB","LOC-ASSETCAPACITYMNT","LES",0,0,"l_asset_typ_ser",1,"asset_typ","",0,"dcs_data"
"asset_typ_to","LES","WMD-PCKLSTASSETCHNG","LES",0,0,"l_are_asset_typ_inv",1,"asset_typ_to=asset_typ","",1,"dcs_data"
"ath_grp_nam","LES","LES","LES",1,0,"l_ath_grp_nam",1,"ath_grp_nam","",1,"mcs_data"
