var_nam,appl_id,frm_id,addon_id,cust_lvl,valdt_cmd,ena_flg,valdt_mod,ret_fld_flg,ret_fld,grp_nam,is_purged
"age_pflnam","LES","agepfldtl","LES",0,"list aging profiles where age_pflnam = '&age_pflnam'",0,"I",0,"","dcs_data",0
"age_pflnam","LES","IDENTIFY_LOAD","LES",0,"If('&age_pflnam') {list aging profiles where age_pflnam = '&age_pflnam'}",0,"I",0,"","dcs_data",0
"age_pflnam","LES","INV_ADJUST_IDENTIFY","LES",0,"If('&age_pflnam') {list aging profiles where age_pflnam = '&age_pflnam'}",0,"I",0,"","dcs_data",0
"age_pflnam","LES","LES","LES",0,"If('&age_pflnam') {list aging profiles where age_pflnam = '&age_pflnam'}",1,"I",0,"","sal_data",0
"aisle_id","LES","DIR_WORK_ASSIGNMENT_FILTERS","LES",0,"NONE",0,"A",0,"","dcs_data",0
"aisle_id","LES","LES","LES",0,"list aisles where aisle_id = '&aisle_id'",1,"I",0,"","dcs_data",0
"alc_search_path","CustomerMnt","CustomerMnt","LES",0,"list allocation search path for lookup where colval = '&alc_search_path'",1,"I",0,"","sal_data",0
"alg_id","LES","commmthdmnt","SEAMLES",0,"sl_list alg_def where alg_id = '&alg_id' and alg_typ_cd != 'MACRO'",1,"I",0,"","int_data",0
"alg_id","LES","iifdmnt","SEAMLES",0,"sl_list alg_def where alg_id = '&alg_id' and alg_typ_cd != 'MACRO'",1,"I",0,"","int_data",0
"alg_id","LES","keywordmnt","SEAMLES",0,"sl_list alg_def where alg_id = '&alg_id' and alg_typ_cd != 'MACRO'",1,"I",0,"","int_data",0
"alg_id","LES","retrievemthdmnt","SEAMLES",0,"sl_list alg_def where alg_id = '&alg_id' and alg_typ_cd != 'MACRO'",1,"I",0,"","int_data",0
"alg_id","LES","syscommmnt","SEAMLES",0,"sl_list alg_def where alg_id = '&alg_id' and alg_typ_cd != 'MACRO'",1,"I",0,"","int_data",0
"app_end_dte","LES","LES","LES",0,"publish data where app_end_dte = to_date('&app_end_dte') and app_start_dte = to_date('&app_start_dte') | if(@app_end_dte < SYSDATE){set return status where status = 10373} | if(@app_end_dte < @app_start_dte and @app_start_dte != ''){set return status where status = 4084}",1,"A",0,"","dcs_data",0
"app_start_dte","LES","LES","LES",0,"publish data where app_end_dte = to_date('&app_end_dte') and app_start_dte = to_date('&app_start_dte') | if(@app_start_dte < SYSDATE){set return status where status = 10373} | if(@app_end_dte < @app_start_dte and @app_end_dte != ''){set return status where status = 4084}",1,"A",0,"","dcs_data",0
"app_timeout","LES","LES","LES",0,"validate number where colnam="app_timeout" and intflg=1 and compare = 'GT' and value = &app_timeout and limit = 0",1,"I",0,"","dcs_data",0
"appl_id","LES","frmFormInfo","LES",0,"NONE",0,"A",0,"","mcs_data",0
"appl_id","LES","l_appl_id_sysaud","LES",0,"NONE",0,"A",0,"","mcs_data",0
"appl_id","LES","LES","LES",0,"if('&appl_id'!='' and '&appl_id'!='LES' and '&appl_id' != 'dcsrdt'){list work flow apps where appl_id = '&appl_id' catch(-1403) |  if(@?= -1403) {[select dda_id from dda_mst where dda_id = '&appl_id']} }",1,"A",0,"","dcs_data",0
"appl_id","LES","SYSAUDRECMNT","LES",0,"NONE",0,"I",0,"","mcs_data",0
"appl_id","MCSVarCfgMnt","MCSVarCfgMnt","LES",0,"NONE",0,"A",0,"","mcs_data",0
"appl_id","wrkflwmnt","wrkflwmnt","LES",0,"NONE",0,"I",0,"","mcs_data",0
"arc_table","LES","LES","LES",0,"list user tables where table_name = '&arc_table'",1,"I",0,"","dcs_data",0
"asset_id","LES","ASSET_SHIPMENT","LES",0,"validate empty serialized asset for shipment load where asset_id = '@ASSET_SHIPMENT.asset_id' and mode = '&mode'",1,"I",0,"","dcs_data",0
"asset_id","LES","CREATE_ASSET","LES",0,"if ('@asset_id' != '') {[select 'x' from ser_asset where asset_id = '@asset_id'] catch (-1403) | if (@? = 0 ) {set return status where status = 11015}}",1,"I",0,"","mtf_dcs_data",0
"asset_id","LES","palbldopr","LES",0,"if('&asset_id'){validate empty serialized asset for pick where asset_id = '&asset_id'}",1,"A",0,"","dcs_data",0
"asset_id","LES","UNDIR_REVERSE_ASSET","LES",0,"if ('@asset_id' != '') {validate asset for reverse receipt where trknum = '@trknum' and asset_typ = '@asset_typ' and asset_id = '@asset_id' and invnum ='@invnum' and wh_id = '@global.wh_id'}",1,"I",0,"","mtf_dcs_data",0
"asset_qty","dcsrdt","USR_IDENTIFY_LOAD_ADJ_LOD","LES",10,"validate usr number where compare='GTE' and intflg=1 and limit='0' and value='&asset_qty' | validate usr number where compare='LTE' and intflg=1 and limit='15' and value='&asset_qty'",1,"I",0,"","usr_data",0
"asset_stat","LES","ASSET_IDENTIFY","LES",0,"if('@ASSET_IDENTIFY.asset_stat' != ''){validate rf asset status where asset_stat = '@ASSET_IDENTIFY.asset_stat'}",1,"I",0,"","dcs_data",0
"asset_stat","LES","ASSET_SHIPMENT","LES",0,"if('@ASSET_SHIPMENT.asset_stat' != ''){validate rf asset status where asset_stat = '@ASSET_SHIPMENT.asset_stat'}",1,"I",0,"","dcs_data",0
"asset_stat","LES","UNDIR_REVERSE_ASSET","LES",0,"if ('@asset_stat' != '') {validate asset for reverse receipt where trknum = '@trknum' and asset_typ = '@asset_typ' and asset_id = '@asset_id' and asset_stat = '@asset_stat' and invnum ='@invnum' and wh_id = '@global.wh_id'}",1,"I",0,"","mtf_dcs_data",0
"asset_tag","LES","assetidentify","LES",0,"if ('&asset_tag' != ''){validate asset tag where asset_tag = '&asset_tag'}",1,"A",0,"","dcs_data",0
"asset_tag","LES","CAPTURE_SER_ASSET_INFORMATION","LES",0,"if('@CAPTURE_SER_ASSET_INFORMATION.asset_tag' != '' and '@ASSET_IDENTIFY.mode' != 'AA'){validate asset tag where asset_tag = '@CAPTURE_SER_ASSET_INFORMATION.asset_tag'}",1,"I",0,"","dcs_data",0
