var_nam,appl_id,frm_id,addon_id,cust_lvl,lkp_id,ena_flg,cod_col,desc_col,add_null_flg,dis_sgl_flg,edt_flg,srt_col,grd_lkp_cols,grp_nam
"abccod","cyccntopr","cyccntgen","LES",0,"l_abccod",0,"","",0,0,0,"","","dcs_data"
"abccod","LES","LES","LES",0,"l_abccod",1,"codval","lngdsc",1,0,0,"","","sal_data"
"abs_ordinv_code","LES","LES","LES",0,"l_abs_ordinv_code",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"abs_ordinv_type","LES","LES","LES",0,"l_ordinv",1,"polval","polval",1,0,0,"","","dcs_data"
"ack_cod","LES","LES","LES",0,"l_ack_cod",1,"codval","lngdsc",1,0,0,"","","ems_data"
"act_typ","ActionMnt","LES","LES",0,"l_act_typ",1,"codval","lngdsc",0,0,0,"","","mcs_data"
"actcod","actcodmnt","LES","LES",0,"NONE",0,"","",0,0,0,"","","sal_data"
"actcod","LES","invactdsp","LES",0,"l_invact_actcod",1,"actcod","act_lngdsc",1,0,0,"","","dcs_data"
"actcod","LES","LES","LES",0,"l_actcod",1,"actcod","act_lngdsc",1,0,0,"","","dcs_data"
"actcod","LES","trlractdsp","LES",0,"l_trlr_actcod",1,"actcod","act_lngdsc",1,0,0,"","","dcs_data"
"actcod_typ","LES","LES","LES",0,"l_code_master",1,"codval","lngdsc",0,0,0,"","","sal_data"
"action_cd","LES","LES","LES",0,"l_action_cd",1,"codval","lngdsc",0,0,0,"","","dcs_data"
"action_on_dup","LES","LES","LES",0,"l_action_on_dup",1,"codval","lngdsc",1,0,0,"","","sal_data"
"acttyp","LES","hldhstdsp","LES",0,"l_hld_acttyp",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"acttyp","LES","LES","LES",0,"l_sys_dsc_mst",1,"colval","mls_text",1,0,0,"","","mcs_data"
"acttype","LES","LES","LES",0,"l_code_master",1,"","",0,0,0,"","","mcs_data"
"addon_id","wrkflwmnt","LES","LES",0,"l_addon_id",1,"rtstr1","rtstr1",0,0,0,"","","mcs_data"
"addon_id_hook_var","LES","LES","LES",0,"l_addon_id_hook_cod",1,"codval","lngdsc",0,0,0,"","","mcs_data"
"adj_mthd","LES","LES","LES",0,"l_adj_mthd",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"adr_fmt","LES","LES","LES",0,"l_adr_fmt",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"adr_id","LES","lesWebFrm","LES",0,"l_adr_id",1,"adr_id","adr_img",1,0,0,"","","dcs_data"
"adrtyp","LES","LES","LES",0,"l_adrtyp",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"aes_typ","LES","LES","LES",0,"l_aes_typ",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"agecod","LES","LES","LES",0,"l_agecod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"aggr_func","LES","LES","LES",0,"l_aggr_func",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"alctyp","LES","LES","LES",0,"l_alctyp",1,"codval","lngdsc",1,0,0,"","","dcs_data"
