locale_id,usr_id,bool_t_char,bool_f_char,bool_toggle,crncy_code,positive_sign,negative_sign,p_sign_posn,n_sign_posn,decimal_point,thousands_sep,grouping,dat_fmt_cd,long_dat_fmt,mon_dsp_typ,dat_sep_char,tim_fmt_cd,long_tim_fmt,tim_sep_char,am_str,pm_str,wk_strt,wk_rule,grp_nam
"ARABIC_SAUDI","----","+","-","","SAR","","-",2,1,".",",","3","dd/MM/yyyy","","","/","hh:mm:ss tt","",":","AM","PM",0,0,"mcs_data"
"BRAZILIAN_PORTUGUESE","----","+","-","","BRA","","-",4,0,",",".","3","dd/MM/yyyy","","N","/","HH:mm","",":","","",0,0,"mcs_data"
"CASTILIAN_SPANISH","----","+","-","","EUR","","-",4,0,".",",","3","d/M/yyyy","","N","/","H:mm","",":","","",0,0,"mcs_data"
"DUTCH_HOLLAND","----","Y","N","","EUR","","-",4,0,",",".","3","dd/MM/yyyy","","N","/","H:mm","",":","","",0,0,"mcs_data"
"ES-ES","----","+","-","","MXP","","-",4,0,",",".","3","dd/MM/yyyy","","N","/","HH:mm","",":","","",0,0,"mcs_data"
"FRENCH","----","+","-","","EUR","","-",4,0,",",".","3","dd/MM/yyyy","","N","/","H:mm","",":","","",0,0,"mcs_data"
"GERMAN","----","+","-","","EUR","","-",4,0,",",".","3","dd/MM/yyyy","","N",".","H:mm","",":","","",0,0,"mcs_data"
"HUNGARIAN","----","+","-","","HUF","","-",4,0,",",".","3","yyyy/MM/dd","","",".","H:mm","",":","AM","PM",0,0,"mcs_data"
"ITALIAN","----","+","-","","EUR","","-",4,0,",",".","3","dd/MM/yyyy","","N","/","H:mm","",".","","",0,0,"mcs_data"
"JAPANESE","----","+","-","","JPY","","-",4,0,".",",","3","M/d/yyyy","","","-","H:mm","",":","","",0,0,"mcs_data"
"KOREAN","----","+","-","","KRW","","-",4,0,".",",","3","yyyy-MM-dd","","","-","tt h:mm","",":","","",0,0,"mcs_data"
"RUSSIAN","----","+","-","","RUB","","-",4,0,",","","3","dd/MM/yyyy","","N",".","H:mm","",".","","",0,0,"mcs_data"
"SIMPLIFIED_CHINESE","----","+","-","","RMB","","-",4,0,".",",","3","M/d/yyyy","","","-","H:mm","",":","","",0,0,"mcs_data"
"US_ENGLISH","----","Y","N","","USD","","-",4,0,".",",","3","M/d/yyyy","dddd, MMMM dd, yyyy","N","/","h:mm tt","h:mm:ss tt",":","AM","PM",0,0,"mcs_data"
