mu,mu_cat,mu_sys,cf_numerator,cf_denominator,dsp_precision,ena_flg,host_uom_cod,grp_nam,un_cefact_cod
"celsius","UOM_TEMP","M",1.0,1.0,3,1,"C","mcs_data","CEL"
"centimeter","UOM_SL","M",1.0,1.0,3,1,"CM","mcs_data","CMT"
"cubic centimeter","UOM_SV","M",1.0,1.0,3,1,"CM3","mcs_data","CMQ"
"cubic decimeter","UOM_SV","M",1000.0,1.0,3,1,"DM3","mcs_data","DMQ"
"cubic meter","UOM_V","M",1000000.0,1.0,3,1,"M3","mcs_data","MTQ"
"cubic millimeter","UOM_SV","M",0.001,1.0,3,1,"MM3","mcs_data","MMQ"
"decimeter","UOM_SL","M",10.0,1.0,3,1,"DM","mcs_data","DMT"
"gram","UOM_SW","M",1.0,1.0,3,1,"G","mcs_data","GRM"
"kilogram","UOM_W","M",1000.0,1.0,3,1,"KG","mcs_data","KGM"
"kilometer","UOM_DIST","M",100000.0,1.0,3,1,"KM","mcs_data","KMT"
"meter","UOM_L","M",100.0,1.0,3,1,"M","mcs_data","MTR"
"millimeter","UOM_SL","M",0.1,1.0,3,1,"MM","mcs_data","MMT"
"square centimeter","UOM_SA","M",1.0,1.0,3,1,"CM2","mcs_data","CMK"
"square decimeter","UOM_SA","M",100.0,1.0,3,1,"DM2","mcs_data","DMK"
"square meter","UOM_A","M",10000.0,1.0,3,1,"M2","mcs_data","MTK"
"square millimeter","UOM_SA","M",0.01,1.0,3,1,"MM2","mcs_data","MMK"
"tonne","UOM_LW","M",1000000.0,1.0,3,1,"MTON","mcs_data","TNE"
