nottyp,bill_print_flg,pack_print_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ALT_ST_STATUS",0,1,"20200506000000","20200506000000","938673","938673"
"CUSTOM_PACKAGE",0,0,"20230330000000","20230331125720","938673","938673"
"DM",0,1,"","","",""
"EKT_BARCODE",0,1,"20200325102711","20200325102711","938673","938673"
"GEN",0,1,"","20230707152703","","938673"
"KLOK_TRN",0,1,"20200506000000","20200506000000","938673","938673"
"KLOKNR",0,1,"20200506000000","20200506000000","938673","938673"
"N_KENM_1",0,1,"20200506000000","20200506000000","938673","938673"
"N_KENM_2",0,1,"20200506000000","20200506000000","938673","938673"
"PICK_INSTR",0,0,"20200124100812","20230207143201","940409","938673"
"PLAAT",0,0,"20180903141133","20180903141133","940028","940028"
"S",0,0,"","","",""
"SORT_1",0,1,"20200506000000","20200506000000","938673","938673"
"SORT_2",0,1,"20200506000000","20200506000000","938673","938673"
"SORT_3",0,1,"20200506000000","20200506000000","938673","938673"
"SORT_4",0,1,"20200506000000","20200506000000","938673","938673"
"SORT_5",0,1,"20200506000000","20200506000000","938673","938673"
"TradeitemDescr",0,1,"20200506000000","20200506000000","938673","938673"
"VAS_INV_ONLY",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_LPN_PACK",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_LPN_PICK",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_PACK",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_PACK_CNFRM",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_PICK",0,0,"20230210000000","20230210000000","938673","938673"
"VAS_PICK_CNFRM",0,0,"20230210000000","20230210000000","938673","938673"
"ZETEL",0,0,"20180903115949","20180903115949","939370","939370"
