pck_rel_rule_id,pck_mthd_id,wrktyp,thresh_flg,dst_mov_zone_id,action,group_arg,oprcod,baspri,base_pri_offset,default_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,asg_role_id
10000,-50007,"P",0,0,"create work","","PCK",10,0,1,"20200114141104","20200203002036","SUPER","939370",""
10001,-50008,"P",0,0,"create work","","CPK",10,0,1,"20200114141104","20200203002036","SUPER","939370",""
10002,-50009,"P",0,0,"create work","","PPK",10,0,1,"20200114141104","20200203002036","SUPER","939370",""
10003,10000,"P",0,0,"CREATE WORK","","PCK",0,0,1,"20200114141104","20200203002036","SUPER","939370",""
10004,10001,"K",0,0,"CREATE WORK","oprcod,ship_id,src_pck_zone_id,srcloc_wrk_zone_id","KPK",0,0,1,"20210203114659","20210203114659","939370","939370",""
10005,10002,"E",0,0,"CREATE WORK","","CRP",0,0,1,"20200114141104","20200203002036","SUPER","939370",""
10006,10003,"P",0,0,"CREATE WORK","","PPK",0,0,1,"20200114141104","20200203002036","SUPER","939370",""
10007,10003,"K",0,0,"SL_DO NOTHING","","KPK",0,0,1,"20200114141105","20200203002036","SUPER","939370",""
10008,10004,"P",0,0,"CREATE WORK","","CPK",0,0,1,"20200114141105","20200203002036","SUPER","939370",""
10009,-50010,"R",0,0,"create work","","TRN",10,0,1,"20200114141105","20200203002036","SUPER","939370",""
10010,-50011,"R",0,0,"create work","","TRN",10,0,1,"20200114141105","20200203002036","SUPER","939370",""
10011,-50012,"R",0,0,"create work","","TRN",10,0,1,"20200114141105","20200203002036","SUPER","939370",""
10012,-50013,"S",0,0,"CREATE WORK","","STN",20,0,1,"20200114141105","20200203002036","SUPER","939370",""
10013,10001,"P",0,0,"CREATE WORK","srcloc","LPCK",0,0,1,"20200327153400","20200327153400","939370","939370",""
