pol_id,polcod,polvar,polval,srtseq,alw_mult,alw_del,ena_flg,allw_ovrd_flg,grp_nam,is_purged
"ADDON_ID_HOOK","SYSTEM-INFORMATION","MISCELLANEOUS","ADDON_ID_HOOKS",0,1,0,1,1,"mcs_policy",0
"ALLOCATE-INV-COMMIT-DURING-ALLOC","ALLOCATE-INV","MISCELLANEOUS","COMMIT-DURING-ALLOC",1,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-FORCE-FULL-UNTCAS-FOR-PALLET-PICKS","ALLOCATE-INV","MISCELLANEOUS","FORCE-FULL-UNTCAS-FOR-PALLET-PICKS",1,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-FORCE-NULL-CHECK-FOR-UIA","ALLOCATE-INV","MISCELLANEOUS","FORCE-NULL-CHECK-FOR-UIA",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-LOG-FILE-ENABLED","ALLOCATE-INV","MISCELLANEOUS","LOG-FILE-ENABLED",1,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV","ALLOCATE-INV","ORDER-INV","",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV-CODE","ALLOCATE-INV","ORDER-INV","ABS-ORDINV-CODE",0,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV-ENABLE","ALLOCATE-INV","ORDER-INV","OUT-WIN-ENABLE",0,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV-PREC","ALLOCATE-INV","ORDER-INV","ABS-ORDINV-PREC",0,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV-TYPE","ALLOCATE-INV","ORDER-INV","ABS-ORDINV-TYPE",0,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-ORDER-INV-WIN","ALLOCATE-INV","ORDER-INV","ABS-ORDINV-WIN",0,0,0,1,1,"dcs_data",0
"ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-CMD","ALLOCATE-INV","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-COMMAND",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-DERIVED","ALLOCATE-INV","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-DERIVED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-FIXED","ALLOCATE-INV","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-FIXED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-GEN","ALLOCATE-INV","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-GENERATED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-INV-RESCOD-ZONE-DEF-ASSC-LOC-ASG","ALLOCATE-INV","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-LOC-ASSIGNED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-IGNORE-COMMITTED-INVENTORY-ENABLED","ALLOCATE-LOC","IGNORE-COMMITTED-INVENTORY","ENABLED",0,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-LOG-FILE-ENABLED","ALLOCATE-LOC","MISCELLANEOUS","LOG-FILE-ENABLED",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-MISCELLANEOUS-USE-EACH-HEIGHT","ALLOCATE-LOC","MISCELLANEOUS","USE-EACH-HEIGHT",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-MULTIPLE-ASSET-LEVEL-TOLERANCE-LIMIT","ALLOCATE-LOC","MISCELLANEOUS","MULTIPLE-ASSET-LEVEL-TOLERANCE-LIMIT",0,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-ORDER-BY-ORDER-BY","ALLOCATE-LOC","ORDER-BY","ORDER-BY",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-PROXIMITY-ACCEPTABLE-DELAY","LABOR-MANAGEMENT-SYSTEM","CONFIGURATION","ACCEPTABLE-DELAY",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-PROXIMITY-DEFAULT-PICK-LOC","ALLOCATE-LOC","PROXIMITY","DEFAULT-PICK-LOC",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-PROXIMITY-RANDOM","ALLOCATE-LOC","PROXIMITY","RANDOM",1,0,0,1,1,"dcs_data",0
"ALLOCATE-LOC-RESCOD-ZONE-DEF-ASSC-CMD","ALLOCATE-LOC","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-COMMAND",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-RESCOD-ZONE-DEF-ASSC-DERIVED","ALLOCATE-LOC","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-DERIVED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-RESCOD-ZONE-DEF-ASSC-FIXED","ALLOCATE-LOC","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-FIXED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-RESCOD-ZONE-DEF-ASSC-GEN","ALLOCATE-LOC","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-GENERATE",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-RESCOD-ZONE-DEF-ASSC-LOC-ASG","ALLOCATE-LOC","RESCOD-ZONE-DEF-ASSC","RESCOD-ZONE-LOC-ASSIGNED",0,1,1,1,1,"dcs_data",0
"ALLOCATE-LOC-RESPECT-FIFO-SKIP-LOCS-ENABLED","ALLOCATE-LOC","RESPECT-FIFO-SKIP-LOCS","ENABLED",1,0,0,1,1,"dcs_data",0
"ALLOCATE-ONLY-ASSIGNED-LANES","SHIPPING","MISCELLANEOUS","ALLOCATE-ONLY-ASSIGNED-LANES",0,0,0,0,1,"dcs_data",0
"ALLOCATE-WAVE-AUTOCOMMIT","ALLOCATE-WAVE","NAMED-THREADPOOL","AUTOCOMMIT",0,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-BOOTSTRAP-MOCA-CONTEXT","ALLOCATE-WAVE","NAMED-THREADPOOL","BOOTSTRAP-MOCA-CONTEXT",0,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-ENABLED","ALLOCATE-WAVE","NAMED-THREADPOOL","ENABLED",0,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-LOG-FILE-ENABLED","ALLOCATE-WAVE","MISCELLANEOUS","LOG-FILE-ENABLED",1,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-MISCELLANEOUS-STATUS-FILE-NAME","ALLOCATE-WAVE","MISCELLANEOUS","STATUS-FILE-NAME",0,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-PROBE-REPORTING-INTERVAL-IN-SECONDS","ALLOCATE-WAVE","NAMED-THREADPOOL","PROBE-REPORTING-INTERVAL-IN-SECONDS",0,0,0,1,1,"dcs_data",0
"ALLOCATE-WAVE-SIZE","ALLOCATE-WAVE","NAMED-THREADPOOL","SIZE",0,0,0,1,0,"dcs_data",0
"ALLOW-0-QTY-NO-PARTIAL","SHIPPING","MISCELLANEOUS","ALLOW-ZERO-ON-FULL-QTY-REQUIRED",0,0,0,1,1,"dcs_data",0
"ALLOW-AUTO-STAGING","SHIPPING","MISCELLANEOUS","ALLOW-AUTO-STAGING",0,1,1,1,1,"dcs_data",0
"ALLOW-CARRIER-CHANGE","SHPDCKOPR","MISCELLANEOUS","ALLOW-CARRIER-CHANGE",0,0,0,1,1,"dcs_data",0
"ALLOW-LTL-SHIPMENT-SPLIT","SHIPPING","MISCELLANEOUS","ALLOW-LTL-SHIPMENT-SPLIT",0,0,0,1,1,"dcs_data",0
"APPL-ADDR-VALIDATEADRTYP","APPLICATION","ADDRESS","VALIDATE-ADRTYP",0,1,1,1,0,"sal_data",0
"APPL-ADDR-VALIDATION","APPLICATION","ADDRESS","VALIDATE",0,0,0,1,0,"sal_data",0
"APPS-TO-AUDIT","SYSTEM-AUDITING","INTERACTIVE-AUDITING","APPS-TO-AUDIT",0,1,1,1,0,"mcs_policy",0
