reacod,cstms_ordtyp,cstms_rcpt_typ,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADJ","","","","","",""
"ADJ-ACCEPT","","","","","",""
"AS-NEW","","","","","",""
"AUTO_SKIP","","","","","",""
"BAD-TRL-CNT","","","","","",""
"BAD-TRL-DATA","","","","","",""
"BCKGRD-WRKFLW-ERR","","","","","",""
"CAN-ORD-UPD","","","","","",""
"CARR.DEF2","","","20190117103628","20190117103628","939161","939161"
"CYCL","","","","","",""
"D","","","","","",""
"DAMAGED","","","","","",""
"DAMAGED_PROD","","","","","",""
"DEFECTIVE","","","","","",""
"DEKIT-AUDIT","","","","","",""
"EQUIP_CHECK","","","","","",""
"EXPIRED","","","","","",""
"FILL-TRLR","","","","","",""
"H","","","","","",""
"I","","","","","",""
"INV-SHORT","","","","","",""
"KIT","","","","","",""
"LOC_FULL","","","","","",""
"LOT.DMG","","","20190107142237","20190107142237","940028","940028"
"LOT.DMGRFH","","","20190107142153","20190107142203","940028","940028"
"LOT.MISS","","","20190107142330","20190107142338","940028","940028"
"LYRS.CHNG","","","20190107141440","20190107141947","940028","940028"
"MANUAL_SKIP","","","","","",""
"MULTI-PROBLEM","","","","","",""
"NO-LON-NEEDED","","","","","",""
"NO-REPLACE","","","","","",""
"NOTE.SWAP","","","20190117103602","20190117103602","939161","939161"
"OUT_OF_SEQ","","","","","",""
"OUT-AUD-HLD","","","","","",""
"OVERAGE","","","","","",""
"OVERIG","","","20181122192851","20181122192851","939370","939370"
"PACK-DAMAGED","","","","","",""
"PAL-OVR-LOC-FULL","","","","","",""
"PAL-OVR-OUT-SEQ","","","","","",""
"PAL-OVR-POS-SML","","","","","",""
"PAL-OVR-SUPV-RQST","","","","","",""
"PAL-OVR-USR","","","","","",""
"PRDLIN_ERROR","","","20230421123203","20230421123258","938673","938673"
"PRDLIN_MAINT","","","20230421123128","20230421123128","938673","938673"
"PRDLIN-HOLD","","","","","",""
"QTY.CHNG","","","20190107141846","20190107141908","940028","940028"
"QTY.OLD","","","20190107142116","20190107142116","940028","940028"
"QUAL","","","","","",""
"R","","","","","",""
"RCV_DAMG","","","","","",""
"REPLACE-REQ","","","","","",""
"SHIPCMPL-WRKFLW-ERR","","","","","",""
"SHORTAGE","","","","","",""
"TRL-AUD-PASS","","","","","",""
"UNXP_RCPT","","","","","",""
"WGT_DISCR","","","","","",""
"WKO-CLOSE","","","","","",""
"WO_CANCEL","","","20230421130030","20230421130030","938673","938673"
"WO_CHANGE","","","20230421120223","20230421120223","938673","938673"
"WO_NO_COMP_QTY","","","20230421120222","20230421120222","938673","938673"
"WO_NO_STAFF","","","20230421120222","20230421120222","938673","938673"
"WO_OTHER_PRDLIN","","","20230421120223","20230421120223","938673","938673"
"WORN","","","","","",""
"WRO-ITEM","","","","","",""
"WRONG-INV","","","","","",""
"WRO-SIZE","","","","","",""
