reacod,reagrp,client_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADJ","COUNT","----",0,"","","",""
"ADJ-ACCEPT","ADJAPP","----",0,"","","",""
"AS-NEW","RTN_CON","----",0,"","","",""
"BCKGRD-WRKFLW-ERR","PKO_ERRORS","----",0,"","","",""
"CYCL","COUNT","----",0,"","","",""
"D","UNDLV","----",0,"","","",""
"DAMAGED","PKO_ERRORS","----",0,"","","",""
"DAMAGED","RTN_CON","----",1,"","","",""
"DAMAGED","RTN_REA","----",4,"","","",""
"DAMAGED_PROD","RCV_STG_OVR","----",0,"","","",""
"DAMAGED_PROD","SHP_STG_OVR","----",0,"","","",""
"DEFECTIVE","RTN_CON","----",3,"","","",""
"DEFECTIVE","RTN_REA","----",1,"","","",""
"EQUIP_CHECK","LINE_SCHED","----",0,"","","",""
"EXPIRED","RTN_CON","----",5,"","","",""
"FILL-TRLR","ORD_UPD","----",0,"","","",""
"H","UNDLV","----",0,"","","",""
"I","UNDLV","----",0,"","","",""
"INVALID-RATIO","PKO_ERRORS","----",0,"","","",""
"INV-SHORT","ORD_UPD","----",0,"","","",""
"KIT","INV_ATTR","----",0,"","","",""
"LOC_FULL","RCV_STG_OVR","----",0,"","","",""
"LOC_FULL","SHP_STG_OVR","----",0,"","","",""
"MULTI-PROBLEM","PKO_ERRORS","----",0,"","","",""
"NO-LON-NEEDED","RTN_REA","----",0,"","","",""
"NO-REPLACE","RTN_ACT","----",0,"","","",""
"OUT_OF_SEQ","SHP_STG_OVR","----",0,"","","",""
"OUT-AUD-HLD","HOLD","----",1,"","","",""
"OVERAGE","PKO_ERRORS","----",0,"","","",""
"PACK-DAMAGED","RTN_CON","----",2,"","","",""
"PAL-OVR-LOC-FULL","PAL_POS_OVR","----",0,"","","",""
"PAL-OVR-OUT-SEQ","PAL_POS_OVR","----",0,"","","",""
"PAL-OVR-POS-SML","PAL_POS_OVR","----",0,"","","",""
"PAL-OVR-SUPV-RQST","PAL_POS_OVR","----",0,"","","",""
"PAL-OVR-USR","PAL_POS_OVR","----",0,"","","",""
"PRDLIN-HOLD","WKOSTOP","----",0,"","","",""
"QUAL","HOLD","----",0,"","","",""
"R","UNDLV","----",0,"","","",""
"REPLACE-REQ","RTN_ACT","----",1,"","","",""
"SHIPCMPL-WRKFLW-ERR","PKO_ERRORS","----",0,"","","",""
"SHORTAGE","PKO_ERRORS","----",0,"","","",""
"UNXP_RCPT","RCV_WO_ORDER","----",0,"","","",""
"WGT_DISCR","PKO_ERRORS","----",0,"","","",""
"WKO-CLOSE","WKOSTOP","----",0,"","","",""
"WORN","RTN_CON","----",4,"","","",""
"WRO-ITEM","RTN_REA","----",2,"","","",""
"WRONG-INV","PKO_ERRORS","----",0,"","","",""
"WRO-SIZE","RTN_REA","----",3,"","","",""
"CARR.DEF2","USR-RELABEL","RFH",0,"20190117103628","20190117103628","939161","939161"
"LOT.DMG","ADJ","RFH",0,"20190107142237","20190107142237","940028","940028"
"LOT.DMGRFH","ADJ","RFH",0,"20190107142153","20190107142203","940028","940028"
"LOT.MISS","ADJ","RFH",0,"20190107142330","20190107142338","940028","940028"
"LYRS.CHNG","INV_ATTR","RFH",0,"20190107141440","20190107141947","940028","940028"
"NOTE.SWAP","USR-RELABEL","RFH",0,"20190117103602","20190117103602","939161","939161"
"OVERIG","HOLD","RFH",0,"20181122192851","20181122192851","939370","939370"
"PRDLIN_ERROR","LINE_SCHED","RFH",0,"20230421123203","20230421123258","938673","938673"
"PRDLIN_MAINT","LINE_SCHED","RFH",0,"20230421123128","20230421123128","938673","938673"
"QTY.CHNG","ADJ","RFH",0,"20190107141846","20190107141908","940028","940028"
"QTY.OLD","ADJ","RFH",0,"20190107142116","20190107142116","940028","940028"
"WO_CANCEL","WKOSTOP","RFH",0,"20230421130030","20230421130030","938673","938673"
"WO_CHANGE","WKOSTOP","RFH",0,"20230421120223","20230421120223","938673","938673"
"WO_NO_COMP_QTY","WKOSTOP","RFH",0,"20230421120222","20230421120222","938673","938673"
"WO_NO_STAFF","WKOSTOP","RFH",0,"20230421120222","20230421120222","938673","938673"
"WO_OTHER_PRDLIN","WKOSTOP","RFH",0,"20230421120223","20230421120223","938673","938673"
