reagrp,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADJ","","","",""
"ADJAPP","","","",""
"CLIENT_OWN","","","",""
"COUNT","","","",""
"HOLD","","","",""
"INV_ATTR","","","",""
"INV_STS_CHG","","","",""
"LINE_SCHED","","","",""
"OOT","","","",""
"ORD_UPD","","","",""
"PAL_POS_OVR","","","",""
"PKO_ERRORS","","","",""
"RCV_STG_OVR","","","",""
"RCV_WO_ORDER","","","",""
"RTN_ACT","","","",""
"RTN_CON","","","",""
"RTN_REA","","","",""
"SHP_STG_OVR","","","",""
"UNDLV","","","",""
"USR-RELABEL","20181019103326","20181019103326","939370","939370"
"WKOSTOP","","","",""
