rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ABOUT",0,"com.redprairie.wmd.formlogic.About","dcs_data","","20210202173914","NOUSER","NOUSER"
"ACK_DIR_SERV",0,"com.redprairie.wmd.formlogic.AckDirServ","dcs_data","","20210202173914","NOUSER","NOUSER"
"ALLOCATE_LOCATION",0,"com.redprairie.wmd.formlogic.AllocateLocation","dcs_data","","20210202173914","NOUSER","NOUSER"
"ALT_PART",0,"com.redprairie.wmd.formlogic.AltPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"ALT_PART_CAPTURE",0,"com.redprairie.wmd.formlogic.AltPartCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"ASSET_IDENTIFY",0,"com.redprairie.wmd.formlogic.AssetIdentify","dcs_data","","20210202173914","NOUSER","NOUSER"
"ASSET_IDENTIFY",10,"com.redprairie.les.formlogic.UsrAssetIdentify","usr_data","20220427155852","20220427155852","939370","939370"
"ASSET_SHIPMENT",0,"com.redprairie.wmd.formlogic.AssetShipment","dcs_data","","20210202173914","NOUSER","NOUSER"
"ASSIGN_WORK",0,"com.redprairie.wmd.formlogic.AssignWork","dcs_data","","20210202173914","NOUSER","NOUSER"
"AUDIT_DISTRIBUTION",0,"com.redprairie.wmd.formlogic.AuditDistribution","dcs_data","","20210202173914","NOUSER","NOUSER"
"AUDIT_TRLR",0,"com.redprairie.wmd.formlogic.AuditTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"AUTHENTICATE_FORM",0,"com.redprairie.wmd.formlogic.AuthenticateForm","dcs_data","","20210202173914","NOUSER","NOUSER"
"AUTO_SHIP_SEQ_ORD",0,"com.redprairie.wmd.formlogic.AutoShipSeqOrd","dcs_data","","20210202173914","NOUSER","NOUSER"
"BOX_TO_BATCH_DSP",0,"com.redprairie.wmd.formlogic.BoxToBatchDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"BUILD_PALLET",0,"com.redprairie.wmd.formlogic.BuildPallet","dcs_data","","20210202173914","NOUSER","NOUSER"
"BULK_PICK_DEP",0,"com.redprairie.wmd.formlogic.BulkPickDep","dcs_data","","20210202173914","NOUSER","NOUSER"
"BULK_PICK_ENT",0,"com.redprairie.wmd.formlogic.BulkPickEnt","dcs_data","","20210202173914","NOUSER","NOUSER"
"CAPTURE_SER_ASSET_INFORMATION",0,"com.redprairie.wmd.formlogic.CaptureSerAssetInformation","dcs_data","","20210202173914","NOUSER","NOUSER"
"CARTON_EXCEPTION",0,"com.redprairie.wmd.formlogic.CartonException","dcs_data","","20210202173914","NOUSER","NOUSER"
"CARTON_RESIZE",0,"com.redprairie.wmd.formlogic.CartonResize","dcs_data","","20210202173914","NOUSER","NOUSER"
"CASE_CONFIRM",0,"com.redprairie.wmd.formlogic.CaseConfirm","dcs_data","","20210202173914","NOUSER","NOUSER"
"CASESPLIT",0,"com.redprairie.wmd.formlogic.Casesplit","dcs_data","","20210202173914","NOUSER","NOUSER"
