serv_id,serv_ins_id,seqnum,serv_ins_typ,stop_serv_flg,moddte,mod_usr_id
"APPLY-PALLBL","APPLY-PALLBL",1,"NOCONFRM",0,"",""
"ASSIGN-CAR-PRO-NUM","ASSIGN-TRACK-NUM",0,"NOCONFRM",0,"",""
"BLSTFRZCHG","BLSTFRZCHG",0,"NOCONFRM",0,"",""
"BLSTRLCCHG","BLSTRLCCHG",0,"NOCONFRM",0,"",""
"CAP-LOD-HGT","CAP-LOD-HGT",1,"NOCONFRM",0,"",""
"CAP-MED","CAP-MED-INS",0,"YESNO",0,"",""
"CAPTURE-TRLR-TEMP","CAPTURE-TRLR-TEMP",1,"NOCONFRM",0,"",""
"CHECK-CARTON","CARTON-GOODCOND",1,"YESNO",0,"",""
"CMPL-LBL-DOCS","CMPL-LBL-DOCS",0,"NOCONFRM",0,"",""
"CRE-RCV-WRK","EXEC-CRE-RCV-WRK",0,"NOCONFRM",0,"",""
"DATESTMP","DATESTMP",0,"YESNO",0,"",""
"DUTY-DISPATCH","DUTY-LOG-TRAN",1,"NOCONFRM",0,"",""
"EXEC-CAR-MTX","EXEC-CAR-MTX",0,"NOCONFRM",0,"",""
"FRZCHG","FRZCHG",0,"NOCONFRM",0,"",""
"GENCASTAG","GENCASTAG",2,"NOCONFRM",0,"",""
"IDENT-MNFST-CTN","CARTON-GOODCOND",3,"YESNO",0,"",""
"IDENT-MNFST-CTN","CARTON-LABELED",2,"YESNO",0,"",""
"IDENT-MNFST-CTN","CARTON-TAPED",1,"YESNO",0,"",""
"INB-QA-APLYHOLD","INB-QA-APPLYHOLD",1,"ACKNOWL",0,"",""
"INB-QA-CHGSTS","QAINSPDMGD",1,"YESNO",0,"",""
"INBQLT-ISSUE","INBQLT-ISSUE",1,"NOCONFRM",0,"",""
"INIT-SAFETY-CHECK","TRL-INIT-LOAD-UNLOAD",0,"NOCONFRM",0,"",""
"INIT-SAFETY-CHECK","TRLR-INIT-DOOR-OPER",0,"NOCONFRM",0,"",""
