serv_ins_id,serv_action_typ,serv_action_cod,seqnum,rf_frm_id,gui_frm_id,cnfrm_val_var_nam,post_cnfrm_val_cmd,invsts,ems_evt_nam,rpt_id,cmd,hldnum,hldcod,hldpfx,reacod,moddte,mod_usr_id
"APPLY-PALLBL","PASS","RUNCMD",1,"","","","","","","","produce pallet label where lodnum = @invtid","","","","","",""
"ASSIGN-TRACK-NUM","PASS","RUNCMD",1,"","","","","","","","assign carrier pro number where @*","","","","","",""
"BLSTFRZCHG","PASS","RUNCMD",0,"","","","","","","","process billing event for background service","","","","","",""
"BLSTRLCCHG","PASS","RUNCMD",0,"","","","","","","","process billing event for background service","","","","","",""
"CAP-LOD-HGT","PASS","EXCFORM",1,"CNFRM_SERV_VAL","servcnfvalopr","lodhgt","write load height where cnfrm_serv_id = @cnfrm_serv_id","","","","","","","","","",""
"CAP-MED-INS","PASS","EXCFORM",0,"","uploadmediaservopr","","","","","","","","","","","",""
"CAPTURE-TRLR-TEMP","PASS","EXCFORM",1,"CNFRM_SERV_VAL","servcnfvalopr","trlr_temp","","","","","","","","","","",""
"CMPL-LBL-DOCS","PASS","RUNCMD",1,"","","","","","","","produce lbl compliant documents where @*","","","","","",""
"DUTY-LOG-TRAN","PASS","RUNCMD",0,"","","","","","","","process duty dispatch transaction","","","","","",""
"EXEC-CAR-MTX","PASS","RUNCMD",0,"","","","","","","","get carrier code preference where prcmod = 'U' and ship_id = @ship_id and wh_id = @wh_id","","","","","",""
"EXEC-CRE-RCV-WRK","PASS","RUNCMD",0,"","","","","","","","create directed receiving work where wh_id = @wh_id and stoloc = @stoloc and trknum = @trknum","","","","","",""
"FRZCHG","PASS","EXCFORM",0,"CNFRM_SERV_VAL","servcnfvalopr","pallet_temp","check pallet temperature","","","","","","","","","",""
"GENCASTAG","PASS","RUNCMD",1,"","","","","","","","[select wrkref from pckwrk_view where ship_id = @ship_id and appqty = 0] | process rfid tag generation","","","","","",""
"INB-QA-APPLYHOLD","PASS","CREHOLD",1,"","","","","","","","","","FUTRHOLD","HLDP","INV-HOLD","",""
"INBQLT-ISSUE","PASS","EXCFORM",1,"CNFRM_SERV_VAL","servcnfvalopr","vnd_ib_issue","","","","","","","","","","",""
"INS000000002","PASS","RUNCMD",1,"","","","","","","","create usr stops and loads for shipments def","","","","","20210922152425","939161"
"INS000000003","PASS","RUNCMD",1,"","","","","","","","process usr auto load of shipments","","","","","20181009091631","940028"
"INS000000009","PASS","RUNCMD",1,"","","","","","","","update usr hold code to invdtl","","","","","20181113112944","940028"
"INS000000012","PASS","RUNCMD",1,"","","","","","","","send usr inventory relabel interface","","","","","20181224124207","939370"
"INS000000013","PASS","RUNCMD",1,"","","","","","","","send usr inventory hold change interface","","","","","20181224112319","939370"
"INS000000014","PASS","RUNCMD",1,"","","","","","","","send usr inventory asset type change interface","","","","","20190104145454","939370"
"INS000000015","PASS","RUNCMD",1,"","","","","","","","send usr load attribute change interface","","","","","20190111004354","939370"
"INS000000020","PASS","EXCFORM",1,"CNFRM_SERV_VAL","servcnfvalopr","prtadr","[select * from prsmst where prtadr=@cnfrm_serv_val] catch(-1403)
|
if (@? = 0)
[update devmst set prtadr=@prtadr, lbl_prtadr = @prtadr where devcod=@devcod]","","","","","","","","","20210729182937","939370"
"INS000000023","PASS","RUNCMD",1,"","","","","","","","publish data where cmd = 'produce usr status update inventory where lodnum = '  || "'" || @lodnum || "'" || ' and dst_mov_zone_id = '  || @dst_mov_zone_id || ' and src_mov_zone_id = '  || @src_mov_zone_id || ' and exitpnt = '  || "'" || @exitpnt || "'" || ' and dstloc = '  || "'" || @dstloc || "'" || ' and srcloc = '  || "'" || @srcloc || "'" || ' and wh_id = '|| "'" || @wh_id || "' "
|
create deferred execution where exec_typ = 'USR1' and deferred_cmd = @cmd","","","","","20220512160258","939161"
"INS000000024","PASS","RUNCMD",1,"","","","","","","","process rf reserving location for next step where invid=@lodnum and wh_id=@wh_id","","","","","20221207150306","938673"
"INS000000025","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=1 and uc_cnfrm_flg=1 and vas_type='WKO'","","","","","20230719110641","938673"
"INS000000026","FAIL","RUNCMD",2,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=0","","","","","20230221082244","938673"
"INS000000026","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=1","","","","","20230221082231","938673"
"INS000000027","FAIL","RUNCMD",2,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=0","","","","","20230221082046","938673"
"INS000000027","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=1","","","","","20230221082054","938673"
"INS000000028","FAIL","RUNCMD",2,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=0","","","","","20230221081825","938673"
"INS000000028","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=1","","","","","20230221081809","938673"
"INS000000029","FAIL","RUNCMD",2,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=0","","","","","20230221081920","938673"
"INS000000029","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=1","","","","","20230221081907","938673"
"INS000000031","FAIL","RUNCMD",2,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=0 and vas_type='WKO'","","","","","20230713101845","938673"
"INS000000031","PASS","RUNCMD",1,"","","","","","","","create usr vas record where @* and uc_auto_genflg=0 and uc_cnfrm_flg=1 and vas_type='WKO'","","","","","20230713101841","938673"
"INV-ADJ-STS-CHANGE","PASS","RUNCMD",1,"","","","","","","","[select 'X' from aremst where lost_loc = @dstloc and arecod = @srcare and wh_id = @wh_id union select 'X' from locmst join loc_typ on loc_typ.loc_typ_id = locmst.loc_typ_id where loc_typ.adjflg = 1 and locmst.arecod = @dstare] catch (-1403) | if (@? = 0) { process inventory status change where wh_id = @wh_id and to_invsts = 'H' and prc_hldnum = '1' and prc_hldpfx = 'CB' and lodnum = @lodnum and subnum = @subnum and dtlnum = @dtlnum } else { set return status where status = 0 }","","","","","",""
"INV-DTL-FOR-CRTN-INS","PASS","PRNTRPT",0,"","","","","","","Std-ListInvDtlForCmplCrtn","","","","","","",""
"LMPGCHG","PASS","RUNCMD",0,"","","","","","","","process billing event for background service","","","","","",""
"LOG-MST-RCPT-CMP","PASS","RUNCMD",1,"","","","","","","","log master receipt complete where wh_id = @wh_id and trlr_id = @trlr_id","","","","","",""
"MANFST-LABEL","PASS","RUNCMD",0,"","","","","","","","produce pm package label workflow","","","","","",""
"MNFST-SHP-CTN","PASS","RUNCMD",0,"","","","","","","","create pm package workflow where @*","","","","","",""
"NON-RCV-INS","PASS","RUNCMD",1,"","","","","","","","set return status where status = 10736","","","","","",""
"PALINV","PASS","RUNCMD",0,"","","","","","","","process billing event for background service","","","","","",""
"POST_LOAD_PLAN","PASS","RUNCMD",0,"","","","","","","","release palletctl stacks where trlr_id = @trlr_id and wh_id = @wh_id and exit_pnt = 'POST_LOAD_PLAN'","","","","","",""
"PREP-FOR-SHIP","PASS","RUNCMD",0,"","","","","","","","log prep for ship to host where trlr_id = @trlr_id and wh_id = @wh_id","","","","","",""
"PRINT-CTN-LABEL","PASS","EXCFORM",0,"CNFRM_SERV_VAL","servcnfvalopr","prtadr","produce label for pre carton pick where cnfrm_serv_id = @cnfrm_serv_id | print label report","","","","","","","","","",""
"PRINT-INB-PALBLD-LBL","PASS","RUNCMD",0,"","","","","","","","produce lbl compliant documents where @* | print label report","","","","","",""
"PRINT-LPN-NUM","PASS","RUNCMD",0,"","","","","","","","produce return lpn print label where @*","","","","","",""
"PRINT-SUBUCC-LBL","PASS","RUNCMD",1,"","","","","","","","produce list pick case labels where @*","","","","","",""
"PRNT-RCV-RPT","PASS","RUNCMD",0,"","","","","","","","produce lbl compliant documents where @* | print label report","","","","","",""
"QAINSPDMGD","PASS","STSCHG",1,"","","","","D","","","","","","","","",""
"RELEASE-PM-SHIP-PKG","PASS","RUNCMD",1,"","","","","","","","release pm packages for shipment where @*","","","","","",""
