serv_ins_id,moddte,mod_usr_id
"ALL-SYS-CHK-FOR-LEAK","",""
"APP-HAZ-LBL","",""
"APPLY-PALLBL","",""
"ASSIGN-TRACK-NUM","",""
"ATTACH-SECURE","",""
"BLSTFRZCHG","",""
"BLSTRLCCHG","",""
"BRAKE-WRKING-COR","",""
"CAP-LOD-HGT","",""
"CAP-MED-INS","",""
"CAPTURE-TRLR-TEMP","",""
"CARTON-GOODCON","",""
"CARTON-GOODCOND","",""
"CARTON-LABELED","",""
"CARTON-TAPED","",""
"CATCHWGT","",""
"CEIL-WAL-FLO-OK","",""
"CMPL-LBL-DOCS","",""
"COVER-GARMENT","",""
"CRE-RCV-WRK","",""
"DATESTMP","",""
"DUTY-LOG-TRAN","",""
"EXEC-CAR-MTX","",""
"FRZCHG","",""
"GENCASTAG","",""
"HANG-GARMENT","",""
"HARNESS-ATTACHED","",""
"HORN-WRKING","",""
"HYDRLIS-WRKING","",""
"INB-QA-APPLYHOLD","",""
"INBQLT-ISSUE","",""
"INS000000002","20181004091852","940028"
"INS000000003","20181004092017","940028"
"INS000000009","20181113112944","940028"
"INS000000012","20181221183142","939370"
"INS000000013","20181224111658","939370"
"INS000000014","20190104145425","939370"
"INS000000015","20190111004353","939370"
"INS000000020","20200422162014","938673"
"INS000000023","20200423123201","938673"
"INS000000024","20221207145430","938673"
"INS000000026","20230210153044","938673"
"INS000000027","20230210154148","938673"
"INS000000028","20230210154236","938673"
"INS000000029","20230210154302","938673"
"INS000000030","20230315095730","938673"
"INS000000031","20230315095651","938673"
"INV-DTL-FOR-CRTN-INS","",""
"IS-TRLR-CLN","",""
"LABEL-GARMENT","",""
"LBL-CORRECT","",""
"LIGIT-WRKING","",""
"LMPGCHG","",""
"LOAD-BACKREST-INPL","",""
"LOG-MST-RCPT-CMP","",""
"MANFST-LABEL","",""
"MNFST-SHP-CTN","",""
"NON-RCV-INS","",""
"NOS-STD-INPL","",""
"OVERHEAD-CAGE-INPL","",""
"PACK-SLIP-INC","",""
"PALINV","",""
"POST_LOAD_PLAN","",""
"PREP-FOR-SHIP","",""
"PRINT-CTN-LABEL","",""
"PRINT-INB-PALBLD-LBL","",""
"PRINT-LPN-NUM","",""
"PRINT-SUBUCC-LBL","",""
"PRNT-RCV-RPT","",""
"PRT-HAZ-LBL","",""
"PRT-PCK-LST","",""
"QAINSPDMGD","",""
"RELEASE-PM-SHIP-PKG","",""
"REL-PCK-STG","",""
"REL-PCK-TRLR","",""
"REP-HAZ-CONTAINER","",""
"ROTAT-BEACON-WRKING","",""
"RPT-PAL-SLOT","",""
"SAFE-SHOES-ON","",""
"SET-FRONT-AXLE-POS","",""
"SET-OPTIMAL-STG-LANE","",""
"SET-REAR-AXLE-POS","",""
"SHRINK-WRAP-INS","",""
"SKIP-PICK","",""
"SPCRRMVL","",""
"STRTCHWRAP","",""
"TAG-PALLET","",""
"TIRES-OK","",""
"TRL-INIT-LOAD-UNLOAD","",""
"TRLR_AT_DOOR","",""
"TRLR-INIT-DOOR-OPER","",""
"WHEL-CHOK-INPL","",""
