serv_id,serv_typ,actcod,retry_fail_flg,auto_cnfrm_flg,yestoall_flg,moddte,mod_usr_id
"APPLY-PALLBL","INBSERV","APPLY-PALLBL",0,0,0,"",""
"ASSIGN-CAR-PRO-NUM","BCKSERV","",0,0,0,"",""
"BLSTFRZCHG","BCKSERV","",0,0,0,"",""
"BLSTRLCCHG","BCKSERV","",0,0,0,"",""
"CAP-LOD-HGT","INBSERV","CAP-LOD-HGT",0,0,0,"",""
"CAP-MED","INBSERV","CAP-MED",0,0,0,"",""
"CAPTURE-TRLR-TEMP","TRANSEQUIP","CAPTURE-TRLR-TEMP",0,0,0,"",""
"CHECK-CARTON","OUBSERV","CHECK-CARTON",0,0,0,"",""
"CMPL-LBL-DOCS","BCKSERV","",0,0,0,"",""
"CRE-RCV-WRK","BCKSERV","",0,0,0,"",""
"DATESTMP","OUBSERV","DATESTMP",0,0,0,"",""
"DUTY-DISPATCH","OUBSERV","DUTY-DISPATCH",0,0,0,"",""
"EXEC-CAR-MTX","BCKSERV","",0,0,0,"",""
"FRZCHG","INBSERV","FRZCHG",0,0,0,"",""
"GENCASTAG","BCKSERV","",0,0,0,"",""
"HIGH-VALUE-AUDIT","OUBSERV","HIGH-VALUE-AUDIT",0,0,0,"",""
"IDENT-MNFST-CTN","OUBSERV","IDENT-MNFST-CTN",0,0,0,"",""
"INB-QA-APLYHOLD","INBSERV","INB-QA-APLYHOLD",0,0,0,"",""
"INB-QA-CHGSTS","INBSERV","INB-QA-CHGSTS",0,0,0,"",""
"INBQLT-ISSUE","INBSERV","INBQLT-ISSUE",0,0,0,"",""
"INIT-SAFETY-CHECK","BCKSERV","",0,0,0,"",""
"INS-SPACER","OUBSERV","INS-SPACER",0,0,0,"",""
"INV-ADJ-STS-CHANGE","BCKSERV","CNTBCKD",0,0,0,"",""
"INV-DTL-FOR-CRTN","INBSERV","INV-DTL-FOR-CRTN",0,0,0,"",""
"LMPGCHG","BCKSERV","",0,0,0,"",""
"LOG-MST-RCPT-CMP","BCKSERV","",0,0,0,"",""
"MNFST-CTN","OUBSERV","MNFST-CTN",0,0,0,"",""
"MNFST-SHP-CTN","BCKSERV","MANFST",0,0,0,"",""
"NON-RCV","INBSERV","NON-RCV",0,0,0,"",""
"PACK-LST-CTN","OUBSERV","PACK-LST-CTN",0,0,0,"",""
"PALINV","BCKSERV","",0,0,0,"",""
"PERFORM-AUD-FOR-CLT","OUBSERV","PERFORM-AUD-FOR-CLT",0,0,0,"",""
"PERFORM-TRLR-SAF-CHK","TRANSEQUIP","PERFORM-TRLR-SAF-CHK",1,0,0,"",""
"PERFORM-VEH-SAF-CHK","WHEQUIP","PERFORM-VEH-SAF-CHK",0,0,0,"",""
"POST_LOAD_PLAN","BCKSERV","",0,0,0,"",""
"PREP-FOR-SHIP","BCKSERV","",0,0,0,"",""
"PRINT-CTN-LABEL","OUBSERV","PRINT-CTN-LABEL",0,0,0,"",""
"PRINT-INB-PALBLD-LBL","BCKSERV","",0,0,0,"",""
"PRINT-LPN-NUM","BCKSERV","",0,0,0,"",""
"PRINT-SUBUCC-LBL","BCKSERV","",0,0,0,"",""
"PRNT-RCV-RPT","BCKSERV","",0,0,0,"",""
"PROC-HAZAR-PRT","OUBSERV","PROC-HAZAR-PRT",0,0,0,"",""
"QASAMPL","INBSERV","QASAMPL",0,0,0,"",""
"RELEASE-PM-SHIP-PKG","BCKSERV","",0,0,0,"",""
"REL-PCK-STG","BCKSERV","",0,0,0,"",""
"REL-PCK-TRLR","BCKSERV","",0,0,0,"",""
"REPKG-GARMENT","INBSERV","REPKG-GARMENT",0,0,0,"",""
"RF-PRINT-OUTAUD-RPT","BCKSERV","",0,0,0,"",""
"SAFETY-CHK-DEFERRED","TRANSEQUIP","SAFETY-CHK-DEFERRED",1,0,0,"",""
"SAFETY-CHK-IMMEDIATE","TRANSEQUIP","SAFETY-CHK-IMMEDIATE",1,0,0,"",""
"SET-AXLE-POSITIONS","TRANSEQUIP","SET-AXLE-POSITIONS",0,0,0,"",""
"SET-OPTIMAL-STG-LANE","BCKSERV","",0,0,0,"",""
"SHRINK-WRAP","OUBSERV","SHRINK-WRAP",0,0,0,"",""
"SKIP-PICK","BCKSERV","",0,0,0,"",""
"SPCRRMVL","BCKSERV","",0,0,0,"",""
"STRTCHWRAP","BCKSERV","",0,0,0,"",""
"TAG-PALLET","OUBSERV","TAG-PALLET",0,0,0,"",""
"TRLR_AT_DOOR","BCKSERV","",0,0,0,"",""
"TRLR-PAL-SLOT","BCKSERV","",0,0,0,"",""
"USR-AUTO-LOAD-SHP","BCKSERV","INVSHIP",0,1,0,"20181003162018","940028"
"USR-COPY-HOLDNUM","BCKSERV","RCV",0,1,0,"20181113112943","940028"
"USR-CRT-STOPS-LOADS","BCKSERV","SHIPLOAD",0,1,0,"20181003154414","940028"
"USR-PRINT-PACKSLIP","OUBSERV","PKOINIT",0,1,0,"20200423121511","938673"
"USR-PRINT-WO","ASSEMBLE","WO_START",0,1,0,"20230405194959","938673"
"USR-RES-NEXT-STEP","BCKSERV","FL_XFR",0,1,0,"20221207145323","938673"
"USR-SEND-ASSET-IF","BCKSERV","INVADJ",0,1,0,"20190104144648","939370"
"USR-SEND-HOLD-IF","BCKSERV","INVSTSCHG",0,1,0,"20181224111139","939370"
"USR-SEND-LODATT-IF","BCKSERV","INVADJ",0,1,0,"20190111002120","939370"
"USR-SEND-RELABEL-IF","BCKSERV","INVATTCHG",0,1,0,"20181221182759","939370"
"USR-SEND-STATUS","BCKSERV","INVSTSCHG",0,1,0,"20181029171259","938673"
"USR-VAS_INV_ONLY","OUBSERV","BILLING_GEN",0,1,0,"20230209123817","938673"
"USR-VAS_LPN_PACK","OUBSERV","BILLING_GEN",0,1,0,"20230210151534","938673"
"USR-VAS_LPN_PICK","OUBSERV","BILLING_GEN",0,1,0,"20230210151526","938673"
"USR-VAS_PACK","OUBSERV","BILLING_GEN",0,1,0,"20230210115835","938673"
"USR-VAS_PACK_CNFRM","OUBSERV","BILLING_GEN",0,1,0,"20230210151517","938673"
"USR-VAS_PICK","OUBSERV","BILLING_GEN",0,1,0,"20230210115720","938673"
"USR-VAS_PICK_CNFRM","OUBSERV","BILLING_GEN",0,1,0,"20230210151509","938673"
"USR-WO_PROD_LPN_PACK","OUBSERV","BILLING_GEN",0,1,0,"20230315085720","938673"
"USR-WO_PROD_VAS_CFRM","ASSEMBLE","BILLING_GEN",0,1,0,"20230315083758","938673"
"USR-WO_PROD_VAS_ONLY","BCKSERV","BILLING_GEN",0,1,0,"20230713161137","938673"
"USR-WO_PROD_VAS_PACK","ASSEMBLE","BILLING_GEN",0,1,0,"20230315085435","938673"
"USR-WO_VAS_INV_ONLY","USERSERV","BILLING_GEN",0,1,0,"20230308082024","938673"
"XDOCKCHG","BCKSERV","",0,0,0,"",""
