eo_id,eo_ver,eo_seg_id,eo_fld_id,sql_component_seq,retr_mthd_id,retr_mthd_impl_genid,sql_crsr_col,grp_by_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADDR_CHANGE","2009.2","ADDR_CHANGE","DUMMY",0,"SL_DUMMY_RM","SYS_DCS","'x'","F",1,"20210202172952","","SLIMP_I",""
"ADDR_CREATE","2009.2","ADDR_CREATE","DUMMY",0,"SL_DUMMY_RM","SYS_DCS","'x'","F",1,"20210202172952","","SLIMP_I",""
"ADDR_DELETE","2009.2","ADDR_DELETE","DUMMY",0,"SL_DUMMY_RM","SYS_DCS","'x'","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","FIELD_NAME",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","field_name","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","GRPOPR",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","grpopr","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","OPERATOR",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","operator","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","RULE_NAM",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","rule_nam","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","SEGNAM",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","segnam","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","SEQNUM",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","seqnum","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","VALUE",0,"ALLOC_RULE_DTL_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_DTL_SEG","value","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","CPLX_FLG",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","cplx_flg","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","LNGDSC",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","lngdsc","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","RULE_NAM",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","rule_nam","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","SEGNAM",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","segnam","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","TEMP_FLG",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","temp_flg","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","TRNTYP",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","trntyp","F",1,"20210202172952","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","VALID_FLG",0,"ALLOC_RULE_HDR_SEG_RM","SEG_ALLOC_RULE_INB_IFD            _2010.1         _ALLOC_RULE_HDR_SEG","valid_flg","F",1,"20210202172952","","SLIMP_I",""
