eo_id,eo_ver,eo_descr,evt_id,always_create_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADDR_CHANGE","2009.2","CHANGE ADDRESS","ADDR_CHANGE","T",1,"20210202172938","","SLIMP_I",""
"ADDR_CREATE","2009.2","CREATE ADDRESS","ADDR_CREATE","T",1,"20210202172938","","SLIMP_I",""
"ADDR_DELETE","2009.2","DELETE ADDRESS","ADDR_DELETE","T",1,"20210202172938","","SLIMP_I",""
"ALLOC_RULE_HDR","2010.1","Maintain Allocation Rules","MNT_ALLOC_RULE","T",1,"20210202172938","","SLIMP_I",""
"APPT_DELETE_TO_CANONICAL","2017.2","Appoinment delete to canonical system","APPT_DELETE_TO_CANONICAL","",1,"20210202173550","","SLIMP_I",""
"APPT_UPDATE_TO_CANONICAL","2017.2","Appointment Update message to Canonical","APPT_UPDATE_TO_CANONICAL","",1,"20210202173542","","SLIMP_I",""
"BLIND_RECEIPT_TO_CANONICAL","2017.2","Inventory Adjustment","BLIND_RECEIPT_TO_CANONICAL","T",1,"20210202173458","","SLIMP_I",""
"BUFFER_FULL","V2013.2","Location status","BUFFER_FULL","",1,"20210202172938","","SLIMP_I",""
"CANON_DESPATCH_ADVICE","2019.1.1","Despatch Advice event","DESPATCH_ADVICE","",2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_ORDER_TRAN","2019.1","Canonical Order inbound transaction","CANONICAL_ORDER","T",1,"20210202173212","","SLIMP_I",""
"CANON_TRANS_PICKUP_DROPOFF","2017.2","Canonical Transport Pick-up Drop-off","TRANSPORT_PICKUP_DROPOFF","",1,"20210202173332","","SLIMP_I",""
"CANON_TRANSPORT_LOAD","2020.1.0","canonical transport load","TRANSPORT_LOAD","",1,"20210202173252","","SLIMP_I",""
"CANONICAL_LOC_TRAN","2017.2","Canonical Supplier Location transaction","CANONICAL_LOCATION","",1,"20210202173351","","SLIMP_I",""
"CANONICAL_PARTY_TRAN","2017.2","Canonical Party transaction","CANONICAL_PARTY","",1,"20210202173341","","SLIMP_I",""
