eo_id,eo_ver,eo_seg_id,eo_seg_descr,parent_eo_id,parent_eo_ver,parent_eo_seg_id,blk_alg_id,blk_alg_eval_cd,retr_mthd_id,eo_seg_ordr,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADDR_CHANGE","2009.2","ADDR_CHANGE","Address Change","","","","","","SL_DUMMY_RM",30,2,"20210202172938","20210202173001","SLIMP_I","SLIMP_I"
"ADDR_CREATE","2009.2","ADDR_CREATE","Address Create","","","","","","SL_DUMMY_RM",30,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"ADDR_DELETE","2009.2","ADDR_DELETE","Address Delete","","","","","","SL_DUMMY_RM",30,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_DTL_SEG","Maintain Allocation Rule Detail","ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","","","ALLOC_RULE_DTL_SEG_RM",1,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"ALLOC_RULE_HDR","2010.1","ALLOC_RULE_HDR_SEG","Maintain Allocation Rules Header","ALLOC_RULE_HDR","2010.1","DUMMY_SEG","","","ALLOC_RULE_HDR_SEG_RM",1,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"ALLOC_RULE_HDR","2010.1","DUMMY_SEG","Dummy Segment","","","","","","CTRL_SEG_RM",1,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"APPT_DELETE_TO_CANONICAL","2017.2","APPT_DELETE_SEG","Assignmeent delete event output segment","","","","","","GS1_DUMMY_RM",0,1,"20210202173550","","SLIMP_I",""
"APPT_UPDATE_TO_CANONICAL","2017.2","APPT_UPDATE","Appointment Information","","","","","","GS1_APPT_UPD_RM",0,1,"20210202173542","","SLIMP_I",""
"BLIND_RECEIPT_TO_CANONICAL","2017.2","INVDTL_SEG","Inventory Detail Segment","","","","BLOCK_FOR_INV_ADJ","B","INVDTL_SEG_RM",0,1,"20210202173458","","SLIMP_I",""
"BUFFER_FULL","V2013.2","CTRL_SEG","Dummy","","","","","","SL_DUMMY_RM",0,2,"20210202172938","20210202173002","SLIMP_I","SLIMP_I"
"BUFFER_FULL","V2013.2","STOLOC_SEG","Buffer storage location","BUFFER_FULL","V2013.2","CTRL_SEG","","","BUFFER_STOLOC_RM",10,2,"20210202172938","20210202173003","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","ADDITIONALLOGISTICUNITID","Despatch Advice logistic unit identification id","CANON_DESPATCH_ADVICE","2019.1.1","LOGISTICUNITIDENTIFICATION","","","DA_ADDITIONAL_LOGISTIC_UNIT_ID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","ADDITIONALSHIPMENTID","Despatch Advice shipment id","CANON_DESPATCH_ADVICE","2019.1.1","SHIPMENTIDENTIFICATION","","","DA_ADDITIONAL_SHIPMENT_ID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","ADDITIONALTRADEITEMID","Despatch Advice additional trade item id","CANON_DESPATCH_ADVICE","2019.1.1","TRANSACTIONALTRADEITEM","","","DA_ADDITIONAL_TRADE_ITEM_ID",10,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","BUYERADDITIONALPARTYID","Despatch Advice buyer additional party identification","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEBUYER","","","DA_BUYER_ADDITIONALPARTYID",10,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","CARRIERADDITIONALPARTYID","Despatch Advice carrier additional party identification","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICECARRIER","","","DA_CARRIER_ADDITIONALPARTYID",10,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","CARRIERTRACKANDTRACEINFO","Despatch Advice carrier track and trace info","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICETRANSPORTINFO","","","DA_CARRIERTRACKANDTRACEINFO",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DAEXTENSION","DA Extension","CANON_DESPATCH_ADVICE","2019.1.1","EXTENSION","","","DESPATCH_ADVICE_DAEXTENSION",0,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DALINEEXTENSION","Despatch advice extension","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHEXTENSION","","","INBOUND_DA_EXTENSION",5,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","Despatch Advice","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEMESSAGE","","","DESPATCH_ADVICE",20,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEAVPLIST","Despatch Advice AVP List","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DESPATCH_ADVICE_AVPLIST",10,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEBUYER","Despatch Advice buyer","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_BUYER",50,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICECARRIER","Despatch Advice carrier","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_CARRIER",90,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEIDENTIFICAITON","Despatch Advice identification","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DESPATCH_ADVICE_IDENTIFICATION",20,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEINFORMATION","Despatch Advice information","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_INFORMATION",100,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELINEITEM","Despatch Advice logistic unit line item","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELOGISTICUNIT","","","DA_LINE_ITEM",20,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICELOGISTICUNIT","Despatch Advice logistic unit","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_LOGISTIC_UNIT",130,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICEMESSAGE","Despatch Advice Root","","","","","","DESPATCHADVICEMESSAGE",10,2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICERECEIVER","Despatch Advice receiver","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DESPATCH_ADVICE_RECVEIVER2",30,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESELLER","Despatch Advice seller","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_SELLER",60,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPFROM","Despatch Advice ship from","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_SHIPFROM",80,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
"CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICESHIPPER","Despatch Advice shipper","CANON_DESPATCH_ADVICE","2019.1.1","DESPATCHADVICE","","","DA_SHIPPER",40,2,"20210202173305","20210202173316","SLIMP_I","SLIMP_I"
