evt_id,evt_descr,log_evt_flg,evt_grp_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADDR_CHANGE","Lens Change Address","F","LENS",1,"20210202172933","","SLIMP_I",""
"ADDR_CREATE","Lens Create Address","F","LENS",1,"20210202172933","","SLIMP_I",""
"ADDR_DELETE","Lens Delete Address","F","LENS",1,"20210202172933","","SLIMP_I",""
"APPT_DELETE_TO_CANONICAL","Appoinment Delete Message to Canonical System","F","CONNECT",1,"20210202173550","","SLIMP_I",""
"APPT_UPDATE_TO_CANONICAL","This event sends message to the Canonical System that appointment is updated by WM user.","F","CONNECT",1,"20210202173542","","SLIMP_I",""
"BLIND_RECEIPT_TO_CANONICAL","Unexpected Receipt to Canonical","F","CONNECT",1,"20210202173458","","SLIMP_I",""
"BUFFER_FULL","Buffer Full","T","WCS",1,"20210202172933","","SLIMP_I",""
"CANONICAL_LOCATION","Inbound GS1 Location Supplier","F","CONNECT",1,"20210202173351","","SLIMP_I",""
"CANONICAL_ORDER","Inbound GS1 Canonical Order","F","CONNECT",1,"20210202173212","","SLIMP_I",""
"CANONICAL_PARTY","Inbound GS1 Party","F","CONNECT",1,"20210202173341","","SLIMP_I",""
"CAR_MOVE_CHANGE","Carrier Move Change","F","LENS",1,"20210202172933","","SLIMP_I",""
"CAR_MOVE_CREATE","Carrier Move Create","F","LENS",1,"20210202172933","","SLIMP_I",""
"CAR_MOVE_DELETE","Carrier Move Delete","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_CHANGE","Carrier Change","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_CREATE","Carrier Create","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_DELETE","Carrier Delete","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_DTL_CHANGE","Carrier Detail Change","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_DTL_CREATE","Carrier Detail Create","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_DTL_DELETE","Carrier Detail Delete","F","LENS",1,"20210202172933","","SLIMP_I",""
"CARRIER_MOVE_TO_CANONICAL","Load Message to Canonical","F","CONNECT",1,"20210202173417","","SLIMP_I",""
"CLIENT_CHANGE","Lens Change Client","F","LENS",1,"20210202172933","","SLIMP_I",""
"CLIENT_CREATE","Lens Create Client","F","LENS",1,"20210202172933","","SLIMP_I",""
"CLIENT_DELETE","Lens Create Client","F","LENS",1,"20210202172933","","SLIMP_I",""
"CLOSE-WORK-ORDER","Close Work Order","F","LEF TRANSACTION EVENTS",9,"20210202172933","","SLIMP_I",""
"COMMODITY_MANAGEMENT","Commodity download","F","ITEM",1,"20210202172933","","SLIMP_I",""
"CREATE_INVENTORY","Create Inventory","F","INVENTORY",1,"20210202172933","","SLIMP_I",""
"CREATE_LINE_INVENTORY","Create Line Inventory","F","WCS",1,"20210202172933","","SLIMP_I",""
"CSTMS_CNSGNMNT","Customs Consignment Event","F","RECEIPT",1,"20210202172933","","SLIMP_I",""
"CUST_CHANGE","Lens Change Customer","F","LENS",1,"20210202172933","","SLIMP_I",""
"CUST_CREATE","Lens Create Customer","F","LENS",1,"20210202172933","","SLIMP_I",""
"CUST_DELETE","Lens Delete Customer","F","LENS",1,"20210202172933","","SLIMP_I",""
"DESPATCH_ADVICE","Despatch Advice event","F","CONNECT",2,"20210202173305","20210202173315","SLIMP_I","SLIMP_I"
"DSUP-CLOSE-PROD-LINE","Close Digital Supplier Production Line","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"DUTY-ADJ-DSP","Duty Adjusted Inventory Dispatch","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-ADR","Duty Address","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-INV-CHG","Inventory property change","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-ORD-CONF","Duty Dispatch Confirmation","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-ORD-DSP","Duty Shipped Inventory Dispatch","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-PART-OUB","Duty Item Transaction - Will send customs items to Duty Management","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-RCV","Duty Reciept Notification","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-RCV-CONF","Duty Receipt Confirmation","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-STAMP","Duty Stamp Application","F","DUTY",1,"20210202172933","","SLIMP_I",""
"DUTY-STOCK-REC","Duty Stock Reconcilation","F","DUTY",1,"20210202172933","","SLIMP_I",""
"FOOT_MANAGEMENT","Footprint Download","F","FOOTPRINT",1,"20210202172933","","SLIMP_I",""
"GS1_ACK_NACK_TO_CANONICAL","GS1 ACK/NACK to Canonical.","F","SL_CONTROL",1,"20210202173616","","SLIMP_I",""
"HEARTBEAT_CONFIRM","Confirm heartbeat message","F","WCS",1,"20210202172933","","SLIMP_I",""
"HEARTBEAT_INITIATE","Initiate heartbeat message","F","WCS",1,"20210202172933","","SLIMP_I",""
"HOLD_INV","Hold Inventory Download","T","INVENTORY",1,"20210202172933","","SLIMP_I",""
"HOLD_MANAGEMENT","Hold Transaction download","T","MASTER DATA",1,"20210202172933","","SLIMP_I",""
"INDUCTION","Induction","F","WCS",1,"20210202172933","","SLIMP_I",""
"INTER_WAREHOUSE","Inter Warehouse Transfer","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"INV_CNSG_CHNG","INVENTORY CONSIGNMENT CHANGE","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"INV-ADJ","Inventory Adjustment","F","LEF TRANSACTION EVENTS",7,"20210202172933","","SLIMP_I",""
"INV-ADJ-WO","Inventory Adjust Work Order","F","LEF TRANSACTION EVENTS",9,"20210202172933","","SLIMP_I",""
"INV-ATTR-CHANGE","Inventory Attribute Change","F","INVENTORY",4,"20210202172933","","SLIMP_I",""
"INVENTORY_ATTR_CHANGE","Inventory Attribute Change","F","WCS",1,"20210202172933","","SLIMP_I",""
"INVENTORY_RECONCILIATION","Inventory Reconciliation Upload","F","INVENTORY",1,"20210202172933","","SLIMP_I",""
"INV-HLD","Inventory Hold","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"INV-MOV","Inventory Move","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"INV-RCV","Inventory Receipt","T","LEF TRANSACTION EVENTS",12,"20210202172933","","SLIMP_I",""
"INV-SCR-WO","Inventory Scrap for Work Order","F","LEF TRANSACTION EVENTS",9,"20210202172933","","SLIMP_I",""
"INV-STS","Inventory Status Change","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"LABEL_REQUEST","WCS Label Request","F","WCS",1,"20210202172933","","SLIMP_I",""
"LABEL_RESPONSE","WCS Label Response","F","WCS",1,"20210202172933","","SLIMP_I",""
"LENS-WH-SUBSCRIBE","Lens Warehouse Subscribe","F","LENS",1,"20210202172933","","SLIMP_I",""
"LENS-WH-UNSUBSCRIBE","Lens Warehouse Subscribe","F","LENS",1,"20210202172933","","SLIMP_I",""
"LINE_SETUP","Line Setup","F","WCS",1,"20210202172933","","SLIMP_I",""
"LM-TRANS","DCS LMS Event","F","LEF TRANSACTION EVENTS",1,"20210202172933","","SLIMP_I",""
"LOAD_DETAIL","The load detail message is essentially the results of a query from the WMS.","F","WCS",1,"20210202172933","","SLIMP_I",""
"LOAD_ERROR","This event is used to inform the WCS that the pallet provided in the Request message from WCS to WMS was not found in the WMS.","F","WCS",1,"20210202172933","","SLIMP_I",""
"LOCSTS","Location Status","F","WCS",1,"20210202172933","","SLIMP_I",""
"MASTER_RCPT_COMPL_TO_CANONICAL","This event sends message to the Canonical System that all receipts are complete for the given trailer.","F","CONNECT",1,"20210202173506","","SLIMP_I",""
"MASTER_RCPT_COMPLETE","This event indicates to the host system that all receipts are complete for the given trailer.","F","RECEIPT",1,"20210202172933","","SLIMP_I",""
