sys_id,sys_descr,native_nam,sys_grp_id,ena_flg,sl_host_sys_flg,i_commit_ctxt_defn_cd,pre_async_alg_id,post_async_alg_id,pre_dwnld_alg_id,post_dwnld_alg_id,fail_evt_id,prsrv_evt_seq_flg,snd_err_stat_flg,rcv_fail_evt_id,rcv_succ_evt_id,null_ind_char,nochg_ind_char,absent_ind_char,eol_delim,mailbox_nam,host_port,host_nam,sys_user_id,sys_password,sys_conn_data,moca_sys_flg,xml_tag_data_inst,xml_tag_ifd,xml_tag_data,max_grp_siz,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,service
"AGV_OUT","WCS - ASRS outbound","AGV_OUT","WCS","F","T","COMM","","","","","","F","F","","","","*","+","","","","","","","","T","","","",1,1,"20210202172858","","SLIMP_I","",""
"ASRS_OUT","WCS - ASRS outbound","ASRS_OUT","WCS","F","T","COMM","","","","","","F","F","","","","*","+","","","","","","","","T","","","",1,1,"20210202172859","","SLIMP_I","",""
"CANONICAL","Connect Canonical Messaging Integration System","CANONICAL","CONNECT","F","F","SIFD","","","","","","F","T","","","","*","+","
","","","","","","","","","InstanceIdentifierId","",1,1,"20210202173156","","SLIMP_I","",""
"DCS","DCS Warehouse Management System","DCS","LS","T","T","COMM","","","","","","F","T","","","","*","+","","","","","","","","T","","","",0,94,"20210202172859","20210202173158","SLIMP_I","SLIMP_I",""
"DUTY","Duty Management System","DUTY","DUTY","F","F","","","","","","","F","F","","","","","","
","","","","","","","F","","","",0,1,"20210202172859","","SLIMP_I","",""
"DW","Logistix Data Warehouse","DW","LS","F","F","COMM","","","","","","F","","","","","*","+","
","","","","","","","T","","","",0,1,"20210202172859","","SLIMP_I","",""
"EMS","Event Management System-EMS","EMS","LES","T","F","COMM","","","","","","F","","","","","*","+","
","","","","","","","T","","","",0,1,"20210202173949","","SLIMP_I","",""
"EXT_SYS","Generic External System","EXT_SYS","LES","T","F","","","","","","","F","T","","","","~","+","
","","","","","","","","","","",0,1,"20210202173951","","SLIMP_I","",""
"HOST","Generic Host System","HOST","LEGACY","F","F","SIFD","","","","","","F","T","","","","*","+","
","","","","","","","","","","",0,1,"20210202172859","","SLIMP_I","",""
"HOST_TEST_XML","Test system for testing XML to a file","HOST_TEST_XML","LEGACY","F","F","IFD","","","","","","F","T","","","","*","+","
","","","","","","","","MsgData","","",0,1,"20210202172859","","SLIMP_I","",""
"HUB","Hub Integrator","HUB","LS","F","F","IFD","","","","","","F","T","","","","*","+","
","","","","","","","T","","","",0,1,"20210202172859","","SLIMP_I","",""
"LENS","Logistics Execution Nervous System","LENS","LS","F","F","COMM","","","","","","T","T","","","","*","+","
","","","","","","","T","","","",0,1,"20210202172859","","SLIMP_I","",""
"LM","Host System For LM: handles internal events, documents only","LM","DLX","T","T","IFD","","","","","","F","","","","","","","
","","","","","","","T","MsgData","","",0,11,"20180727151415","20190502163021","SLIMP_I","938673",""
"RFH","RFH","RFH","RFH","T","F","COMM","","","","","","T","T","","","","","","
","","","","","","","F","","","",0,316,"20180815174802","20210125105228","939370","939370",""
"RPS","Retail Productivity Solutions","RPS","DLX","F","F","SIFD","","","","","","F","F","","","","*","+","
","","","","","","","F","","","",0,1,"20210202172859","","SLIMP_I","",""
"SCARD","Logistics Executive System","SCARD","LS","F","F","COMM","","","","","","F","T","","","","*","+"," ","","","","","","","T","","","",0,1,"20210202172859","","SLIMP_I","",""
"SEAMLES","SeamLES System","SEAMLES","SL_CONTROL","T","F","COMM","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171444","","SLIMP_I","",""
"SL_ACCUM","Accumulation System","SL_ACCUM","SL_CONTROL","T","F","COMM","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_DEST_FAIL","Destination System for successful inbound IFDs","SL_DEST_FAIL","SL_CONTROL","F","F","COMM","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_DEST_SUCC","Destination System for failed inbound IFDs","SL_DEST_SUCC","SL_CONTROL","F","F","COMM","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_DOC","Documentation Generation System For Producing Documentation in XML Format","SL_DOC","SL_CONTROL","T","F","IFD","","","","","","F","","","","","","","
","","","","","","","","Transaction","","MsgData",0,1,"20210202171446","","SLIMP_I","",""
"SL_TEST_DEST","Test Destination System","SL_TEST_DEST","SL_EXAMPLE","T","F","IFD","","","","","","F","","",""," ","*","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_TEST_DEST_SL2_USING_XML","Test destination system for SL-SL over XML","SL_TEST_DEST_SL2_USING_XML","SL_EXAMPLE","T","F","IFD","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_TEST_DEST_TABLE","Test system for table adapter","SL_TEST_DEST_TABLE","SL_EXAMPLE","T","F","IFD","","","","","","F","","","","","","","
","","","","","","","","","","",0,1,"20210202171446","","SLIMP_I","",""
"SL_TEST_DEST_XML_EMAIL","Test system for testing XML to email","SL_TEST_DEST_XML_EMAIL","SL_EXAMPLE","T","F","IFD","","","","","","F","","","","","","","
","","","","","","","","Transaction","","MsgData",0,1,"20210202171446","","SLIMP_I","",""
"SL_TEST_DEST_XML_FILE","Test system for testing XML to a file","SL_TEST_DEST_XML_FILE","SL_EXAMPLE","T","F","IFD","","","","","","F","","","","","","","
","","","","","","","","Transaction","","MsgData",0,1,"20210202171446","","SLIMP_I","",""
