sys_obj_typ,sys_obj_id,cust_lvl,cmnt,grp_nam,is_purged
"pol_are_id","#TOP-LEVEL-POLICY-AREA#",0,"System configuration policies.","mcs_policy",0
"graph_type","101",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of vertical columns. Series may be separated by an interval of SeriesSpacing column widths.","mcs_data",0
"graph_type","102",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of horizontal bars. Series may be separated by an interval of SeriesSpacing bar widths.","mcs_data",0
"graph_type","103",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new area. The data points delineating the top of the area region connect adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","104",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new line. The data points along the line graph are connected by line segments, and represent adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","105",0,"One numeric column identified by the ColumnIndex property. Each row represents one pie slice. The data values do not need to be percentages, as the sum of the data values in the column is used to calculate the percentage applicable to each row. Negative data values are treated as non-negative (by taking their absolute value) for this purpose.","mcs_data",0
"graph_type","106",0,"Three numeric columns identified by the Column X, Column Y and Column Z fields. The (x,y) coordinates affect where the bubble is plotted on the 2-dimensional grid, while the z-coordinate affects bubble radius. Each row represents a bubble, with the last row in the data set appearing foremost in the foreground.","mcs_data",0
"graph_type","107",0,"Two numeric columns identified by the Column X and Column Y fields. If the Connect With Lines property is true, then line segments connect the points identified by subsequent rows.","mcs_data",0
"graph_type","108",0,"At least two numeric columns (up to 255 columns are supported) and two rows. The minimal 2 x 2 data set is sufficient to define one low-quality heat map tile, where each data value represents the altitude of the tile at each of it's four corners.","mcs_data",0
"graph_type","109",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of vertical columns. Series appear at depth along the Z-axis.","mcs_data",0
"graph_type","110",0,"One or more numeric columns. If there are multiple rows, each row constitutes a 'series' or grouping of horizontal bars. Series appear at depth along the Z-axis.","mcs_data",0
"graph_type","111",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new area, rendered at depth along the Z-axis. The data points delineating the top of the area region connect adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","112",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new line, rendered at depth along the Z-axis. The data points along the line graph are connected by line segments, and represent adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","113",0,"At least two numeric columns (up to 255 columns are supported) and two rows. The minimal 2 x 2 data set is sufficient to define one low-quality heat map tile, where each data value represents the altitude of the tile at each of it's four corners.","mcs_data",0
"graph_type","114",0,"One numeric column identified by the ColumnIndex property. Each row represents one pie slice. The data values do not need to be percentages, as the sum of the data values in the column is used to calculate the percentage applicable to each row. Negative data values are treated as non-negative (by taking their absolute value) for this purpose.","mcs_data",0
"graph_type","115",0,"At least one DateTime column and five numeric columns. The five numeric columns must be named in order: 'Open', 'High', 'Low', 'Close', and 'Volume'. The content of the Volume column is only rendered when the VolumeVisible property is true (this property is false by default.)","mcs_data",0
"graph_type","116",0,"One or more non-negative numeric columns. All columns of the same row are 'stacked' into a horizontal bar. If there are multiple rows, each row constitutes a different stacked bar.","mcs_data",0
"graph_type","117",0,"One or more non-negative numeric columns. All columns of the same row are 'stacked' into a vertical column. If there are multiple rows, each row constitutes a different stacked column.","mcs_data",0
"graph_type","118",0,"One or more non-negative numeric columns. All columns of the same row are 'stacked' into a vertical column. If there are multiple rows, each row constitutes a different stacked column. This is only an extruded form of the 2-dimensional chart.","mcs_data",0
"graph_type","119",0,"One or more non-negative numeric columns. All columns of the same row are 'stacked' into a horizontal bar. If there are multiple rows, each row constitutes a different stacked bar. This is only an extruded form of the 2-dimensional chart.","mcs_data",0
"graph_type","120",0,"At least three numeric columns. If there are multiple rows, each row renders as a new set line connecting the data points on each spoke.","mcs_data",0
"graph_type","121",0,"One numeric column. Each row represents one doughnut sector. The data values do not need to be percentages, as the sum of the data values in the column is used to calculate the percentage applicable to each row. Negative data values are treated as non-negative (by taking their absolute value) for this purpose.","mcs_data",0
"graph_type","122",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new spline. The data points along the spline graph are fitted by Bezier curves, and represent adjacent columns within a given row (in the order they are projected.)","mcs_data",0
"graph_type","123",0,"One or more numeric columns. If there are multiple rows, each row constitutes a new area. The points along the top of the area region are fitted by Bezier curves connecting data points from adjacent columns within a given row (in the order they are projected.)","mcs_data",0
