colnam,colval,locale_id,cust_lvl,mls_text,short_dsc,grp_nam
"acttyp","D","DUTCH_HOLLAND",0,"Verwijderen","","mcsdata"
"acttyp","D","US_ENGLISH",0,"Delete","","mcsdata"
"acttyp","I","DUTCH_HOLLAND",0,"Invoegen","","mcsdata"
"acttyp","I","US_ENGLISH",0,"Insert","","mcsdata"
"acttyp","U","DUTCH_HOLLAND",0,"Bijwerken","","mcsdata"
"acttyp","U","US_ENGLISH",0,"Update","","mcsdata"
"cmp_opr","0","DUTCH_HOLLAND",0,"Standaard","","mcsdata"
"cmp_opr","0","US_ENGLISH",0,"Default","","mcsdata"
"cmp_opr","1","DUTCH_HOLLAND",0,"=","","mcsdata"
"cmp_opr","1","US_ENGLISH",0,"=","","mcsdata"
"cmp_opr","10","DUTCH_HOLLAND",0,"!=","","mcsdata"
"cmp_opr","10","US_ENGLISH",0,"!=","","mcsdata"
"cmp_opr","11","DUTCH_HOLLAND",0,"als","","mcsdata"
"cmp_opr","11","US_ENGLISH",0,"like","","mcsdata"
"cmp_opr","12","DUTCH_HOLLAND",0,"gewijzigd","","mcsdata"
"cmp_opr","12","US_ENGLISH",0,"changed","","mcsdata"
"cmp_opr","13","DUTCH_HOLLAND",0,"","","mcsdata"
"cmp_opr","13","US_ENGLISH",0,"","","mcsdata"
"cmp_opr","14","DUTCH_HOLLAND",0,"eval","","mcsdata"
"cmp_opr","14","US_ENGLISH",0,"eval","","mcsdata"
"cmp_opr","2","DUTCH_HOLLAND",0,">","","mcsdata"
"cmp_opr","2","US_ENGLISH",0,">","","mcsdata"
"cmp_opr","3","DUTCH_HOLLAND",0,">=","","mcsdata"
"cmp_opr","3","US_ENGLISH",0,">=","","mcsdata"
"cmp_opr","4","DUTCH_HOLLAND",0,"<","","mcsdata"
"cmp_opr","4","US_ENGLISH",0,"<","","mcsdata"
"cmp_opr","5","DUTCH_HOLLAND",0,"<=","","mcsdata"
"cmp_opr","5","US_ENGLISH",0,"<=","","mcsdata"
"cmp_opr","6","DUTCH_HOLLAND",0,"><","","mcsdata"
"cmp_opr","6","US_ENGLISH",0,"><","","mcsdata"
"cmp_opr","7","DUTCH_HOLLAND",0,">=<","","mcsdata"
"cmp_opr","7","US_ENGLISH",0,">=<","","mcsdata"
"cmp_opr","8","DUTCH_HOLLAND",0,"><=","","mcsdata"
"cmp_opr","8","US_ENGLISH",0,"><=","","mcsdata"
"cmp_opr","9","DUTCH_HOLLAND",0,">=<=","","mcsdata"
"cmp_opr","9","US_ENGLISH",0,">=<=","","mcsdata"
"comp_typ","C","DUTCH_HOLLAND",0,"Component","","mcs_data"
"comp_typ","C","US_ENGLISH",0,"Component","","mcs_data"
"comp_typ","E","DUTCH_HOLLAND",0,"Uitvoerbaar bestand","","mcs_data"
"comp_typ","E","US_ENGLISH",0,"Executable","","mcs_data"
"comp_typ","F","DUTCH_HOLLAND",0,"Formulier","","mcs_data"
"comp_typ","F","US_ENGLISH",0,"Form","","mcs_data"
"comp_typ","H","DUTCH_HOLLAND",0,"Help-bestand","","mcs_data"
"comp_typ","H","US_ENGLISH",0,"Help File","","mcs_data"
"comp_typ","I","DUTCH_HOLLAND",0,"Pictogrambestand","","mcs_data"
"comp_typ","I","US_ENGLISH",0,"Icon File","","mcs_data"
"comp_typ","M","DUTCH_HOLLAND",0,".NET-kerncomponent","","mcs_data"
"comp_typ","M","US_ENGLISH",0,".NET Core Component","","mcs_data"
"comp_typ","N","DUTCH_HOLLAND",0,".NET-component","","mcs_data"
"comp_typ","N","US_ENGLISH",0,".NET Component","","mcs_data"
"comp_typ","R","DUTCH_HOLLAND",0,"Hulpbronbestand","","mcs_data"
"comp_typ","R","US_ENGLISH",0,"Resource File","","mcs_data"
"comp_typ","W","DUTCH_HOLLAND",0,".NET-formulier","","mcs_data"
"comp_typ","W","US_ENGLISH",0,".NET Form","","mcs_data"
"dda_id","ADR_QUE_BT","DUTCH_HOLLAND",0,"Adresweergave","","dcs_service"
"dda_id","ADR_QUE_BT","US_ENGLISH",0,"Address Display","","dcs_service"
"dda_id","ADR_QUE_DEF","DUTCH_HOLLAND",0,"Adresweergave","","dcs_service"
"dda_id","ADR_QUE_DEF","US_ENGLISH",0,"Address Display","","dcs_service"
"dda_id","ADR_QUE_RT","DUTCH_HOLLAND",0,"Adresweergave","","dcs_service"
"dda_id","ADR_QUE_RT","US_ENGLISH",0,"Address Display","","dcs_service"
"dda_id","ADR_QUE_ST","DUTCH_HOLLAND",0,"Adresweergave","","dcs_service"
"dda_id","ADR_QUE_ST","US_ENGLISH",0,"Address Display","","dcs_service"
"dda_id","ALCASSETGRPMNT","DUTCH_HOLLAND",0,"Onderhoud verwerkingseenheidsgroep voor toewijzing","","dcs_data"
"dda_id","ALCASSETGRPMNT","US_ENGLISH",0,"Allocation Handling Unit Group Maintenance","","dcs_data"
"dda_id","ALCASSETGRPMNT-CHANGE","DUTCH_HOLLAND",0,"Verwerkingseenheidgroep toewijzing wijzigen","","dcs_data"
"dda_id","ALCASSETGRPMNT-CHANGE","US_ENGLISH",0,"Change Allocation Handling Unit Group","","dcs_data"
"dda_id","ALCASSETGRPMNT-CREATE","DUTCH_HOLLAND",0,"Verwerkingseenheidgroep toewijzing maken","","dcs_data"
"dda_id","ALCASSETGRPMNT-CREATE","US_ENGLISH",0,"Create Allocation Handling Unit Group","","dcs_data"
"dda_id","ALCASSETGRPMNT-REMOVE","DUTCH_HOLLAND",0,"Verwerkingseenheidgroep toewijzing verwijderen","","dcs_data"
"dda_id","ALCASSETGRPMNT-REMOVE","US_ENGLISH",0,"Remove Allocation Handling Unit Group","","dcs_data"
"dda_id","ALCASSETTYPES","DUTCH_HOLLAND",0,"Typen verwerkingseenheden","","dcs_data"
