numcod,prefix,prelen,prlflg,lstseq,seqlen,suffix,suflen,btsflg,seqflg,grp_nam,rowid
"adr_id",""A"",1,0,0,10,"",0,0,0,"","8CE9D9A4-193B-4C99-AC7C-FA0323BB14DA"
"aisle_dckloc_id","",0,0,0,6,"",0,0,0,"","0A8F7731-2FF1-467B-B7AD-BA3F2F5D7384"
"alloc_rule_dtl_id","",0,0,0,10,"",0,0,0,"","277DB64B-ED87-4A62-8CB6-1FE1B137F83C"
"alloc_search_path_criteria_id","",0,0,0,5,"",0,0,0,"dcs_data","DC8061EB-1285-4FA2-A41B-D9D869A85D82"
"alloc_search_path_id","",0,0,0,5,"",0,0,0,"dcs_data","E3AA48E3-61CC-4788-BCF6-F91C78D4A433"
"alloc_search_path_rule_id","",0,0,0,5,"",0,0,0,"dcs_data","52BA65FD-13E0-40C6-9EEC-A4BF3F5EF7A6"
"alloc_stats_id","",0,0,0,12,"",0,1,0,"dcs_data","32EDECCA-2F1F-4776-BB1B-C75AC80F5528"
"appt_id",""APP"",3,0,0,10,"",0,0,0,"","62A89BB4-9A55-4213-8F55-02433805F8C4"
"arecod","",0,0,0,6,"",0,0,0,"","7CB1F9EB-B3D7-47AC-9B1C-E3BD62BFFB41"
"asset_id",""AST"",3,0,0,10,"",0,0,0,"","779647C0-18D3-4A4E-AB9E-96E3278BF0E6"
"async_group_id","",0,0,0,10,"",0,0,0,"dcs_data","CEC2C14E-39D2-4396-954B-AF3E047B9291"
"async_res_id","",0,0,0,10,"",0,0,0,"dcs_data","3E7933F7-A6A2-4AC8-B8EB-1859120E5EF8"
"aud_log_id","ALOG",4,0,0,12,"",0,1,0,"","75C00F3D-6C41-4351-B616-85397CB068B7"
"auto_alc_num",""ALC"",3,0,0,12,"",0,0,0,"","26A9F404-EEE1-484D-8F4A-71EDC227FF85"
"autoasn_rcverr_id","",0,0,0,6,"",0,0,0,"","197966C7-5CAF-4842-BB81-86F34625E010"
"batch_id","BATCH",5,0,0,12,"",0,0,0,"","08720024-D1BB-4123-8782-048D9AD6C951"
"blng_invc_num",""INV"",3,0,0,10,"",0,0,0,"","F7CF1F16-E3C2-4D12-BC94-0D1DCE90868A"
"blng_prd_id",""BP"",2,0,0,10,"",0,0,0,"","41D3638B-6697-4C42-BE69-602C1DCF1C92"
"blng_tran",""TR"",2,0,0,10,"",0,0,0,"","AF5F17D1-5045-4595-9B4E-D8440983F3EC"
"bomnum",""BOM"",3,0,0,10,"",0,0,0,"","3A9861C4-17B2-411C-A6B6-70273D16914E"
"btoaud_dtl_id",""ADTL"",4,0,0,12,"",0,0,0,"","BDC7769D-C5C4-4871-81A7-83B59734CBFE"
"btoaud_id",""AUD"",3,0,0,12,"",0,0,0,"","4035C475-0C0D-42D1-8DE3-8A6998CD1B4E"
"cal_id",""CAL"",3,0,0,7,"",0,0,0,"","84885355-4329-4E6D-B7EA-4B3D1334A7A0"
"cangrp",""CAN"",3,0,0,10,"",0,0,0,"","F29EB41D-32AC-4357-9C95-CE6A62918B4F"
"car_move_id",""LD"",2,0,0,10,"",0,0,0,"",""
"carmtx_id","",0,0,0,6,"",0,0,0,"","2E5912FA-9F8E-446A-AB70-08D0FE1798EC"
"cat_qty_cap_id","",0,0,0,10,"",0,0,0,"","9583DBBB-1052-41FF-896A-98538C9CCDCD"
"chrg_key",""CHR"",3,0,0,10,"",0,0,0,"","A5D33223-A7AB-46EE-8A87-3CD7F2409E9D"
"cmbcod",""CMB"",3,0,0,10,"",0,1,0,"","3763E66F-0FA0-4945-B1E2-7FE951FF82FE"
"cmd_config_id","CMDCFG",6,0,0,14,"",0,0,0,"dcs_data","416D6931-8B61-4459-BA16-3FE4FE080E77"
"cmpkey",""CK"",2,0,0,12,"",0,0,0,"","12640884-D6C3-4A36-A937-0F0C29587C46"
"cnfrm_serv_id",""CS"",2,0,0,12,"",0,0,0,"","0E0F1FD1-529B-4F7D-A2D8-406816234DEE"
"cnt_id",""CID"",3,0,0,10,"",0,1,0,"dcs_data","577334B8-5FED-4E4F-8FAD-4731140064C9"
"cnt_tmpl_id",""CTID"",4,0,0,10,"",0,0,0,"dcs_data","107BDCE5-7B5A-41C4-840B-80D653949F5C"
"cnt_zone_id","",0,0,0,10,"",0,0,0,"","ABFCA404-9957-48D0-AEE0-EE282F276358"
"cntbat",""CNT"",3,0,0,10,"",0,0,0,"","9E359E11-0DC7-4FBE-B1B0-F52764068673"
"cntgrp",""G"",1,0,0,10,"",0,0,0,"","B5D5416F-0F26-4D5F-A021-0608FFB44CE9"
"cnthst_id",""CH"",2,0,0,10,"",0,1,0,"dcs_data","FD88C8F3-2F00-4542-A170-D448AE3C9E78"
"cntwav",""WAV"",3,0,0,10,"",0,0,0,"","03E15C2D-536A-4638-A17A-6F735953DE8B"
"cntwrk_seq","",0,0,0,10,"",0,0,1,"dcs_data","760E3338-CD87-4314-AD89-03F7CB87F442"
"concod",""C"",1,0,0,10,"",0,0,0,"","B294594C-D86C-4520-9B66-DB7C461177E0"
"cons_batch",""CNS"",3,0,0,10,"",0,0,0,"","6CC82905-83EA-415D-9746-E950756910CF"
"cri_id",""CRT"",3,0,0,9,"",0,0,0,"","34BAFAFB-4AE2-4920-9086-9174B28D5143"
"crtnid",""CTN"",3,0,0,10,"",0,0,0,"","3EE9EB62-C182-4577-8904-76687EA1E9CD"
"cstms_cnsgnmnt_id","",0,0,0,12,"",0,0,0,"dcs_data","42836073-14BF-4F1C-BBB0-6E2087FBF80A"
"cstms_ordtyp_id","",0,0,0,9,"",0,0,0,"dcs_data","DBF6FCE3-0B16-4EC6-9619-64EC29D17F56"
"ctn_select_cri_id","",0,0,0,10,"",0,0,0,"","F329344E-1080-4189-9BAC-254713EFB5D5"
"ctnnum",""CTN"",3,0,0,10,"",0,1,0,"","6B409DE6-1454-41D2-ADA7-50FF2E1A20EC"
"def_serv_id",""DSR"",3,0,0,12,"",0,0,0,"","02F9D13E-56D0-4B6D-81B5-9A334DEFA633"
"distro_devcod",""RF"",2,0,0,20,"",0,1,0,"dcs_data","4DB9F25F-AE56-4947-AD47-22D68AA8483E"
"distro_excp_id","DSEP",4,0,0,10,"",0,1,0,"dcs_data","71798E33-F2E4-470A-8B22-A54304C24E87"
"distro_id",""DS"",2,0,0,10,"",0,1,0,"dcs_data","850A03C7-4AAE-4464-A564-46295E55CED4"
"distro_typ_id",""DT"",2,0,0,10,"",0,1,0,"dcs_data","7AA3AF86-F8FF-45D8-A73D-9FA2BD1A83B5"
"dlv_rcv_invnum",""DRI"",3,0,0,12,"",0,0,0,"","2C8AE548-41E9-4113-B410-87CCD48236DD"
"dlytrn_id","",0,0,0,10,"",0,1,0,"","141B62F9-CA2B-4A82-B449-F230BB91C7C1"
"doc_num",""DOC"",3,0,0,10,"",0,0,0,"","03B9B0CD-F11E-4CC5-91E0-BDB6F569AD49"
