alloc_search_path_rule_id,alloc_search_path_id,bldg_id,srtseq,pck_mthd_id,pck_zone_id,lodlvl,uomcod,reg_uom,thresh_flg,cstms_bond_flg,dty_stmp_flg,alloc_grp_nam,loc_cap_pck_pct,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
"10000","10000","B1",1,10001,10003,"","","",0,0,0,"",0,"20181026093538","20181026093538","940028","940028",0
"10001","10002","B1",1,10000,10003,"L","","",0,0,0,"FIFO",0,"20200515132649","20230804134436","938673","938673",0
"10002","10002","B1",7,10001,10003,"S","","",0,0,0,"FIFO",0,"20200515132649","20230503222753","938673","938673",0
"10003","10002","B1",2,10000,10004,"L","","",0,0,0,"FIFO",0,"20221110182923","20221110182923","939370","939370",0
"10004","10002","B1",3,10000,10005,"L","","",0,0,0,"FIFO",0,"20221110182942","20221110182942","939370","939370",0
"10005","10002","B1",4,10000,10006,"L","","",0,0,0,"FIFO",0,"20221110182942","20221110182942","939370","939370",0
"10006","10002","B1",8,10001,10004,"S","","",0,0,0,"FIFO",0,"20221110183007","20230503222753","939370","938673",0
"10007","10002","B1",9,10001,10005,"S","","",0,0,0,"FIFO",0,"20221110183007","20230503222753","939370","938673",0
"10008","10002","B1",10,10001,10006,"S","","",0,0,0,"FIFO",0,"20221110183007","20230503222753","939370","938673",0
"10009","10002","B1",5,10000,10007,"L","","",0,0,0,"FIFO",0,"20230130121438","20230130121438","939370","939370",0
"10010","10002","B1",11,10001,10007,"S","","",0,0,0,"FIFO",0,"20230130121452","20230503222753","939370","938673",0
"10011","10004","B1",1,10007,10003,"L","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10012","10004","B1",2,10008,10003,"S","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10013","10004","B1",3,10007,10004,"L","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10014","10004","B1",5,10008,10005,"L","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10015","10004","B1",7,10007,10006,"L","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10016","10004","B1",4,10008,10004,"S","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10017","10004","B1",6,10007,10005,"S","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10018","10004","B1",8,10008,10006,"S","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10019","10004","B1",9,10007,10007,"L","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10020","10004","B1",10,10008,10007,"S","","",0,0,0,"FIFO",0,"20230419000000","20230503223021","938673","938673",0
"10021","10002","B1",6,10000,10008,"L","","",0,0,0,"FIFO",0,"20230504141821","20230504141821","939370","939370",0
"10022","10002","B1",12,10001,10008,"S","","",0,0,0,"FIFO",0,"20230504141928","20230504141928","939370","939370",0
"10023","10004","B1",11,10007,10008,"L","","",0,0,0,"FIFO",0,"20230519164037","20230519164037","939370","939370",0
"10024","10004","B1",12,10008,10008,"S","","",0,0,0,"FIFO",0,"20230519164037","20230519164037","939370","939370",0
"10025","10004","B1",13,10007,10009,"L","","",0,0,0,"FIFO",0,"20231020163811","20231020163811","939370","939370",0
"10026","10004","B1",14,10008,10009,"S","","",0,0,0,"FIFO",0,"20231020163811","20231020163811","939370","939370",0
"10027","10002","B1",13,10000,10009,"L","","",0,0,0,"FIFO",0,"20231020163918","20231020163918","939370","939370",0
"10028","10002","B1",14,10001,10009,"S","","",0,0,0,"FIFO",0,"20231020163918","20231020163918","939370","939370",0
