arecod,wh_id,bldg_id,lost_loc,logic_flg,u_version,moddte,mod_usr_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,bu_id,is_purged
"ADJS","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"CADJ","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"COA","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"COC","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"COD","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"COW","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"DADJ","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"DKIT","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"DSPCH","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"EXPR","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"H007","1","B1","",0,1,"20190403140704","940028","20190403140704","20190403140704","940028","940028","",0
"H009","1","B1","",0,1,"20190403140711","940028","20190403140711","20190403140711","940028","940028","",0
"H011","1","B1","",0,1,"20190306112206","940028","20190306112206","20190306112206","940028","940028","",0
"H013","1","B1","",0,1,"20190403140723","940028","20190403140723","20190403140723","940028","940028","",0
"H019","1","B1","",0,1,"20190403160756","940028","20190403160756","20190403160756","940028","940028","",0
"H023","1","B1","",0,1,"20190403140733","940028","20190403140733","20190403140733","940028","940028","",0
"H029","1","B1","",0,1,"20190403140745","940028","20190403140745","20190403140745","940028","940028","",0
"H035","1","B1","",0,1,"20190403140756","940028","20190403140756","20190403140756","940028","940028","",0
"H039","1","B1","",0,1,"20190403140808","940028","20190403140808","20190403140808","940028","940028","",0
"H048","1","B1","",0,1,"20190306112149","940028","20190306112149","20190306112149","940028","940028","",0
"H135","1","B1","",0,1,"20181024124846","940028","20181024124846","20181024124846","940028","940028","",0
"H138","1","B1","",0,1,"20190409085127","940028","20190409085127","20190409085127","940028","940028","",0
"H144","1","B1","",0,1,"20190403140858","940028","20190403140858","20190403140858","940028","940028","",0
"H157","1","B1","",0,1,"20190403140916","940028","20190403140916","20190403140916","940028","940028","",0
"H244","1","B1","",0,1,"20221108143228","939370","20221108143228","20221108143228","939370","939370","",0
"H245","1","B1","",0,1,"20221108142832","939370","20221108142832","20221108142832","939370","939370","",0
"H246","1","B1","",0,1,"20190403140925","940028","20190403140925","20190403140925","940028","940028","",0
"H248","1","B1","",0,1,"20190306112227","940028","20190306112227","20190306112227","940028","940028","",0
"H255","1","B1","",0,1,"20231016132854","939370","20231016132854","20231016132854","939370","939370","",0
"H267","1","B1","",0,1,"20190403140947","940028","20190403140947","20190403140947","940028","940028","",0
"L201","1","B1","",0,1,"20200703105524","939370","20200703105524","20200703105524","939370","939370","",0
"RDTS000001","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"RDTS000002","1","B1","",1,1,"20210203112306","SUPER","20210203112306","20210203112306","SUPER","SUPER","",0
"SACO","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"SADJ","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"SHIP","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"STOTRLR","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"SXFR","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"WB","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"WEXP","1","B1","",1,1,"20181023123940","SUPER","20181023123940","20181023123940","SUPER","SUPER","",0
"WEXP-H135","1","B1","",1,1,"20230321000000","938673","20230321000000","20230321000000","938673","938673","",0
"WRKS","1","B1","",1,1,"20181023123941","SUPER","20181023123941","20181023123941","SUPER","SUPER","",0
"X244","1","B1","",0,1,"20221108143228","939370","20221108143228","20221108143228","939370","939370","",0
"XDCK","1","B1","",0,1,"20181023123941","SUPER","20181023123941","20181023123941","SUPER","SUPER","",0
"XDDR","1","B1","",1,1,"20181023123941","SUPER","20181023123941","20181023123941","SUPER","SUPER","",0
"Z","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
"ZC","1","B1","",0,1,"20230606161415","939370","20230606161415","20230606161415","939370","939370","",0
