def_serv_id,wh_id,def_serv_cod,client_id,carcod,prtnum,prt_client_id,invsts,invtyp,supnum,cstnum,csttyp,ordnum,ordtyp,ordlin,ordsln,dst_mov_zone_id,srvlvl,serv_id,serv_rate_id,serv_req_flg,trlr_typ,vehtyp,rate_serv_nam,adr_id,stop_act_typ,comcod,untcst,usr_id,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,trlr_cod,crncy_code,bomnum,bomlin,wkonum,wkorev,wkolin,hrcy_level1,hrcy_level2,hrcy_level3,hrcy_level4,hrcy_level5,hrcy_level6,hrcy_level7,prt_class_name
"DSR000000003","1","WH","","","","","","","","","","","","","",0,"","USR-PRINT-PACKSLIP","ALL",0,"","","","","","",0.0,"","20200715110446","943378",0,"","","","","","","","","","","","","","","","","","",""
"DSR000000006","1","WH","","","","","","","","","","","","","",0,"","USR-PRINT-WO","ALL",0,"","","","","","",0.0,"","20230414111439","938673",0,"","","","","","","","","","","","","","","","","","",""
"DSR000000007","1","WKO","RFH","","","","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0.0,"","20230713161922","938673",0,"","","","","","","","","WOSW325","REV1","","","","","","","","",""
"DSR000000011","1","ORDNUMLIN","RFH","","","","","","","","","ORDSW328","","0001","0000",0,"","USR-VAS_PICK_CNFRM","ALL",0,"","","","","","",0,"","20230421114022","slDownload_0",0,"","","","","","","","","","","","","","","","","","",""
"DSR000000012","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230425235621","slDownload_0",0,"","","","","","","","","WOSW329","Rev1","0001","","","","","","","",""
"DSR000000014","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230425235732","slDownload_0",0,"","","","","","","","","WOSW330","Rev1","0001","","","","","","","",""
"DSR000000016","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230425235753","slDownload_0",0,"","","","","","","","","WOSW331","Rev1","0001","","","","","","","",""
"DSR000000018","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230425235803","slDownload_0",0,"","","","","","","","","WOSW332","Rev1","0001","","","","","","","",""
"DSR000000020","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426000715","slDownload_0",0,"","","","","","","","","WOSW333","Rev1","0001","","","","","","","",""
"DSR000000022","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426002336","slDownload_0",0,"","","","","","","","","WOSW334","Rev1","0001","","","","","","","",""
"DSR000000024","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426113532","slDownload_0",0,"","","","","","","","","WOSW341","Rev1","0001","","","","","","","",""
"DSR000000026","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426134230","slDownload_0",0,"","","","","","","","","WOSW342","Rev1","0001","","","","","","","",""
"DSR000000028","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426134230","slDownload_0",0,"","","","","","","","","WOSW343","Rev1","0001","","","","","","","",""
"DSR000000030","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426135638","slDownload_0",0,"","","","","","","","","WOSW344","Rev1","0001","","","","","","","",""
"DSR000000032","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426142252","slDownload_0",0,"","","","","","","","","WOSW345","Rev1","0001","","","","","","","",""
"DSR000000034","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426142333","slDownload_0",0,"","","","","","","","","WOSW346","Rev1","0001","","","","","","","",""
"DSR000000036","1","WKODTL","RFH","","","RFH","","","","","","","","","",0,"","USR-WO_VAS_INV_ONLY","ALL",0,"","","","","","",0,"","20230426142353","slDownload_0",0,"","","","","","","","","WOSW347","Rev1","0001","","","","","","","",""
