devcod,wh_id,devcls,devnam,voc_term_id,prtadr,lst_usr_id,lbl_prtadr,rfid_prtadr,locale_id,wko_prcloc,touchscreen_flg,pko_mov_zone_id,spl_hand_loc,moddte,mod_usr_id,u_version,scanner_ser_dev_id,scale_comm_cmd,scale_comm_addr,scale_comm_port,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cons_at_pack_station_flg,manifest_carton_flg
"MSR","1","W","MSR","","","938673","","","","",0,0,"","20230414111658","938673",3,"","","","","20221115154629","20230414111658","938673","938673",0,0
"RDT001","1","R","RDT001","","ZEBRA","938673","ZEBRA","","US_ENGLISH","",0,0,"","20221115162251","938673",3,"","","","","20221109104315","20221115162251","938673","938673",0,0
"RDT002","1","R","RDT002","","","938673","","","US_ENGLISH","",0,0,"","20221116125440","938673",6,"","","","","20221115171645","20221116125440","938673","938673",0,0
"RDT003","1","R","RDT003","","","","","","US_ENGLISH","",0,0,"","20221116125450","938673",5,"","","","","20221115171714","20221116125450","938673","938673",0,0
"RDTMOB","1","R","RDTMOB","","","938673","","","US_ENGLISH","",0,0,"","20230424082200","938673",1,"","","","","20230424082200","20230424082200","938673","938673",0,0
"WS001","1","W","WORKSTATION 01","","","","","","","H135-902-01",0,10041,"","20230414111716","938673",9,"","","","","20230331000000","20230414111716","938673","938673",0,0
"WS002","1","W","WORKSTATION 02","","LASER","938673","ZEBRA","","","H135-902-02",0,10041,"","20230526132200","938673",16,"","","","","20230331000000","20230526132200","938673","938673",0,0
"WS003","1","W","WORKSTATION 03","","","","","","","H135-902-03",0,10041,"","20230510112833","938673",18,"","","","","20230331000000","20230510112833","938673","938673",0,0
"WS004","1","W","WORKSTATION 04","","","","","","","H135-902-04",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS005","1","W","WORKSTATION 05","","","","","","","H135-902-05",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS006","1","W","WORKSTATION 06","","","","","","","H135-902-06",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS007","1","W","WORKSTATION 07","","","","","","","H135-902-07",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS008","1","W","WORKSTATION 08","","","","","","","H135-902-08",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS009","1","W","WORKSTATION 09","","","","","","","H135-902-09",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
"WS010","1","W","WORKSTATION 10","","","","","","","H135-902-10",0,10041,"","20230331000000","938673",7,"","","","","20230331000000","20230331000000","938673","938673",0,0
