pck_zone_id,pck_zone_cod,bldg_id,wh_id,atecod,ctngrp,dtlflg,subflg,lodflg,pck_steal_flg,start_pal_flg,pipflg,err_loc_invsts_flg,rf_pcklst_dsp,rf_suppress_qty,mix_lotsts_alloc_flg,sum_count_bck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,grp_pck,validation_size,maxpck,loc_count_back_flg,is_purged
10000,"STOTRLR","B1","1","D","",0,0,0,1,0,0,0,0,0,1,0,"20181023123941","20181023123941","SUPER","SUPER",0,0,0,0,0
10001,"XDDR","B1","1","D","",1,1,1,1,0,0,0,0,0,1,0,"20181023123941","20181023123941","SUPER","SUPER",0,0,0,0,0
10002,"XDCK","B1","1","D","",1,1,1,1,0,0,0,0,0,1,0,"20181023123941","20181023123941","SUPER","SUPER",0,0,0,0,0
10003,"H135-P-01","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20181024143116","20181024143116","940028","940028",0,0,0,0,0
10004,"H244-P-01","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20221108185427","20221108185427","939370","939370",0,0,0,0,0
10005,"X244-P-01","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20221108185427","20221108185427","939370","939370",0,0,0,0,0
10006,"H245-P-01","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20221108185427","20221108185427","939370","939370",0,0,0,0,0
10007,"H135-P-02","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20230130115255","20230130115255","939370","939370",0,0,0,0,0
10008,"H245-P-02","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20230503172841","20230503172841","939370","939370",0,0,0,0,0
10009,"H255-P-01","B1","1","D","",0,1,1,0,0,0,0,0,0,0,0,"20231016132938","20231016132938","939370","939370",0,0,0,0,0
