pcklst_rule_id,pcklst_rule_name,wh_id,client_id,re_list_flg,allow_split_flg,list_typ,one_pass_only,assign_slot_flg,asset_typ,valid_flg,cnf_mtused_prt,cmdtxt,opr_cod,pick_ord_by,max_start_picks,drop_at_wrkzone_change,frc_pickup_prev,rsm_lst_pck_prev_opr,cmb_list_flg,prevent_pck_cons,pick_to_lvl,wa_fit_cri,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,max_assets,is_purged
1,"AMR_H135-01_ZONE_PICK_LIST_RULE","1","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20200318152851","20220328123713","939370","939370",1,0
2,"TROLLEY_1S_H135-01_ZONE","1","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20211209145942","20230609113224","939370","938673",1,0
3,"SHELVE_120CM_H135-01_ZONE","1","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20211209161254","20230609114119","939370","938673",1,0
5,"AMR_WO_H135_PICK_LIST_RULE","1","RFH",0,0,"WKO","B",0,"1",1,0,"create work","LPCKWKO","locmst.trvseq ASC,locmst.stoloc ASC,pckwrk_view.prt_client_id ASC,pckwrk_view.prtnum ASC,pckwrk_view.lotnum ASC",0,0,0,0,1,0,"L","","20230314101756","20230516131951","938673","938673",1,0
6,"AMR_H244_ZONE_PICK_LIST_RULE","1","RFH",0,0,"ORD","B",0,"1",0,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114105851","20221114105851","939370","939370",1,0
7,"SHELVE_120CM_H244_ZONE","1","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114112414","20230609114022","939370","938673",1,0
8,"TROLLEY_1S_H244_ZONE","1","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114112518","20230609112929","939370","938673",1,0
9,"AMR_H245_ZONE_PICK_LIST_RULE","1","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114113924","20221114113924","939370","939370",1,0
10,"SHELVE_120CM_H245_ZONE","1","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114114016","20230609113956","939370","938673",1,0
11,"TROLLEY_1S_H245_ZONE","1","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114114050","20230609112548","939370","938673",1,0
12,"AMR_X244_ZONE_PICK_LIST_RULE","1","RFH",0,0,"ORD","B",0,"",0,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20221114114307","20221114114307","939370","939370",1,0
13,"SHELVE_80CM_H135-01_ZONE","1","RFH",1,0,"ORD","B",0,"19-H800",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104164432","20230609113725","939370","938673",1,0
14,"SHELVE_60CM_H135-01_ZONE","1","RFH",1,0,"ORD","B",0,"19-H600",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104164540","20230609113917","939370","938673",1,0
15,"SHELVE_80CM_H244_ZONE","1","RFH",1,0,"ORD","B",0,"19-H800",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104164644","20230609113626","939370","938673",1,0
16,"SHELVE_60CM_H244_ZONE","1","RFH",1,0,"ORD","B",0,"19-H600",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104164742","20230609113816","939370","938673",1,0
17,"SHELVE_80CM_H245_ZONE","1","RFH",1,0,"ORD","B",0,"19-H800",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104164937","20230609113541","939370","938673",1,0
18,"SHELVE_60CM_H245_ZONE","1","RFH",1,0,"ORD","B",0,"19-H600",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104165101","20230609113751","939370","938673",1,0
19,"TROLLEY_2S_H135-01_ZONE","1","RFH",1,0,"ORD","B",1,"1-2S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20230104174222","20230609112139","939370","938673",1,0
