pcklst_rule_grp_id,pcklst_rule_grp_name,wh_id,client_id,ena_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
2,"TROLLEY_3S_H135_ZONE_GRP","1","RFH",0,"20230105183743","20230106172151","939370","939370",0
3,"TROLLEY_2S_H135_ZONE_GRP","1","RFH",0,"20230105163448","20230105163448","939370","939370",0
4,"TROLLEY_1S_H135_ZONE_GRP","1","RFH",0,"20230105163031","20230105163041","939370","939370",0
5,"TROLLEY_0S_H135_ZONE_GRP","1","RFH",0,"20230105184114","20230111180627","939370","939370",0
6,"TROLLEY_3S_H244_ZONE_GRP","1","RFH",0,"20230106121301","20230106121301","939370","939370",0
7,"TROLLEY_2S_H244_ZONE_GRP","1","RFH",0,"20230106121342","20230106121342","939370","939370",0
8,"TROLLEY_1S_H244_ZONE_GRP","1","RFH",0,"20230106121434","20230106122150","939370","939370",0
9,"TROLLEY_0S_H244_ZONE_GRP","1","RFH",0,"20230106121515","20230106121515","939370","939370",0
10,"TROLLEY_3S_H245_ZONE_GRP","1","RFH",0,"20230106121922","20230106121922","939370","939370",0
11,"TROLLEY_2S_H245_ZONE_GRP","1","RFH",0,"20230106122004","20230106122004","939370","939370",0
12,"TROLLEY_1S_H245_ZONE_GRP","1","RFH",0,"20230106122111","20230106122111","939370","939370",0
13,"TROLLEY_0S_H245_ZONE_GRP","1","RFH",0,"20230106122137","20230106122137","939370","939370",0
14,"TROLLEY_3S_H135-02_ZONE_GRP","1","RFH",0,"20230130162728","20230130162900","939370","939370",0
15,"TROLLEY_2S_H135-02_ZONE_GRP","1","RFH",0,"20230130162934","20230130162934","939370","939370",0
16,"TROLLEY_1S_H135-02_ZONE_GRP","1","RFH",0,"20230130163000","20230130163000","939370","939370",0
17,"TROLLEY_0S_H135-02_ZONE_GRP","1","RFH",0,"20230130163024","20230130163024","939370","939370",0
18,"GENERAL_RULES_ODDSIZE","1","RFH",1,"20230106122318","20230201150917","939370","939370",0
19,"GENERAL_H135-01_ZONE","1","RFH",1,"20230201145945","20230201145945","939370","939370",0
20,"GENERAL_H135-02_ZONE","1","RFH",1,"20230201150004","20230201150004","939370","939370",0
21,"GENERAL_H244_ZONE","1","RFH",1,"20230201150022","20230201150022","939370","939370",0
22,"GENERAL_H245_ZONE","1","RFH",1,"20230201150050","20230201150050","939370","939370",0
23,"GENERAL_WO_RULES","1","RFH",1,"20230314000000","20230314000000","938673","938673",0
24,"TROLLEY_3S_H245-02_ZONE_GRP","1","RFH",0,"20230519120817","20230519120817","939370","939370",0
25,"TROLLEY_2S_H245-02_ZONE_GRP","1","RFH",0,"20230519120848","20230519120848","939370","939370",0
26,"TROLLEY_1S_H245-02_ZONE_GRP","1","RFH",0,"20230519120937","20230519120937","939370","939370",0
27,"TROLLEY_0S_H245-02_ZONE_GRP","1","RFH",0,"20230519121014","20230519121014","939370","939370",0
28,"GENERAL_H245-02_ZONE","1","RFH",1,"20230519121054","20230519121103","939370","939370",0
30,"Z1-0S_GENERAL_H135-01_ZONE","1","RFH",0,"20230720111213","20230720111213","938673","938673",0
31,"Z1-0S_GENERAL_H135-02_ZONE","1","RFH",0,"20230720111404","20230720111404","938673","938673",0
32,"Z1-0S_GENERAL_H244_ZONE","1","RFH",0,"20230720111404","20230720111404","938673","938673",0
33,"Z1-0S_GENERAL_H245_ZONE","1","RFH",0,"20230720111404","20230720111404","938673","938673",0
34,"Z1-1S_GENERAL_H135-01_ZONE","1","RFH",0,"20230720111744","20230731152831","938673","938673",0
35,"Z1-1S_GENERAL_H135-02_ZONE","1","RFH",0,"20230720111744","20230720111744","938673","938673",0
36,"Z1-1S_GENERAL_H244_ZONE","1","RFH",0,"20230720111744","20230720111744","938673","938673",0
37,"Z1-1S_GENERAL_H245_ZONE","1","RFH",0,"20230720111744","20230720111744","938673","938673",0
38,"Z1-2S_GENERAL_H135-01_ZONE","1","RFH",0,"20230720111748","20230720111748","938673","938673",0
39,"Z1-2S_GENERAL_H135-02_ZONE","1","RFH",0,"20230720111748","20230720111748","938673","938673",0
40,"Z1-2S_GENERAL_H244_ZONE","1","RFH",0,"20230720111748","20230720111748","938673","938673",0
41,"Z1-2S_GENERAL_H245_ZONE","1","RFH",0,"20230720111748","20230720111748","938673","938673",0
42,"Z1-3S_GENERAL_H135-01_ZONE","1","RFH",0,"20230720111752","20230720111752","938673","938673",0
43,"Z1-3S_GENERAL_H135-02_ZONE","1","RFH",0,"20230720111752","20230720111752","938673","938673",0
44,"Z1-3S_GENERAL_H244_ZONE","1","RFH",0,"20230720111752","20230720111752","938673","938673",0
45,"Z1-3S_GENERAL_H245_ZONE","1","RFH",0,"20230720111752","20230720111752","938673","938673",0
46,"Z1-0S_GENERAL_H245-02_ZONE","1","RFH",0,"20230724103047","20230724103047","938673","938673",0
47,"Z1-1S_GENERAL_H245-02_ZONE","1","RFH",0,"20230724103053","20230724103053","938673","938673",0
48,"Z1-2S_GENERAL_H245-02_ZONE","1","RFH",0,"20230724103057","20230724103057","938673","938673",0
49,"Z1-3S_GENERAL_H245-02_ZONE","1","RFH",0,"20230724103100","20230724103100","938673","938673",0
50,"GENERAL_H255_ZONE","1","RFH",1,"20231023140030","20231124141010","939370","939370",0
51,"TROLLEY_3S_H255_ZONE_GRP","1","RFH",0,"20231023140153","20231023140153","939370","939370",0
52,"TROLLEY_2S_H255_ZONE_GRP","1","RFH",0,"20231023140230","20231023140230","939370","939370",0
53,"TROLLEY_1S_H255_ZONE_GRP","1","RFH",0,"20231023140302","20231023140302","939370","939370",0
54,"TROLLEY_0S_H255_ZONE_GRP","1","RFH",0,"20231023140330","20231023140330","939370","939370",0
55,"Z1-3S_GENERAL_H255_ZONE","1","RFH",0,"20231023140500","20231023140500","939370","939370",0
56,"Z1-2S_GENERAL_H255_ZONE","1","RFH",0,"20231023140523","20231023140523","939370","939370",0
57,"Z1-1S_GENERAL_H255_ZONE","1","RFH",0,"20231023140543","20231023140543","939370","939370",0
58,"Z1-0S_GENERAL_H255_ZONE","1","RFH",0,"20231023140605","20231023140605","939370","939370",0
