pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
1,1,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20200325164258","20200325164258","938673","938673",0
11,5,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230314101758","20230314101758","938673","938673",0
12,5,2,"OR","","","","","20230314101758","20230314101758","938673","938673",0
13,5,3,"","pck_zone","pck_zone_cod","=","H135-P-02","20230314101758","20230314101758","938673","938673",0
34,6,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20221114105854","20221114105854","939370","939370",0
60,9,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20221114113924","20221114113924","939370","939370",0
75,12,1,"","pck_zone","pck_zone_cod","=","X244-P-01","20221114114308","20221114114308","939370","939370",0
178,28,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230130161849","20230130161849","939370","939370",0
243,39,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516135807","20230516135807","939370","939370",0
244,40,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516135839","20230516135839","939370","939370",0
245,41,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140003","20230516140003","939370","939370",0
246,41,2,"AND","","","","","20230516140003","20230516140003","939370","939370",0
247,41,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H245-02_ZONE","20230516140003","20230516140003","939370","939370",0
267,43,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140141","20230516140141","939370","939370",0
268,43,2,"AND","","","","","20230516140141","20230516140141","939370","939370",0
269,43,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H245-02_ZONE","20230516140141","20230516140141","939370","939370",0
270,42,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140141","20230516140141","939370","939370",0
271,42,2,"AND","","","","","20230516140141","20230516140141","939370","939370",0
272,42,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H245-02_ZONE","20230516140141","20230516140141","939370","939370",0
278,44,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140217","20230516140217","939370","939370",0
279,44,2,"AND","","","","","20230516140217","20230516140217","939370","939370",0
280,44,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H245-02_ZONE","20230516140217","20230516140217","939370","939370",0
283,45,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140302","20230516140302","939370","939370",0
284,45,2,"AND","","","","","20230516140302","20230516140302","939370","939370",0
285,45,3,"","pcklst","pcklst_rule_id","=","41","20230516140302","20230516140302","939370","939370",0
286,46,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140335","20230516140335","939370","939370",0
287,46,2,"AND","","","","","20230516140335","20230516140335","939370","939370",0
288,46,3,"","pcklst","pcklst_rule_id","=","42","20230516140335","20230516140335","939370","939370",0
289,47,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230516140611","20230516140611","939370","939370",0
290,47,2,"AND","","","","","20230516140611","20230516140611","939370","939370",0
291,47,3,"","pcklst","pcklst_rule_id","=","43","20230516140611","20230516140611","939370","939370",0
292,47,4,"AND","","","","","20230627000000","20230627000000","938673","938673",0
293,47,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H245-02_ZONE","20230627000000","20230627000000","938673","938673",0
294,46,4,"AND","","","","","20230627000000","20230627000000","938673","938673",0
295,46,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H245-02_ZONE","20230627000000","20230627000000","938673","938673",0
296,45,4,"AND","","","","","20230627000000","20230627000000","938673","938673",0
297,45,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H245-02_ZONE","20230627000000","20230627000000","938673","938673",0
300,36,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230316134700","20230316134700","938673","938673",0
301,37,1,"","pck_zone","pck_zone_cod","=","X244-P-01","20230316135204","20230316135204","938673","938673",0
302,38,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230316135252","20230316135252","938673","938673",0
304,24,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609102346","20230609102346","938673","938673",0
305,24,2,"AND","","","","","20230609102346","20230609102346","938673","938673",0
306,24,3,"","pcklst","pcklst_rule_id","=","18","20230609102346","20230609102346","938673","938673",0
307,24,4,"AND","","","","","20230609102346","20230609102346","938673","938673",0
308,24,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H245_ZONE","20230609102346","20230609102346","938673","938673",0
309,22,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609102410","20230609102410","938673","938673",0
310,22,2,"AND","","","","","20230609102410","20230609102410","938673","938673",0
311,22,3,"","pcklst","pcklst_rule_id","=","16","20230609102410","20230609102410","938673","938673",0
312,22,4,"AND","","","","","20230609102410","20230609102410","938673","938673",0
