uc_delivery_id,wh_id,dst_mov_zone_id,seqnum,stoloc,uc_multi_drop,frstol,ins_dt,last_upd_dt,last_upd_user_id,is_purged
-1,"1",-1,1,"Z-002-01",1,"H135-001-01","20230612163941","20230612163941","939370",0
-1,"1",-1,2,"COA-002-01",1,"H135-001-03","20230612163941","20230612163941","939370",0
-1,"1",-1,3,"COC-002-01",1,"H135-001-04","20230612163941","20230612163941","939370",0
-1,"1",-1,4,"COD-002-01",1,"H135-001-05","20230612163941","20230612163941","939370",0
-1,"1",-1,5,"WB-002-01",1,"H135-001-06","20230612163941","20230612163941","939370",0
-1,"1",-1,6,"WB-002-01",1,"H135-001-07","20230612163941","20230612163941","939370",0
-1,"1",-1,7,"WB-002-01",1,"H135-001-08","20230612163941","20230612163941","939370",0
-1,"1",-1,8,"Z-002-01",1,"H135-001-09","20230612163941","20230612163941","939370",0
-1,"1",-1,9,"COA-002-01",1,"H245-002-001","20230612163941","20230612163941","939370",0
-1,"1",-1,10,"COA-002-01",1,"H245-002-003","20230612163941","20230612163941","939370",0
-1,"1",-1,11,"COA-002-01",1,"H245-002-004","20230612163941","20230612163941","939370",0
-1,"1",-1,12,"COA-002-01",1,"H245-002-005","20230612163941","20230612163941","939370",0
-1,"1",-1,13,"COA-002-01",1,"H245-002-006","20230612163941","20230612163941","939370",0
-1,"1",-1,14,"COA-002-01",1,"H245-002-009","20230612163941","20230612163941","939370",0
-1,"1",-1,15,"COA-002-01",1,"H245-002-010","20230612163941","20230612163941","939370",0
-1,"1",-1,16,"COA-002-01",1,"H245-002-011","20230612163941","20230612163941","939370",0
-1,"1",-1,17,"Z-002-01",1,"H245-002-012","20230612163941","20230612163941","939370",0
-1,"1",-1,18,"COA-002-01",1,"H245-002-013","20230612163941","20230612163941","939370",0
-1,"1",-1,19,"COA-002-01",1,"H245-002-015","20230612163941","20230612163941","939370",0
-1,"1",-1,20,"COA-002-01",1,"H245-002-016","20230612163941","20230612163941","939370",0
-1,"1",-1,21,"COA-002-01",1,"H245-002-017","20230612163941","20230612163941","939370",0
-1,"1",-1,22,"COA-002-01",1,"H245-002-018","20230612163941","20230612163941","939370",0
-1,"1",-1,23,"WB-002-01",1,"H245-002-021","20230612163941","20230612163941","939370",0
-1,"1",-1,24,"WB-002-01",1,"H245-002-022","20230612163941","20230612163941","939370",0
-1,"1",-1,25,"WB-002-01",1,"H245-002-023","20230612163941","20230612163941","939370",0
-1,"1",-1,26,"WB-002-01",1,"H245-002-025","20230612163941","20230612163941","939370",0
-1,"1",-1,27,"Z-002-01",1,"H245-002-026","20230612163941","20230612163941","939370",0
-1,"1",-1,28,"WB-002-01",1,"H245-002-027","20230612163941","20230612163941","939370",0
-1,"1",-1,29,"WB-002-01",1,"H245-002-028","20230612163941","20230612163941","939370",0
-1,"1",-1,30,"WB-002-01",1,"H245-002-029","20230612163941","20230612163941","939370",0
-1,"1",-1,31,"WB-002-01",1,"H245-002-030","20230612163941","20230612163941","939370",0
-1,"1",-1,32,"WB-002-01",1,"H245-002-033","20230612163941","20230612163941","939370",0
-1,"1",-1,33,"WB-002-01",1,"H245-002-034","20230612163941","20230612163941","939370",0
-1,"1",-1,34,"Z-002-01",1,"H245-002-035","20230612163941","20230612163941","939370",0
-1,"1",-1,35,"WB-002-01",1,"H245-002-036","20230612163941","20230612163941","939370",0
-1,"1",-1,36,"WB-002-01",1,"H245-002-037","20230612163941","20230612163941","939370",0
-1,"1",-1,37,"WB-002-01",1,"H245-002-038","20230612163941","20230612163941","939370",0
-1,"1",-1,38,"WB-002-01",1,"H245-002-039","20230612163941","20230612163941","939370",0
-1,"1",-1,39,"Z-002-01",1,"H245-002-040","20230612163941","20230612163941","939370",0
-1,"1",-1,40,"WB-002-01",1,"H245-002-041","20230612163941","20230612163941","939370",0
-1,"1",-1,41,"WB-002-01",1,"H245-002-042","20230612163941","20230612163941","939370",0
-1,"1",-1,42,"WB-002-01",1,"H245-002-044","20230612163941","20230612163941","939370",0
-1,"1",-1,43,"WB-002-01",1,"H245-002-045","20230612163941","20230612163941","939370",0
-1,"1",-1,44,"WB-002-01",1,"H245-002-046","20230612163941","20230612163941","939370",0
-1,"1",-1,45,"WB-002-01",1,"H245-002-047","20230612163941","20230612163941","939370",0
-1,"1",-1,46,"WB-002-01",1,"H245-002-048","20230612163941","20230612163941","939370",0
-1,"1",-1,47,"WB-002-01",1,"H245-002-049","20230612163941","20230612163941","939370",0
-1,"1",-1,48,"WB-002-01",1,"H245-002-050","20230612163941","20230612163941","939370",0
-1,"1",-1,49,"WB-002-01",1,"H245-002-051","20230612163941","20230612163941","939370",0
-1,"1",-1,50,"WB-002-01",1,"H245-002-052","20230612163941","20230612163941","939370",0
-1,"1",-1,51,"WB-002-01",1,"H245-002-053","20230612163941","20230612163941","939370",0
-1,"1",-1,52,"WB-002-01",1,"H245-002-054","20230612163941","20230612163941","939370",0
-1,"1",-1,53,"WB-002-01",1,"H245-002-057","20230612163941","20230612163941","939370",0
-1,"1",-1,54,"WB-002-01",1,"H245-002-058","20230612163941","20230612163941","939370",0
-1,"1",-1,55,"WB-002-01",1,"H245-002-059","20230612163941","20230612163941","939370",0
-1,"1",-1,56,"WB-002-01",1,"H245-002-060","20230612163941","20230612163941","939370",0
-1,"1",-1,57,"WB-002-01",1,"H245-002-061","20230612163941","20230612163941","939370",0
-1,"1",-1,58,"WB-002-01",1,"H245-002-062","20230612163941","20230612163941","939370",0
-1,"1",-1,59,"WB-002-01",1,"H245-002-063","20230612163941","20230612163941","939370",0
-1,"1",-1,60,"WB-002-01",1,"H245-002-064","20230612163941","20230612163941","939370",0
-1,"1",-1,61,"Z-002-01",1,"H245-002-065","20230612163941","20230612163941","939370",0
-1,"1",-1,62,"COC-002-01",1,"H245-002-068","20230612163941","20230612163941","939370",0
-1,"1",-1,63,"COC-002-01",1,"H245-002-069","20230612163941","20230612163941","939370",0
-1,"1",-1,64,"COC-002-01",1,"H245-002-070","20230612163941","20230612163941","939370",0
-1,"1",-1,65,"COC-002-01",1,"H245-002-071","20230612163941","20230612163941","939370",0
-1,"1",-1,66,"COC-002-01",1,"H245-002-072","20230612163941","20230612163941","939370",0
-1,"1",-1,67,"Z-002-01",1,"H245-002-073","20230612163941","20230612163941","939370",0
-1,"1",-1,68,"COC-002-01",1,"H245-002-074","20230612163941","20230612163941","939370",0
-1,"1",-1,69,"COC-002-01",1,"H245-002-075","20230612163941","20230612163941","939370",0
-1,"1",-1,70,"COC-002-01",1,"H245-002-076","20230612163941","20230612163941","939370",0
-1,"1",-1,71,"COC-002-01",1,"H245-002-079","20230612163941","20230612163941","939370",0
-1,"1",-1,72,"COC-002-01",1,"H245-002-080","20230612163941","20230612163941","939370",0
-1,"1",-1,73,"COC-002-01",1,"H245-002-081","20230612163941","20230612163941","939370",0
-1,"1",-1,74,"COC-002-01",1,"H245-002-082","20230612163941","20230612163941","939370",0
-1,"1",-1,75,"Z-002-01",1,"H245-002-083","20230612163941","20230612163941","939370",0
-1,"1",-1,76,"WB-002-01",1,"H245-002-084","20230612163941","20230612163941","939370",0
-1,"1",-1,77,"COC-002-01",1,"H245-002-085","20230612163941","20230612163941","939370",0
-1,"1",-1,78,"COC-002-01",1,"H245-002-086","20230612163941","20230612163941","939370",0
-1,"1",-1,79,"COC-002-01",1,"H245-002-087","20230612163941","20230612163941","939370",0
-1,"1",-1,80,"COC-002-01",1,"H245-002-088","20230612163941","20230612163941","939370",0
-1,"1",-1,81,"COC-002-01",1,"H245-002-089","20230612163941","20230612163941","939370",0
-1,"1",-1,82,"COC-002-01",1,"H245-002-092","20230612163941","20230612163941","939370",0
-1,"1",-1,83,"COC-002-01",1,"H245-002-093","20230612163941","20230612163941","939370",0
-1,"1",-1,84,"COC-002-01",1,"H245-002-094","20230612163941","20230612163941","939370",0
-1,"1",-1,85,"COC-002-01",1,"H245-002-095","20230612163941","20230612163941","939370",0
-1,"1",-1,86,"COC-002-01",1,"H245-002-096","20230612163941","20230612163941","939370",0
-1,"1",-1,87,"COC-002-01",1,"H245-002-099","20230612163941","20230612163941","939370",0
-1,"1",-1,88,"Z-002-01",1,"H245-002-101","20230612163941","20230612163941","939370",0
-1,"1",-1,89,"COD-002-01",1,"H245-002-102","20230612163941","20230612163941","939370",0
-1,"1",-1,90,"COD-002-01",1,"H245-002-104","20230612163941","20230612163941","939370",0
-1,"1",-1,91,"COD-002-01",1,"H245-002-105","20230612163941","20230612163941","939370",0
-1,"1",-1,92,"COD-002-01",1,"H245-002-106","20230612163941","20230612163941","939370",0
-1,"1",-1,93,"COD-002-01",1,"H245-002-107","20230612163941","20230612163941","939370",0
-1,"1",-1,94,"COD-002-01",1,"H245-002-108","20230612163941","20230612163941","939370",0
-1,"1",-1,95,"COD-002-01",1,"H245-002-109","20230612163941","20230612163941","939370",0
-1,"1",-1,96,"COD-002-01",1,"H245-002-110","20230612163941","20230612163941","939370",0
-1,"1",-1,97,"COD-002-01",1,"H245-002-111","20230612163941","20230612163941","939370",0
-1,"1",-1,98,"COD-002-01",1,"H245-002-112","20230612163941","20230612163941","939370",0
-1,"1",-1,99,"COD-002-01",1,"H245-002-113","20230612163941","20230612163941","939370",0
-1,"1",-1,100,"Z-002-01",1,"H245-002-114","20230612163941","20230612163941","939370",0
-1,"1",-1,101,"Z-002-01",1,"H245-002-115","20230612163941","20230612163941","939370",0
-1,"1",-1,102,"COD-002-01",1,"H245-002-117","20230612163941","20230612163941","939370",0
-1,"1",-1,103,"COD-002-01",1,"H245-002-118","20230612163941","20230612163941","939370",0
-1,"1",-1,104,"Z-002-01",1,"H245-002-119","20230612163941","20230612163941","939370",0
-1,"1",-1,105,"COD-002-01",1,"H245-002-120","20230612163941","20230612163941","939370",0
-1,"1",-1,106,"COD-002-01",1,"H245-002-121","20230612163941","20230612163941","939370",0
-1,"1",-1,107,"Z-002-01",1,"H245-002-122","20230612163941","20230612163941","939370",0
-1,"1",-1,108,"COD-002-01",1,"H245-002-123","20230612163941","20230612163941","939370",0
-1,"1",-1,109,"COD-002-01",1,"H245-002-124","20230612163941","20230612163941","939370",0
-1,"1",-1,110,"COD-002-01",1,"H245-002-125","20230612163941","20230612163941","939370",0
-1,"1",-1,111,"COD-002-01",1,"H245-002-126","20230612163941","20230612163941","939370",0
-1,"1",-1,112,"WB-002-01",1,"H245-002-129","20230612163941","20230612163941","939370",0
-1,"1",-1,113,"COD-002-01",1,"H245-002-130","20230612163941","20230612163941","939370",0
-1,"1",-1,114,"COD-002-01",1,"H245-002-131","20230612163941","20230612163941","939370",0
-1,"1",-1,115,"COD-002-01",1,"H245-002-132","20230612163941","20230612163941","939370",0
-1,"1",-1,116,"Z-002-01",1,"H245-002-133","20230612163941","20230612163941","939370",0
-1,"1",-1,119,"CO-A-002-01",1,"CO-A-002-01","20230613181352","20230613181352","939370",0
-1,"1",-1,120,"WB-002-01",1,"WB-002-01","20230613181352","20230613181352","939370",0
-1,"1",-1,121,"COC-002-01",1,"COC-002-01","20230613181352","20230613181352","939370",0
-1,"1",-1,122,"COD-002-01",1,"COD-002-01","20230613181352","20230613181352","939370",0
-1,"1",-1,123,"Z-002-01",1,"Z-002-01","20230613181352","20230613181352","939370",0
-1,"1",-1,124,"H245-006-01",1,"H245-006-01","20230613181352","20230613181352","939370",0
-1,"1",-1,125,"H138-006-01",1,"H138-006-01","20230613181352","20230613181352","939370",0
-1,"1",-1,127,"H135-003-001",1,"H135-003-001","20230627222016","20230627222016","939370",0
-1,"1",-1,128,"H138-006-01",1,"H138-003-01","20231208152054","20231208152054","939370",0
-1,"1",-1,129,"H138-006-01",1,"H138-003-02","20231208152054","20231208152054","939370",0
-1,"1",-1,130,"H138-006-01",1,"H138-003-03","20231208152054","20231208152054","939370",0
-1,"1",-1,131,"H138-006-01",1,"H138-003-04","20231208152054","20231208152054","939370",0
-1,"1",-1,132,"H138-006-01",1,"H138-003-05","20231208152054","20231208152054","939370",0
-1,"1",-1,133,"H138-006-01",1,"H138-003-06","20231208152054","20231208152054","939370",0
-1,"1",-1,134,"H138-006-01",1,"H138-003-07","20231208152054","20231208152054","939370",0
-1,"1",-1,135,"H138-006-01",1,"H138-003-08","20231208152054","20231208152054","939370",0
-1,"1",-1,136,"H138-006-01",1,"H138-003-09","20231208152054","20231208152054","939370",0
-1,"1",-1,137,"H138-006-01",1,"H138-003-10","20231208152054","20231208152054","939370",0
-1,"1",-1,138,"H244-003-01",1,"H244-001-001","20231208154009","20231208154009","939370",0
-1,"1",-1,139,"H244-003-01",1,"H244-001-002","20231208154009","20231208154009","939370",0
-1,"1",-1,140,"H244-003-01",1,"H244-001-003","20231208154009","20231208154009","939370",0
-1,"1",-1,141,"H244-003-01",1,"H244-001-004","20231208154009","20231208154009","939370",0
-1,"1",-1,142,"H244-003-01",1,"H244-001-005","20231208154009","20231208154009","939370",0
-1,"1",-1,143,"H244-003-01",1,"H244-001-006","20231208154009","20231208154009","939370",0
-1,"1",-1,144,"H244-003-01",1,"H244-001-007","20231208154009","20231208154009","939370",0
-1,"1",-1,145,"H244-003-01",1,"H244-001-010","20231208154009","20231208154009","939370",0
-1,"1",-1,146,"H244-003-01",1,"H244-001-011","20231208154009","20231208154009","939370",0
-1,"1",-1,147,"H244-003-01",1,"H244-001-012","20231208154009","20231208154009","939370",0
-1,"1",-1,148,"H244-003-01",1,"H244-001-013","20231208154009","20231208154009","939370",0
-1,"1",-1,149,"H244-003-01",1,"H244-001-014","20231208154009","20231208154009","939370",0
-1,"1",-1,150,"H244-003-01",1,"H244-001-015","20231208154009","20231208154009","939370",0
-1,"1",-1,151,"H244-003-01",1,"H244-001-008","20231208154039","20231208154039","939370",0
-1,"1",-1,152,"H244-003-01",1,"H244-001-009","20231208154039","20231208154039","939370",0
