lodnum,wh_id,stoloc,lodwgt,prmflg,unkflg,mvlflg,adddte,lstmov,lstdte,lstcod,lst_usr_id,loducc,uccdte,palpos,asset_typ,avg_unt_catch_qty,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,lodtag,lod_tagsts,lodhgt,bundled_flg,distro_palopn_flg,load_attr1_flg,load_attr2_flg,load_attr3_flg,load_attr4_flg,load_attr5_flg,no_loc_putaway,completed_receiving_date,est_time,lodlen,lodwdt,no_of_boxes,est_lodwgt,voc_chkdgt,uc_train_cls_flg,uc_train_id,uc_train_loc_seq,uc_train_seq
"040-1JR040","2","TRKJR040",0,0,0,1,"20211008150945","","","","slDownload_1","","","","1",0,1,"20211008150945","20211008150945","SLDOWNLOAD_1","SLDOWNLOAD_1","","",0,0,0,1,1,1,0,0,0,"",0,0,0,0,0,"",0,"",0,0
"80030871302200769111010124","2","A101-101-01",0,0,0,1,"20211008150847","20211013155802","20211013155802","FL_XFR","939161","","","","1",0,1,"20211008150847","20211008150847","939161","939161","","",0.0,0,0,1,1,1,0,0,0,"20211013155214",0,0,0,0,0,"",0,"TR00000001",1,1
"80030871302200769111010125","2","A101-101-03",0,0,0,1,"20211008150915","20211014103107","20211014103107","FL_XFR","939161","","","","1",0,1,"20211008150915","20211008150915","SLDOWNLOAD_0","SLDOWNLOAD_0","","",0.0,0,0,1,1,1,0,0,0,"20211013155322",0,0,0,0,0,"",0,"TR00000001",1,2
"80030871302200769111010129","2","A101-101-03",0,0,0,1,"20211014094407","20211014103107","20211014103107","FL_XFR","939161","","","","1",0,1,"20211014094407","20211014094407","939161","939161","","",0.0,0,0,1,0,0,0,0,0,"20211014102814",0,0,0,0,0,"",0,"TR00000002",1,1
"80030871302200769111010130","2","A101-101-03",0,0,0,1,"20211014094301","20211014103107","20211014103107","FL_XFR","939161","","","","1",0,1,"20211014094301","20211014094301","SLDOWNLOAD_1","SLDOWNLOAD_1","","",0.0,0,0,1,0,0,0,0,0,"20211014102852",0,0,0,0,0,"",0,"TR00000002",1,2
"80030871302200769111010131","2","A101-101-02",0,0,0,1,"20211014103656","20211014104712","20211014104712","FL_XFR","939161","","","","1",0,1,"20211014103656","20211014103656","SLDOWNLOAD_0","SLDOWNLOAD_0","","",0.0,0,0,1,0,0,0,0,0,"20211014103832",0,0,0,0,0,"",0,"TR00000003",1,1
"PERM-ADJ-LOD-2","2","PERM-ADJ-LOC",0,1,0,0,"20180730083433","","","","938673","","","","",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,"",0,0
"PERM-CNT-LOD-2","2","PERM-CNT-LOC",0,1,0,0,"20180730083433","","","","938673","","","","",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,"",0,0
"PERM-CRE-LOD-2","2","PERM-CRE-LOC",0,1,0,0,"20180730083433","","","","938673","","","","",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,"",0,0
"PERM-EXP-LOD-2","2","PERM-EXP-LOC",0,1,0,0,"20180730083433","","","","938673","","","","",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,"",0,0
