subnum,lodnum,subwgt,prmflg,phyflg,mvsflg,ctnflg,idmflg,distro_ctnopn_flg,wrkref,tagdev,adddte,lstmov,lstdte,lstcod,lst_usr_id,subucc,uccdte,subtag,sub_tagsts,asset_typ,est_subwgt,pck_sub_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"PERM-ADJ-SUB-2","PERM-ADJ-LOD-2",0.0,1,0,0,0,0,0,"","","20180730083433","","","","938673","","","","","",0,0,0,"","","",""
"PERM-CNT-SUB-2","PERM-CNT-LOD-2",0.0,1,0,0,0,0,0,"","","20180730083433","","","","938673","","","","","",0,0,0,"","","",""
"PERM-CRE-SUB-2","PERM-CRE-LOD-2",0.0,1,0,0,0,0,0,"","","20180730083433","","","","938673","","","","","",0,0,0,"","","",""
"PERM-EXP-SUB-2","PERM-EXP-LOD-2",0.0,1,0,0,0,0,0,"","","20180730083433","","","","938673","","","","","",0,0,0,"","","",""
"S00000000001","80030871302200769111010124",0,0,0,1,0,0,0,"","","20211008150847","","","WIN_JR","939161","","","","","",0,0,1,"20211008150847","20211008150847","939161","939161"
"S00000000002","80030871302200769111010125",0,0,0,1,0,0,0,"","","20211008150915","","","","slDownload_0","","","","","",0,0,1,"20211008150915","20211008150915","SLDOWNLOAD_0","SLDOWNLOAD_0"
"S00000000003","040-1JR040",0,0,0,1,0,0,0,"","","20211008150945","","","","slDownload_1","","","","","",0,0,1,"20211008150945","20211008150945","SLDOWNLOAD_1","SLDOWNLOAD_1"
"S00000000007","80030871302200769111010130",0,0,0,1,0,0,0,"","","20211014094301","","","","slDownload_1","","","","","",0,0,1,"20211014094301","20211014094301","SLDOWNLOAD_1","SLDOWNLOAD_1"
"S00000000008","80030871302200769111010129",0,0,0,1,0,0,0,"","","20211014094407","","","WIN_JR","939161","","","","","",0,0,1,"20211014094407","20211014094407","939161","939161"
"S00000000009","80030871302200769111010131",0,0,0,1,0,0,0,"","","20211014103656","","","","slDownload_0","","","","","",0,0,1,"20211014103656","20211014103656","SLDOWNLOAD_0","SLDOWNLOAD_0"
"WMD1-PERM-ADJ-SUB","WMD1-PERM-ADJ-LOD",0.0,1,0,0,0,0,0,"","","19990101000000","19990101000000","19990101000000","","","","","","","",0,0,0,"","","",""
"WMD1-PERM-CNT-SUB","WMD1-PERM-CNT-LOD",0.0,1,0,0,0,0,0,"","","19990101000000","19990101000000","19990101000000","","","","","","","",0,0,0,"","","",""
"WMD1-PERM-CRE-SUB","WMD1-PERM-CRE-LOD",0.0,1,0,0,0,0,0,"","","19990101000000","19990101000000","19990101000000","","","","","","","",0,0,0,"","","",""
