loc_typ_id,loc_typ,loc_typ_cat,wh_id,adjflg,autclr_prcare,def_rcv_invsts,bckfill_flg,dispatch_flg,dstr_flg,dstr_pck_ctn_flg,dstr_pck_pal_flg,dstr_sug_ctn_flg,dstr_sug_pal_flg,expflg,ftl_flg,fwiflg,lpn_mix_flg,mix_shprcv_flg,pck_to_sto_flg,pdflg,praflg,prd_stgflg,prod_flg,put_to_sto_flg,rcv_dck_flg,rcv_stgflg,rcvwo_non_fwiflg,rdtflg,share_loc_flg,shp_dck_flg,loc_ovrd_flg,shpflg,sigflg,stgflg,sto_trlr_flg,stoare_flg,wip_expflg,wip_supflg,wipflg,xdaflg,yrdflg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rem_lpn_flg,cap_cw_dep_flg
10000,"DAMG","STORAGE","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10001,"RDCK","DOCK","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10002,"SDCK","DOCK","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10003,"SRDCK","DOCK","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10004,"EXPR","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10005,"ADJS","LOGICAL","2",1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10006,"SACO","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10007,"SADJ","LOGICAL","2",1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10008,"DKIT","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10009,"SHIP","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10010,"DSPCH","LOGICAL","2",0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10011,"DISTR","PROC","2",0,0,"",0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10012,"STOTRLR","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10013,"WRKS","PROC","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10014,"XDCK","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"20180730083431","20180730083431","938673","938673",0,0
10015,"PND","PND","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181023123939","20181023123939","SUPER","SUPER",0,0
10016,"PROC","PROC","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10017,"PROD","PROD","2",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"20180730083431","20180730083431","938673","938673",0,0
10018,"PSTG","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10019,"RSTG","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20180730083431","20180919134754","938673","940028",0,0
10020,"SSTG","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10021,"SRSTG","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10022,"STO","STORAGE","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10023,"PTSSTO","STORAGE","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10024,"YARD","YARD","2",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"20180730083431","20180730083431","938673","938673",0,0
10025,"LOST","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10026,"WIPS","PROD","2",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10027,"RDTS","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10028,"PALBLD","PROC","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10029,"CONS","PROC","2",0,1,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10030,"XDDR","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"20180730083431","20180730083431","938673","938673",0,0
10031,"WEXP","LOGICAL","2",0,0,"",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10032,"OSTG","STAGING","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0
10033,"REXCP","STORAGE","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"20181031134413","20190121225335","939370","939370",0,0
10034,"SORT","PND","2",0,0,"",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20200703101909","20200703101909","939370","939370",0,0
10036,"DDEP","PND","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20201120134649","20201120134649","939161","939161",0,0
10037,"PDEL","PND","2",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20201120134649","20201120134649","939161","939161",0,0
10038,"PRESTO","PND","2",0,0,"",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20210520102253","20210520102253","939370","939370",0,0
