mov_zone_id,mov_zone_cod,wh_id,bldg_id,clr_dstloc_flg,split_trn,lbl_on_split,ovrpck_rpl_flg,cap_fill_flg,def_rplcfg_invsts,def_rplcfg_maxunt,def_rplcfg_minunt,def_rplcfg_pctflg,dyn_slot_flg,recalc_putaway,max_mhu_deposit,dstr_excp_loc,bto_kit_dep_flg,rcv_pltbld_flg,dstr_audit,auto_close_flg,prompt_for_part_distr,rdtflg,dyn_rplcfg_flg,auto_cancel_pick,mix_on_unlock_flg,alloc_max_uom_rpl_flg,autocls_ship_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,qty_ver_only_flg,pre_stage_flg,thresh_split_flg,rpl_split_disp_cas_flg
10000,"RDT-B1","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,1,1,0,0,0,0,"20180730083431","20180730083431","938673","938673",0,0,0,0
10001,"ADJS","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10002,"CADJ","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10003,"EXPR","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10004,"WEXP","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10005,"SACO","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10006,"SADJ","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10007,"SXFR","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10008,"DKIT","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10009,"DADJ","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10010,"DSPCH","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10011,"SHIP","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10012,"STOTRLR","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10013,"XDDR","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083433","20180730083433","938673","938673",0,0,0,0
10014,"XDCK","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083433","20180730083433","938673","938673",0,0,0,0
10015,"WRKS","2","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20180730083433","20180730083433","938673","938673",0,0,0,0
10016,"W104-M-01-I","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822153313","20180824143401","939370","940028",0,0,0,0
10017,"W104-M-01-U","2","B1",1,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822153621","20180911142426","940028","940028",0,0,0,0
10018,"W104-M-01-O","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822153729","20180822153729","940028","940028",0,0,0,0
10019,"W006-M-01-I","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822153919","20180827101617","940028","940028",0,0,0,0
10020,"W006-M-01-O","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822154016","20180822154016","940028","940028",0,0,0,0
10021,"W006-M-01-U","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20180822154152","20180822154152","940028","940028",0,0,0,0
10022,"W006-M-01-E","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20181107103917","20181219210025","940028","939370",0,0,0,0
10023,"W104-M-01-E","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20181107104139","20181219210047","940028","939370",0,0,0,0
10024,"W006-M-01-E001","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20181113083027","20181219210401","940028","939370",0,0,0,0
10025,"W104-M-01-E001","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20190107094419","20190107094442","940028","940028",0,0,0,0
10030,"L201-01-S","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20200703110126","20200703110335","939370","939370",0,0,0,0
10046,"PRESTO","2","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20210520163131","20210520171431","939370","939370",0,0,0,0
