pck_zone_id,pck_zone_cod,bldg_id,wh_id,atecod,ctngrp,dtlflg,subflg,lodflg,pck_steal_flg,start_pal_flg,pipflg,err_loc_invsts_flg,rf_pcklst_dsp,rf_suppress_qty,mix_lotsts_alloc_flg,sum_count_bck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,grp_pck,validation_size,maxpck,loc_count_back_flg
10000,"STOTRLR","B1","2","D","",0,0,0,1,0,0,0,0,0,1,0,"20180730083432","20180730083432","938673","938673",0,0,0,0
10001,"XDDR","B1","2","D","",1,1,1,1,0,0,0,0,0,1,0,"20180730083433","20180730083433","938673","938673",0,0,0,0
10002,"XDCK","B1","2","D","",1,1,1,1,0,0,0,0,0,1,0,"20180730083433","20180730083433","938673","938673",0,0,0,0
10003,"W104-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20180822162631","20200608104753","940028","939161",0,0,0,0
10004,"W006-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20180822162734","20200608104753","940028","939161",0,0,0,0
20001,"A104-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20201001144925","20201001144925","939370","939370",0,0,0,0
20002,"A101-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20210826100000","20210826100000","939161","939161",0,0,0,0
20003,"A102-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20210826100000","20210826100000","939161","939161",0,0,0,0
20004,"A001-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125151639","20220125151639","940788","940788",0,0,0,0
20005,"A002-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125151716","20220125151824","940788","940788",0,0,0,0
20006,"A004-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125151815","20220125151815","940788","940788",0,0,0,0
20007,"A005-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125151901","20220125151901","940788","940788",0,0,0,0
20008,"A006-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125151938","20220125151938","940788","940788",0,0,0,0
20009,"A007-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125152031","20220125152031","940788","940788",0,0,0,0
20010,"A107-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220125152100","20220125152100","940788","940788",0,0,0,0
20011,"P010-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220511124022","20220511124022","939370","939370",0,0,0,0
20012,"P011-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220511124042","20220511124042","939370","939370",0,0,0,0
20013,"X011-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220511124058","20220511124058","939370","939370",0,0,0,0
20014,"P012-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220511124118","20220511124118","939370","939370",0,0,0,0
20015,"P013-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220511124137","20220511124137","939370","939370",0,0,0,0
20016,"P019-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220606132601","20220606132601","939370","939370",0,0,0,0
20017,"P019-P-02","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20220606132625","20220606132625","939370","939370",0,0,0,0
20018,"P017-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20230207143328","20230207143328","939370","939370",0,0,0,0
20019,"P018-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20230207143328","20230207143328","939370","939370",0,0,0,0
20020,"P020-P-01","B1","2","D","",0,1,1,0,0,0,0,0,0,0,0,"20230309153233","20230309153233","939370","939370",0,0,0,0
