pcklst_break_on_cri_id,pcklst_rule_id,break_on_function,break_on_field,max_weight,max_volume,max_pckuntqty,max_qty,volume_thr,max_add_pick_weight,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,min_volume,min_weight
1,1,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20200515132649","20200515132649","938673","938673",0,0
2,2,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20201002112217","20201002112217","939370","939370",0,0
3,3,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220201112217","20220201112217","940788","940788",0,0
4,8,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220523134052","20220523134052","939370","939370",0,0
5,11,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220523140610","20220523140610","939370","939370",0,0
6,14,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220523141300","20220523141300","939370","939370",0,0
7,17,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220523141633","20220523141633","939370","939370",0,0
8,21,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220601161948","20220601161948","939370","939370",0,0
9,22,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220601162202","20220601162202","939370","939370",0,0
10,23,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220606165946","20220606165946","939370","939370",0,0
11,26,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220606170257","20220606170257","939370","939370",0,0
12,35,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220913220731","20220913220731","939370","939370",0,0
14,98,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230208150254","20230208150254","939370","939370",0,0
15,99,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230208150329","20230208150329","939370","939370",0,0
16,114,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230320000000","20230320000000","938673","938673",0,0
17,122,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230320000000","20230320000000","938673","938673",0,0
18,130,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230320000000","20230320000000","938673","938673",0,0
19,138,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20230320000000","20230320000000","938673","938673",0,0
