pcklst_rule_grp_id,pcklst_rule_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
2,50,1,"20230111152751","20230111152751","939370","939370"
2,74,2,"20230111152751","20230111152751","939370","939370"
3,38,1,"20230111152845","20230111152845","939370","939370"
3,62,2,"20230111152845","20230111152845","939370","939370"
4,4,1,"20230111153403","20230111153403","939370","939370"
4,5,2,"20230111153403","20230111153403","939370","939370"
5,86,1,"20230111153434","20230111153434","939370","939370"
6,51,1,"20230111155712","20230111155712","939370","939370"
6,75,2,"20230111155712","20230111155712","939370","939370"
7,40,1,"20230111155820","20230111155820","939370","939370"
7,64,2,"20230111155820","20230111155820","939370","939370"
8,6,1,"20230111155939","20230111155939","939370","939370"
8,7,2,"20230111155939","20230111155939","939370","939370"
9,87,1,"20230111160027","20230111160027","939370","939370"
10,52,1,"20230111164212","20230111164212","939370","939370"
10,76,2,"20230111164212","20230111164212","939370","939370"
11,39,1,"20230111164317","20230111164317","939370","939370"
11,63,2,"20230111164317","20230111164317","939370","939370"
12,36,1,"20230111164545","20230111164545","939370","939370"
12,37,2,"20230111164545","20230111164545","939370","939370"
13,88,1,"20230111164626","20230111164626","939370","939370"
14,53,1,"20230111164730","20230111164730","939370","939370"
14,77,2,"20230111164730","20230111164730","939370","939370"
15,41,1,"20230111164830","20230111164830","939370","939370"
15,65,2,"20230111164830","20230111164830","939370","939370"
16,29,1,"20230111165054","20230111165054","939370","939370"
16,30,2,"20230111165054","20230111165054","939370","939370"
17,89,1,"20230111165124","20230111165124","939370","939370"
18,54,1,"20230111165354","20230111165354","939370","939370"
18,78,2,"20230111165354","20230111165354","939370","939370"
19,42,1,"20230111165428","20230111165428","939370","939370"
19,66,2,"20230111165428","20230111165428","939370","939370"
20,31,1,"20230111165459","20230111165459","939370","939370"
20,32,2,"20230111165459","20230111165459","939370","939370"
21,90,1,"20230111165529","20230111165529","939370","939370"
22,55,1,"20230111165850","20230111165850","939370","939370"
22,79,2,"20230111165850","20230111165850","939370","939370"
23,43,1,"20230111170043","20230111170043","939370","939370"
23,67,2,"20230111170043","20230111170043","939370","939370"
24,9,1,"20230111170113","20230111170113","939370","939370"
24,10,2,"20230111170113","20230111170113","939370","939370"
25,91,1,"20230111170149","20230111170149","939370","939370"
26,56,1,"20230111170655","20230111170655","939370","939370"
26,80,2,"20230111170655","20230111170655","939370","939370"
27,44,1,"20230111170736","20230111170736","939370","939370"
27,68,2,"20230111170736","20230111170736","939370","939370"
28,12,1,"20230111170802","20230111170802","939370","939370"
28,13,2,"20230111170802","20230111170802","939370","939370"
29,92,1,"20230111170832","20230111170832","939370","939370"
30,57,1,"20230111171048","20230111171048","939370","939370"
30,81,2,"20230111171048","20230111171048","939370","939370"
31,45,1,"20230111171220","20230111171220","939370","939370"
31,69,2,"20230111171220","20230111171220","939370","939370"
32,15,1,"20230111171305","20230111171305","939370","939370"
32,16,2,"20230111171305","20230111171305","939370","939370"
33,93,1,"20230111171356","20230111171356","939370","939370"
34,58,1,"20230111171436","20230111171436","939370","939370"
34,82,2,"20230111171436","20230111171436","939370","939370"
35,46,1,"20230111171522","20230111171522","939370","939370"
35,70,2,"20230111171522","20230111171522","939370","939370"
36,18,1,"20230111171559","20230111171559","939370","939370"
36,19,2,"20230111171559","20230111171559","939370","939370"
37,94,1,"20230111171630","20230111171630","939370","939370"
38,59,1,"20230111171718","20230111171718","939370","939370"
38,83,2,"20230111171718","20230111171718","939370","939370"
39,47,1,"20230111171750","20230111171750","939370","939370"
39,71,2,"20230111171750","20230111171750","939370","939370"
40,24,1,"20230111171828","20230111171828","939370","939370"
40,25,2,"20230111171828","20230111171828","939370","939370"
41,95,1,"20230111171903","20230111171903","939370","939370"
42,60,1,"20230111171937","20230111171937","939370","939370"
42,84,2,"20230111171937","20230111171937","939370","939370"
43,48,1,"20230111172011","20230111172011","939370","939370"
43,72,2,"20230111172011","20230111172011","939370","939370"
44,27,1,"20230111172045","20230111172045","939370","939370"
44,28,2,"20230111172045","20230111172045","939370","939370"
45,96,1,"20230111172124","20230111172124","939370","939370"
46,61,1,"20230111172206","20230111172206","939370","939370"
46,85,2,"20230111172206","20230111172206","939370","939370"
47,49,1,"20230111172249","20230111172249","939370","939370"
47,73,2,"20230111172249","20230111172249","939370","939370"
48,33,1,"20230111172331","20230111172331","939370","939370"
48,34,2,"20230111172331","20230111172331","939370","939370"
49,97,1,"20230111172423","20230111172423","939370","939370"
50,20,1,"20230111172635","20230202110550","939370","939370"
51,2,1,"20230202110759","20230202110759","939370","939370"
52,35,1,"20230202110841","20230202110841","939370","939370"
53,21,1,"20230202110913","20230202110913","939370","939370"
54,22,1,"20230202110939","20230202110939","939370","939370"
55,8,1,"20230202111004","20230202111004","939370","939370"
56,11,1,"20230202111106","20230202111106","939370","939370"
57,14,1,"20230202111124","20230202111124","939370","939370"
58,17,1,"20230202111142","20230202111142","939370","939370"
59,23,1,"20230202111220","20230202111220","939370","939370"
60,26,1,"20230202111247","20230202111247","939370","939370"
61,1,1,"20230202111321","20230202111321","939370","939370"
62,3,1,"20230202111345","20230202111345","939370","939370"
63,104,1,"20230210143511","20230210143511","939370","939370"
63,112,2,"20230210143511","20230210143511","939370","939370"
64,102,1,"20230210143556","20230210143556","939370","939370"
64,110,2,"20230210143556","20230210143556","939370","939370"
65,100,1,"20230210143646","20230210143646","939370","939370"
65,108,2,"20230210143646","20230210143646","939370","939370"
66,106,1,"20230210143722","20230210143722","939370","939370"
67,98,1,"20230210143755","20230210143755","939370","939370"
68,105,1,"20230210143847","20230210143847","939370","939370"
68,113,2,"20230210143847","20230210143847","939370","939370"
69,103,1,"20230210143921","20230210143921","939370","939370"
69,111,2,"20230210143921","20230210143921","939370","939370"
70,101,1,"20230210144015","20230210144015","939370","939370"
70,109,2,"20230210144015","20230210144015","939370","939370"
71,107,1,"20230210144043","20230210144043","939370","939370"
72,99,1,"20230210144136","20230210144136","939370","939370"
73,117,1,"20230220171105","20230220171105","939370","939370"
73,121,2,"20230220171105","20230220171105","939370","939370"
74,116,1,"20230220171135","20230220171135","939370","939370"
74,120,2,"20230220171135","20230220171135","939370","939370"
75,115,1,"20230220171201","20230220171201","939370","939370"
75,119,2,"20230220171201","20230220171201","939370","939370"
76,118,1,"20230220171232","20230220171232","939370","939370"
77,114,1,"20230220171320","20230220171320","939370","939370"
78,125,1,"20230220171356","20230220171356","939370","939370"
78,129,2,"20230220171356","20230220171356","939370","939370"
79,124,1,"20230220171423","20230220171423","939370","939370"
79,128,2,"20230220171423","20230220171423","939370","939370"
80,123,1,"20230220171501","20230220171501","939370","939370"
80,127,2,"20230220171501","20230220171501","939370","939370"
81,126,1,"20230220171528","20230220171528","939370","939370"
82,122,1,"20230220171550","20230220171550","939370","939370"
83,133,1,"20230220171654","20230220171654","939370","939370"
83,137,2,"20230220171654","20230220171654","939370","939370"
84,132,1,"20230220171740","20230220171740","939370","939370"
84,136,2,"20230220171740","20230220171740","939370","939370"
85,131,1,"20230220171810","20230220171810","939370","939370"
85,135,2,"20230220171810","20230220171810","939370","939370"
86,134,1,"20230220171858","20230220171858","939370","939370"
87,130,1,"20230220171918","20230220171918","939370","939370"
88,141,1,"20230220172031","20230220172031","939370","939370"
88,145,2,"20230220172031","20230220172031","939370","939370"
89,140,1,"20230220172103","20230220172103","939370","939370"
89,144,2,"20230220172103","20230220172103","939370","939370"
90,139,1,"20230220172128","20230220172128","939370","939370"
90,143,2,"20230220172128","20230220172128","939370","939370"
91,142,1,"20230220172152","20230220172152","939370","939370"
92,138,1,"20230220172226","20230220172226","939370","939370"
93,146,1,"20230720132222","20230720132222","938673","938673"
94,147,1,"20230720132222","20230720132222","938673","938673"
95,148,1,"20230720132222","20230720132222","938673","938673"
96,149,1,"20230720132222","20230720132222","938673","938673"
97,150,1,"20230720132222","20230720132222","938673","938673"
98,151,1,"20230720132222","20230720132222","938673","938673"
