pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
67,3,1,"","pck_zone","pck_zone_cod","=","A004-P-01","20220131165134","20220131165134","940788","940788"
776,32,1,"","pck_zone","pck_zone_cod","=","A107-P-01","20230607120832","20230607120832","938673","938673"
777,32,2,"AND","","","","","20230607120832","20230607120832","938673","938673"
778,32,3,"","pcklst","pcklst_rule_id","=","31","20230607120832","20230607120832","938673","938673"
779,32,4,"AND","","","","","20230607120832","20230607120832","938673","938673"
780,32,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_A107_ZONE","20230607120832","20230607120832","938673","938673"
781,31,1,"","pck_zone","pck_zone_cod","=","A107-P-01","20230607125200","20230607125200","938673","938673"
782,31,2,"AND","","","","","20230607125200","20230607125200","938673","938673"
783,31,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_A107_ZONE","20230607125200","20230607125200","938673","938673"
784,100,1,"","pck_zone","pck_zone_cod","=","P017-P-01","20230607164212","20230607164212","938673","938673"
785,100,2,"AND","","","","","20230607164212","20230607164212","938673","938673"
786,100,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_P017_ZONE","20230607164212","20230607164212","938673","938673"
787,108,1,"","pck_zone","pck_zone_cod","=","P017-P-01","20230607165258","20230607165258","938673","938673"
788,108,2,"AND","","","","","20230607165259","20230607165259","938673","938673"
789,108,3,"","pcklst","pcklst_rule_id","=","100","20230607165259","20230607165259","938673","938673"
790,108,4,"AND","","","","","20230607165259","20230607165259","938673","938673"
791,108,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_P017_ZONE","20230607165300","20230607165300","938673","938673"
792,109,1,"","pck_zone","pck_zone_cod","=","P018-P-01","20230607165637","20230607165637","938673","938673"
793,109,2,"AND","","","","","20230607165637","20230607165637","938673","938673"
794,109,3,"","pcklst","pcklst_rule_id","=","101","20230607165637","20230607165637","938673","938673"
795,109,4,"AND","","","","","20230607165637","20230607165637","938673","938673"
796,109,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_P018_ZONE","20230607165637","20230607165637","938673","938673"
797,101,1,"","pck_zone","pck_zone_cod","=","P018-P-01","20230607165731","20230607165731","938673","938673"
798,101,2,"AND","","","","","20230607165731","20230607165731","938673","938673"
799,101,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_P018_ZONE","20230607165731","20230607165731","938673","938673"
800,98,1,"","pck_zone","pck_zone_cod","=","P017-P-01","20230607170151","20230607170151","938673","938673"
801,99,1,"","pck_zone","pck_zone_cod","=","P018-P-01","20230607170214","20230607170214","938673","938673"
802,36,1,"(","","","","","20230607170405","20230607170405","938673","938673"
803,36,2,"","pck_zone","pck_zone_cod","=","A001-P-01","20230607170405","20230607170405","938673","938673"
804,36,3,"OR","","","","","20230607170405","20230607170405","938673","938673"
805,36,4,"","pck_zone","pck_zone_cod","=","A002-P-01","20230607170405","20230607170405","938673","938673"
806,36,5,")","","","","","20230607170405","20230607170405","938673","938673"
807,36,6,"AND","","","","","20230607170405","20230607170405","938673","938673"
808,36,7,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_A001_A002_ZONES","20230607170405","20230607170405","938673","938673"
