rpl_path_typ,dst_mov_zone_id,cfgtyp,cfgval,rpl_mov_zone_id,rpl_lodlvl,srtseq,rpl_path_name,hop_mov_zone_id,hop_lodlvl,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"S",10017,"NONE","NONE",20045,"L",9,"RPL_P019-01_W104",0,"","20230314171422","20230314171422","939370","939370"
"S",10017,"NONE","NONE",20048,"L",33,"RPL_P019-02_W104",0,"","20230320173522","20230320173522","939370","939370"
"S",10023,"NONE","NONE",20045,"L",15,"RPL_P019-01_W104",0,"","20230314171422","20230314171422","939370","939370"
"S",10023,"NONE","NONE",20048,"L",40,"RPL_P019-02_W104",0,"","20230320173522","20230320173522","939370","939370"
"S",20003,"NONE","NONE",20045,"L",5,"RPL_P019-01_A103",0,"","20230314171422","20230314171422","939370","939370"
"S",20003,"NONE","NONE",20048,"L",29,"RPL_P019-02_A103",0,"","20230320173522","20230320173522","939370","939370"
"S",20059,"NONE","NONE",20045,"L",16,"RPL_P019-01_D4",0,"","20230314171422","20230314171422","939370","939370"
"S",20059,"NONE","NONE",20048,"L",41,"RPL_P019-02_D4",0,"","20230320173522","20230320173522","939370","939370"
"S",20060,"NONE","NONE",20045,"L",24,"RPL_P019-01_O1",0,"","20230314171422","20230314171422","939370","939370"
"S",20060,"NONE","NONE",20048,"L",49,"RPL_P019-02_O1",0,"","20230320173522","20230320173522","939370","939370"
"S",20061,"NONE","NONE",20045,"L",11,"RPL_P019-01_X1",0,"","20230314171422","20230314171422","939370","939370"
"S",20061,"NONE","NONE",20048,"L",35,"RPL_P019-02_X1",0,"","20230320173522","20230320173522","939370","939370"
"S",20062,"NONE","NONE",20045,"L",13,"RPL_P019-01_T0",0,"","20230314171422","20230314171422","939370","939370"
"S",20062,"NONE","NONE",20048,"L",38,"RPL_P019-02_T0",0,"","20230320173522","20230320173522","939370","939370"
"S",20063,"NONE","NONE",20045,"L",1,"RPL_P019-01_S1",0,"","20230313110050","20230314171437","939370","939370"
"S",20063,"NONE","NONE",20048,"L",28,"RPL_P019-02_S1",0,"","20230320173522","20230320173522","939370","939370"
"S",20064,"NONE","NONE",20045,"L",7,"RPL_P019-01_R7",0,"","20230314171422","20230314171422","939370","939370"
"S",20064,"NONE","NONE",20048,"L",31,"RPL_P019-02_R7",0,"","20230320173522","20230320173522","939370","939370"
"S",20065,"NONE","NONE",20045,"L",17,"RPL_P019-01_N0",0,"","20230314171422","20230314171422","939370","939370"
"S",20065,"NONE","NONE",20048,"L",42,"RPL_P019-02_N0",0,"","20230320173522","20230320173522","939370","939370"
"S",20066,"NONE","NONE",20045,"L",6,"RPL_P019-01_N10",0,"","20230314171422","20230314171422","939370","939370"
"S",20066,"NONE","NONE",20048,"L",30,"RPL_P019-02_N10",0,"","20230320173522","20230320173522","939370","939370"
"S",20067,"NONE","NONE",20045,"L",10,"RPL_P019-01_N20",0,"","20230314171422","20230314171422","939370","939370"
"S",20067,"NONE","NONE",20048,"L",34,"RPL_P019-02_N20",0,"","20230320173522","20230320173522","939370","939370"
"S",20068,"NONE","NONE",20045,"L",25,"RPL_P019-01_J3",0,"","20230314171422","20230314171422","939370","939370"
"S",20068,"NONE","NONE",20048,"L",50,"RPL_P019-02_J3",0,"","20230320173522","20230320173522","939370","939370"
"S",20069,"NONE","NONE",20045,"L",4,"RPL_P019-01_V1",0,"","20230314171422","20230314171422","939370","939370"
"S",20069,"NONE","NONE",20048,"L",27,"RPL_P019-02_V1",0,"","20230320173522","20230320173522","939370","939370"
"S",20070,"NONE","NONE",20045,"L",12,"RPL_P019-01_L6",0,"","20230314171422","20230314171422","939370","939370"
"S",20070,"NONE","NONE",20048,"L",37,"RPL_P019-02_L6",0,"","20230320173522","20230320173522","939370","939370"
"S",20071,"NONE","NONE",20045,"L",21,"RPL_P019-01_W6",0,"","20230314171422","20230314171422","939370","939370"
"S",20071,"NONE","NONE",20048,"L",46,"RPL_P019-02_W6",0,"","20230320173522","20230320173522","939370","939370"
"S",20084,"NONE","NONE",20045,"L",2,"RPL_P019-01_ZC",0,"","20230313152901","20230314171437","939370","939370"
"S",20084,"NONE","NONE",20048,"L",36,"RPL_P019-02_ZC",0,"","20230320173522","20230320173522","939370","939370"
"S",20091,"NONE","NONE",20045,"L",20,"RPL_P019-01_S1",0,"","20230314171422","20230314171422","939370","939370"
"S",20091,"NONE","NONE",20048,"L",45,"RPL_P019-02_S1",0,"","20230320173522","20230320173522","939370","939370"
"S",20093,"NONE","NONE",20045,"L",14,"RPL_P019-01_O1",0,"","20230314171422","20230314171422","939370","939370"
"S",20093,"NONE","NONE",20048,"L",39,"RPL_P019-02_O1",0,"","20230320173522","20230320173522","939370","939370"
"S",20094,"NONE","NONE",20045,"L",22,"RPL_P019-01_S1",0,"","20230314171422","20230314171422","939370","939370"
"S",20094,"NONE","NONE",20048,"L",47,"RPL_P019-02_S1",0,"","20230320173522","20230320173522","939370","939370"
"S",20095,"NONE","NONE",20045,"L",3,"RPL_P019-01_N0",0,"","20230314171422","20230314171422","939370","939370"
"S",20095,"NONE","NONE",20048,"L",26,"RPL_P019-02_N0",0,"","20230320173522","20230320173522","939370","939370"
"S",20096,"NONE","NONE",20045,"L",18,"RPL_P019-01_N10",0,"","20230314171422","20230314171422","939370","939370"
"S",20096,"NONE","NONE",20048,"L",43,"RPL_P019-02_N10",0,"","20230320173522","20230320173522","939370","939370"
