sto_config_criteria_id,sto_config_id,colnam,colval,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000117","000004","mov_zone_id","10019","20181113135313","20181113135313","940028","940028"
"000118","000004","hld_flg","1","20181113135313","20181113135313","940028","940028"
"000145","000004","mov_zone_id","10019","20181127140716","20181127140716","940028","940028"
"000146","000004","hld_flg","1","20181127140716","20181127140716","940028","940028"
"000150","000010","mov_zone_id","10019","20190107100205","20190107100205","940028","940028"
"000151","000010","inv_attr_str18","VRAAGTEKENSPOOR","20190107100205","20190107100205","940028","940028"
"000196","000010","mov_zone_id","10019","20191120104544","20191120104544","940028","940028"
"000197","000010","inv_attr_str18","VRAAGTEKENSPOOR","20191120104544","20191120104544","940028","940028"
"000214","000004","mov_zone_id","10019","20191120120254","20191120120254","940028","940028"
"000215","000004","hld_flg","1","20191120120254","20191120120254","940028","940028"
