seqnum,i_wh_id,i_colnam,i_mask,i_sts_stoloc_set,i_sts_lodnum_set,i_sts_lodnum_add,i_sts_exception_set,i_sts_exception,i_sts_gp,i_sts_gp_mb,i_sts_gp_fwi,i_sts_invtyp,i_sts_photo_miss,i_sts_prtfam,i_sts_vg_ais,i_sts_vg_kweker,i_sts_vg_diff,i_sts_asset_typ,i_stoloc_exploc,i_stoloc_rcvloc_new,i_stoloc_rcvloc_add,i_stoloc_rexcploc,i_invmix_train,i_invmix_lpn,i_inv_attr_str17,i_stoloc_on_dc,i_lodnum_on_dc,i_identifier_on_dc,i_have_confirmation,use_location,add_to_lodnum,start_scan,add_scan,new_train,allocate_location,auto_deposit,clear_pre,finish_scan,finish_asset_typ,clear_post,show_error,show_message,show_confirmation,show_parms,open_rf_frm,open_rf_frm_parms_cmd,description
10,"----","stoloc","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","0","%","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","errStolocNotRcvLoc","","","wh_id,stoloc","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
20,"----","stoloc","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","","","dlgChangeStolocClearScan[Y|N]","","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
30,"----","stoloc","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","dlgChangeStolocClearScan=Y",1,0,0,0,0,0,0,"",0,"","if(@stoloc!=@rf_curstoloc and @rf_curstoloc!=''){close usr train where wh_id=@wh_id and devcod=@devcod and stoloc=@rf_curstoloc and close_type = 'location'}; clear usr rf device context where clear_type='all_except_stoloc'","","stsChangedStolocClearedScan","","","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
40,"----","stoloc","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","dlgChangeStolocClearScan=N",0,0,0,0,0,0,0,"",0,"","","","stsNotChangedStolocClearedScan","","","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
50,"----","stoloc","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","",1,0,0,0,0,0,0,"",0,"","if(@stoloc!=@rf_curstoloc and @rf_curstoloc!=''){close usr train where wh_id=@wh_id and devcod=@devcod and stoloc=@rf_curstoloc and close_type = 'location'}; ","","stsAlreadyStoloc","","wh_id,stoloc","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
60,"----","stoloc","%","%","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","0","%","%","",1,0,0,0,0,0,0,"",0,"","if(@stoloc!=@rf_curstoloc and @rf_curstoloc!=''){close usr train where wh_id=@wh_id and devcod=@devcod and stoloc=@rf_curstoloc and close_type = 'location'}; ","","stsStolocUsed","","wh_id,stoloc","","","NAI-S01-01, Scenario k: LDA employee can scan a different location without changing input field in menu."
70,"----","inv_attr_str8","%","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","0","0","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","errPabNoStoloc","","","","","","NAI-S01-01, Scenario h: LDA employee directly scans a PRN without providing a receving location."
80,"----","inv_attr_str8","%","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","1","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","","","dlgPabUseStoloc[Y|N]","identifier,lodnum,stoloc","","","NAI-S01-05, Scenario a: LDA employee continues working after interrupting work en confirms the receiving location by scanning the last received PRN."
90,"----","inv_attr_str8","%","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","1","%","%","%","%","0","%","%","dlgPabUseStoloc=Y",1,0,0,0,0,0,0,"",0,"","if(@stoloc!=@rf_curstoloc and @rf_curstoloc!=''){close usr train where wh_id=@wh_id and devcod=@devcod and stoloc=@rf_curstoloc and close_type = 'location'}; ","","stsLodnumStolocUsed","","","","","NAI-S01-05, Scenario a: LDA employee continues working after interrupting work en confirms the receiving location by scanning the last received PRN."
100,"----","inv_attr_str8","%","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","1","%","%","%","%","0","%","%","dlgPabUseStoloc=N",0,0,0,0,0,0,0,"",0,"","","","stsLodnumStolocNotUsed","","","","","NAI-S01-05, Scenario a: LDA employee continues working after interrupting work en confirms the receiving location by scanning the last received PRN."
105,"1","inv_attr_str8","%","1","%","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","1","%","%","%","%","%",0,0,1,1,0,0,0,"",0,"","","errInvmixLpn","","","invmix_lpn_diff_list","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","803579 - LPN mixing rules not matching."
